descriptor_id	text_metric	statistic_type	effect_size	absolute_effect	permutation_p	n_observed	n_sections	missing_visual	status	bh_q
COMP_ILLUSTRATION_REGIONS	mean_token_length	CATEGORICAL_ETA2	1	1	0.91089109	195	8	32	ESTIMABLE	1
COMP_ILLUSTRATION_REGIONS	type_token_ratio	CATEGORICAL_ETA2	1	1	0.71287129	195	8	32	ESTIMABLE	1
COMP_ILLUSTRATION_REGIONS	token_entropy	CATEGORICAL_ETA2	1	1	0.7029703	195	8	32	ESTIMABLE	1
COMP_ILLUSTRATION_REGIONS	exact_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.52475248	195	8	32	ESTIMABLE	1
COMP_ILLUSTRATION_REGIONS	near_edit_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.62376238	195	8	32	ESTIMABLE	1
COMP_ILLUSTRATION_REGIONS	mean_line_transition_entropy	CATEGORICAL_ETA2	1	1	0.89108911	195	8	32	ESTIMABLE	1
COMP_ILLUSTRATION_REGIONS	mean_line_tokens	CATEGORICAL_ETA2	1	1	0.86138614	195	8	32	ESTIMABLE	1
COMP_ILLUSTRATION_REGIONS	line_length_cv	CATEGORICAL_ETA2	1	1	0.71287129	195	8	32	ESTIMABLE	1
COMP_ILLUSTRATION_REGIONS	boundary_length_asymmetry	CATEGORICAL_ETA2	1	1	0.6039604	195	8	32	ESTIMABLE	1
COMP_ILLUSTRATION_REGIONS	mean_line_token_entropy	CATEGORICAL_ETA2	1	1	0.67326733	195	8	32	ESTIMABLE	1
COMP_CENTRAL_ILLUSTRATION	mean_token_length	CATEGORICAL_ETA2	1	1	0.99009901	195	8	32	ESTIMABLE	1
COMP_CENTRAL_ILLUSTRATION	type_token_ratio	CATEGORICAL_ETA2	1	1	0.93069307	195	8	32	ESTIMABLE	1
COMP_CENTRAL_ILLUSTRATION	token_entropy	CATEGORICAL_ETA2	1	1	0.96039604	195	8	32	ESTIMABLE	1
COMP_CENTRAL_ILLUSTRATION	exact_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.91089109	195	8	32	ESTIMABLE	1
COMP_CENTRAL_ILLUSTRATION	near_edit_adjacent_repetition	CATEGORICAL_ETA2	1	1	0.94059406	195	8	32	ESTIMABLE	1
COMP_CENTRAL_ILLUSTRATION	mean_line_transition_entropy	CATEGORICAL_ETA2	1	1	0.72277228	195	8	32	ESTIMABLE	1
COMP_CENTRAL_ILLUSTRATION	mean_line_tokens	CATEGORICAL_ETA2	1	1	0.89108911	195	8	32	ESTIMABLE	1
COMP_CENTRAL_ILLUSTRATION	line_length_cv	CATEGORICAL_ETA2	1	1	0.94059406	195	8	32	ESTIMABLE	1
COMP_CENTRAL_ILLUSTRATION	boundary_length_asymmetry	CATEGORICAL_ETA2	1	1	1	195	8	32	ESTIMABLE	1
COMP_CENTRAL_ILLUSTRATION	mean_line_token_entropy	CATEGORICAL_ETA2	1	1	0.88118812	195	8	32	ESTIMABLE	1
OBJ_PLANT_LIKE	mean_token_length	ORDINAL	0.38960545	0.38960545	0.14851485	195	8	32	ESTIMABLE	1
OBJ_PLANT_LIKE	type_token_ratio	ORDINAL	0.24091654	0.24091654	0.47524752	195	8	32	ESTIMABLE	1
OBJ_PLANT_LIKE	token_entropy	ORDINAL	0.32844927	0.32844927	0.14851485	195	8	32	ESTIMABLE	1
OBJ_PLANT_LIKE	exact_adjacent_repetition	ORDINAL	0.074660458	0.074660458	0.75247525	195	8	32	ESTIMABLE	1
OBJ_PLANT_LIKE	near_edit_adjacent_repetition	ORDINAL	-0.2895487	0.2895487	0.44554455	195	8	32	ESTIMABLE	1
OBJ_PLANT_LIKE	mean_line_transition_entropy	ORDINAL	0.041389896	0.041389896	0.20792079	195	8	32	ESTIMABLE	1
OBJ_PLANT_LIKE	mean_line_tokens	ORDINAL	0.041815532	0.041815532	0.1980198	195	8	32	ESTIMABLE	1
