descriptor_id	text_metric	section	effect_size	direction	n	classification
COMP_ILLUSTRATION_REGIONS	mean_token_length	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_ILLUSTRATION_REGIONS	type_token_ratio	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_ILLUSTRATION_REGIONS	token_entropy	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_ILLUSTRATION_REGIONS	exact_adjacent_repetition	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_ILLUSTRATION_REGIONS	near_edit_adjacent_repetition	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_ILLUSTRATION_REGIONS	mean_line_transition_entropy	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_ILLUSTRATION_REGIONS	mean_line_tokens	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_ILLUSTRATION_REGIONS	line_length_cv	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_ILLUSTRATION_REGIONS	boundary_length_asymmetry	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_ILLUSTRATION_REGIONS	mean_line_token_entropy	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_CENTRAL_ILLUSTRATION	mean_token_length	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_CENTRAL_ILLUSTRATION	type_token_ratio	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_CENTRAL_ILLUSTRATION	token_entropy	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_CENTRAL_ILLUSTRATION	exact_adjacent_repetition	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_CENTRAL_ILLUSTRATION	near_edit_adjacent_repetition	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_CENTRAL_ILLUSTRATION	mean_line_transition_entropy	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_CENTRAL_ILLUSTRATION	mean_line_tokens	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_CENTRAL_ILLUSTRATION	line_length_cv	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_CENTRAL_ILLUSTRATION	boundary_length_asymmetry	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
COMP_CENTRAL_ILLUSTRATION	mean_line_token_entropy	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
OBJ_PLANT_LIKE	mean_token_length	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
OBJ_PLANT_LIKE	type_token_ratio	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
OBJ_PLANT_LIKE	token_entropy	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
OBJ_PLANT_LIKE	exact_adjacent_repetition	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
OBJ_PLANT_LIKE	near_edit_adjacent_repetition	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
OBJ_PLANT_LIKE	mean_line_transition_entropy	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
OBJ_PLANT_LIKE	mean_line_tokens	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
OBJ_PLANT_LIKE	line_length_cv	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
OBJ_PLANT_LIKE	boundary_length_asymmetry	pooled			195	NOT_TESTABLE_PENDING_SECTION_STRATA
