block	transitions	log_loss_m1	log_loss_m2	delta_m1_minus_m2
G0/generic#0	49	6.26425017	6.498650417	-0.2344002474
G1/generic#0	53	6.27456611	6.499076079	-0.2245099687
G2/generic#0	75	6.245477483	6.498683032	-0.2532055494
G3/generic#0	68	6.143790054	6.498989404	-0.3551993501
G0/generic#1	47	6.400625221	6.499240655	-0.09861543366
G1/generic#1	51	6.178641747	6.47744803	-0.2988062839
G2/generic#1	84	6.281305067	6.498783188	-0.2174781211
G3/generic#1	55	6.258377665	6.498719443	-0.2403417777
G0/generic#2	77	6.276188565	6.498750737	-0.2225621721
G1/generic#2	42	6.207246545	6.498640188	-0.2913936422
G2/generic#2	72	6.282743105	6.498657964	-0.2159148598
G3/generic#2	67	6.352651296	6.49855148	-0.145900184
G0/generic#3	95	6.204585749	6.499009812	-0.2944240626
G1/generic#3	88	6.256322123	6.486242007	-0.2299198835
G2/generic#3	65	6.255125417	6.498513497	-0.2433880802
G3/generic#3	58	6.171639438	6.498696824	-0.3270573868
G0/generic#4	83	6.309431662	6.498825569	-0.1893939066
G1/generic#4	56	6.105663933	6.47920113	-0.3735371973
G2/generic#4	70	6.247376482	6.498883138	-0.2515066561
G3/generic#4	85	6.285936366	6.498989272	-0.2130529052
G0/generic#5	83	6.214818692	6.498716754	-0.2838980624
G1/generic#5	75	6.274194475	6.498683032	-0.2244885567
G2/generic#5	74	6.25397971	6.49872897	-0.2447492598
G3/generic#5	56	6.121761349	6.498819207	-0.3770578578
G0/generic#6	67	6.248722329	6.482378454	-0.2336561247
G1/generic#6	63	6.333640046	6.498616175	-0.1649761291
G2/generic#6	66	6.142485782	6.498646561	-0.3561607789
G3/generic#6	59	6.25417065	6.498791135	-0.2446204852
G0/generic#7	69	6.280794864	6.466961362	-0.1861664983
G1/generic#7	68	6.219951059	6.498856984	-0.2789059254
G2/generic#7	40	6.236604003	6.498432526	-0.2618285222
G3/generic#7	51	6.219734183	6.49869477	-0.2789605864
G0/generic#8	72	6.154512036	6.498825049	-0.3443130127
G1/generic#8	70	6.234413359	6.49884056	-0.2644272011
G2/generic#8	50	6.243679646	6.498703202	-0.2550235566
G3/generic#8	52	6.230638719	6.498455487	-0.2678167681
G0/generic#9	61	6.334186071	6.498528668	-0.1643425968
G1/generic#9	69	6.282954977	6.498630848	-0.215675871
G2/generic#9	67	6.134171417	6.498865429	-0.3646940122
G3/generic#9	65	6.200682511	6.498744845	-0.2980623338
G0/generic#10	125	6.237008097	6.489974238	-0.2529661408
G1/generic#10	78	6.340731775	6.484582841	-0.143851066
G2/generic#10	53	6.19326389	6.499019163	-0.305755273
G3/generic#10	86	6.366043933	6.473152576	-0.1071086425
G0/generic#11	80	6.357357532	6.498545308	-0.1411877759
G1/generic#11	87	6.292357608	6.498454996	-0.206097388
G2/generic#11	63	6.189851978	6.498807129	-0.3089551511
G3/generic#11	119	6.281425597	6.498863056	-0.2174374591
G0/generic#12	94	6.189491503	6.49882568	-0.3093341769
G1/generic#12	80	6.208352437	6.485113293	-0.2767608564
G2/generic#12	83	6.188806568	6.498644284	-0.3098377156
G3/generic#12	126	6.247004649	6.498807057	-0.2518024081
G0/generic#13	79	6.243862518	6.498852969	-0.2549904518
G1/generic#13	89	6.251931696	6.498653562	-0.2467218664
G2/generic#13	116	6.144340765	6.49885192	-0.3545111548
G3/generic#13	121	6.313177572	6.498381572	-0.1852039996
G0/generic#14	81	6.324171169	6.498801857	-0.1746306879
G1/generic#14	86	6.242985329	6.498631652	-0.2556463222
G2/generic#14	103	6.187751109	6.498661564	-0.3109104557
G3/generic#14	98	6.262505221	6.487470685	-0.2249654639
G0/generic#15	96	6.256538792	6.498689418	-0.2421506256
G1/generic#15	109	6.266662109	6.498640762	-0.2319786532
G2/generic#15	132	6.194128989	6.498737493	-0.3046085047
G3/generic#15	48	6.304808437	6.498595245	-0.1937868081
