token_a	token_b	count_a	count_b	structural_similarity	reliability	normalized_graphemic_distance	position_similarity	left_similarity	right_similarity	predecessor_jaccard	successor_jaccard	predecessor_js_similarity	successor_js_similarity	left_entropy_a	left_entropy_b	right_entropy_a	right_entropy_b	shared_context_strength	differential_context_strength	positional_agreement	entropy_agreement
or	s	388	350	0.7593710243930368	0.9336155996346608	1	0.9477458022266708	0.4180594657444133	0.9123078052080266	0.10909090909090909	0.18478260869565216	0.3019985203043478	0.5776678479366499	5.2782424951905895	5.31891167222485	4.579086842401988	4.103029451567179	0.4398331841204989	0.6469613646066846	0.9477458022266708	0.9441952318725226
chol	daiin	395	847	0.7206021874651117	0.9336155996346608	1	0.9070032437904147	0.7032857693395507	0.5515175492653694	0.1781818181818182	0.15026833631484796	0.4579756337161611	0.43730979837036676	5.199292096542045	5.6126221997887304	4.932007681070774	5.711037499824144	0.44764271604326394	0.6616412266684821	0.9070032437904146	0.8949746420081552
r	s	168	350	0.7010404927830476	0.9336155996346608	1	0.9145715720909322	0.35983770589343195	0.8287122003647787	0.09480122324159021	0.14136125654450263	0.25113836004943135	0.5035927722769944	4.543204722068673	5.318911672224851	3.879661433936403	4.103029451567178	0.3773655661632129	0.7016745413688708	0.9145715720909323	0.8998604044276962
ol	y	557	304	0.6786765128732416	0.9336155996346608	1	0.8897143382233513	0.5400112889150286	0.6063039114813452	0.14713216957605985	0.16052631578947368	0.4065976492641682	0.44327646384299635	5.389493456479248	4.8574594036201235	5.093126598098041	5.034517686362225	0.42493705655358227	0.664127348562914	0.8897143382233514	0.9448878269452876
dar	ol	323	557	0.6742076448942075	0.9336155996346608	1	0.9417314790596973	0.49705109626311583	0.5838403593598094	0.1473922902494331	0.16230366492146597	0.3797564829513185	0.433826327563833	5.1735374398175535	5.389493456479243	5.001566543611372	5.093126598098042	0.40679140525757573	0.6899852854267836	0.9417314790596973	0.9709765014018127
ar	ol	402	557	0.6657218282234288	0.9336155996346608	1	0.9383577741022748	0.576416110881174	0.4823915996868378	0.15845824411134904	0.15458937198067632	0.4527151728564034	0.4125976733921537	5.111554701883198	5.389493456479243	4.974415918984224	5.093126598098042	0.43265642312427854	0.6917557718543335	0.9383577741022748	0.962560752637241
chor	daiin	211	847	0.6629964994997911	0.9336155996346608	1	0.8916950164790612	0.5747556306999441	0.5225388513203679	0.12423625254582485	0.11752988047808766	0.37567152074691557	0.3729510733241823	4.834631190508882	5.612622199788736	4.733941613647649	5.711037499824137	0.37431129703554894	0.7287039460745606	0.8916950164790612	0.8451482163759167
chey	ol	346	557	0.6527865096145286	0.9336155996346608	1	0.950118140045962	0.6933875779331394	0.31485381086448433	0.18203309692671396	0.1568627450980392	0.4977643363616683	0.34116887898447856	4.999372463560548	5.389493456479242	5.144648817780954	5.093126598098041	0.4194666076730734	0.6756397186979701	0.950118140045962	0.9587999070046158
lchedy	qokar	116	156	0.6605891367555194	0.9052829464507616	1	0.9742856764987499	0.5694208394001831	0.43806089436762535	0.1130952380952381	0.11688311688311688	0.3458010031501083	0.3023151262399849	4.185984054264024	4.506212116093385	4.160753918200513	4.365129055411353	0.3240580646950466	0.7436727304839277	0.9742856764987499	0.9410581783963071
lchedy	qokain	116	273	0.6529086932065072	0.9072460583751037	1	0.9818513940610308	0.5185349703630137	0.4583397151954772	0.1518324607329843	0.09644670050761421	0.38169569293465133	0.2925245153537539	4.185984054264023	4.577586630742695	4.160753918200512	4.609503005938794	0.3371101041442026	0.7362321737693949	0.9818513940610308	0.9085495725259276
