observed_property	H_L	H_C	H_G	source_ids	confidence	rationale
Currier A/B statistical partition	NON_DISCRIMINATING	NON_DISCRIMINATING	NON_DISCRIMINATING	CURRIER1976;PARISEL2026;Task65	MEDIUM	It establishes heterogeneity, not its cause
Weak corrected adjacent-token order	CONTRADICTS	NON_DISCRIMINATING	SUPPORTS	ROZANOVA_TEMEREV2026;Task58	MEDIUM	Problematic for visible tokens as ordinary words; compatible with encoding or generation
Glyph-edge coupling	NON_DISCRIMINATING	NON_DISCRIMINATING	NON_DISCRIMINATING	ROZANOVA_TEMEREV2026;Task58	MEDIUM	Structured boundary dependence has many mechanisms
Section-associated co-occurrence	SUPPORTS	SUPPORTS	NON_DISCRIMINATING	MONTEMURRO_ZANETTE2013;STERNECK_POLISH_BOWERN2021	LOW	Structured generators were not controlled
Low/atypical character conditional entropy	WEAK_CONTRADICTION	NON_DISCRIMINATING	WEAK_SUPPORT	LINDEMANN_BOWERN2021;Task61	MEDIUM	Dependent on representation and comparators
Positional glyph specialization	NON_DISCRIMINATING	SUPPORTS	SUPPORTS	STOLFI2007;Task59	MEDIUM	Rejects only simple position-independent homophony in Task59
Near-token families and local repetition	WEAK_CONTRADICTION	NON_DISCRIMINATING	SUPPORTS	SCHINNER2017;TIMM_SCHINNER2019;Task60;Task63	MEDIUM	Ordinary controls differ; copy/form mechanisms can reproduce it
Specified synthetic cipher yields selected resemblance	NON_DISCRIMINATING	SUPPORTS	NON_DISCRIMINATING	BOWERN_GASKELL2022;GRESHKO2025	MEDIUM	Forward compatibility is not a Voynich inverse
Specified self-citation generator yields selected resemblance	NON_DISCRIMINATING	NON_DISCRIMINATING	SUPPORTS	TIMM_SCHINNER2019	MEDIUM	Target-tuned, partial metric coverage
Validated plaintext recovery from Voynich	UNKNOWN	UNKNOWN	UNKNOWN	none	HIGH	No eligible validated decipherment was found
