target_a	target_b	control_rank	control_a	control_b	match_cost	count_a	count_b	structural_similarity	reliability	normalized_graphemic_distance	position_similarity	left_similarity	right_similarity	predecessor_js_similarity	successor_js_similarity
or	s	1	am	qokeedy	1.859085207754512	86	306	0.24901353376444554	0.8817406891941358	1	0.6526619782546839	0.03799919822537608	0.056379424813276575	0.05353342116853688	0.055769097650499866
or	s	2	am	qokeey	1.9138390275114432	86	306	0.2792340529463249	0.8817406891941358	1	0.6434645477873813	0.09698661949163709	0.09725099155995637	0.11185181898825769	0.09444367071323334
or	s	3	ar	qotchy	2.065597001242169	402	62	0.2761442034386648	0.8511119620704917	1	0.6886097821477557	0.07284819287927582	0.06697463528896286	0.06982983186629688	0.10615223787499528
chol	daiin	1	aiin	qotchy	2.5861177910121476	504	62	0.2678369848179705	0.8511119620704917	1	0.6792556306184054	0.011869122675221742	0.11238620116028429	0.025871655344087197	0.12487397304196823
chol	daiin	2	am	qokeedy	2.7590144877165845	86	306	0.24901353376444554	0.8817406891941358	1	0.6526619782546839	0.03799919822537608	0.056379424813276575	0.05353342116853688	0.05576909765050042
chol	daiin	3	aiin	sor	2.812889572386144	504	51	0.2553001290808446	0.8318470294698571	1	0.5177279399607508	0.011729206713016145	0.2364432405687668	0.019397904867603843	0.19309179121448883
r	s	1	am	qokeedy	1.0254045790591395	86	306	0.24901353376444554	0.8817406891941358	1	0.6526619782546839	0.03799919822537608	0.056379424813276575	0.05353342116853599	0.05576909765050064
r	s	2	am	qokeey	1.0801583988160708	86	306	0.2792340529463249	0.8817406891941358	1	0.6434645477873813	0.09698661949163709	0.09725099155995637	0.11185181898825869	0.09444367071323412
r	s	3	am	qokedy	1.3162967788977258	86	276	0.2925648668145046	0.8817406891941358	1	0.6619389212751003	0.04563034514353219	0.1701253340248813	0.0776409451180563	0.17115448159398683
ol	y	1	aiin	qotchy	1.9064936829544865	504	62	0.2678369848179705	0.8511119620704917	1	0.6792556306184054	0.011869122675221742	0.11238620116028429	0.025871655344087086	0.12487397304196857
ol	y	2	am	qokeedy	2.0793903796589235	86	306	0.24901353376444554	0.8817406891941358	1	0.6526619782546839	0.03799919822537608	0.056379424813276575	0.05353342116853688	0.05576909765050153
ol	y	3	aiin	sor	2.133265464328483	504	51	0.2553001290808446	0.8318470294698571	1	0.5177279399607508	0.011729206713016145	0.2364432405687668	0.019397904867605176	0.19309179121448883
dar	ol	1	aiin	qotchy	1.9669254221394037	504	62	0.2678369848179705	0.8511119620704917	1	0.6792556306184054	0.011869122675221742	0.11238620116028429	0.025871655344088862	0.12487397304196857
dar	ol	2	am	qokeedy	2.1398221188438407	86	306	0.24901353376444554	0.8817406891941358	1	0.6526619782546839	0.03799919822537608	0.056379424813276575	0.05353342116853688	0.0557690976505002
dar	ol	3	aiin	sor	2.1936972035134	504	51	0.2553001290808446	0.8318470294698571	1	0.5177279399607508	0.011729206713016145	0.2364432405687668	0.01939790486760551	0.19309179121448883
ar	ol	1	aiin	qotchy	2.185118468293757	504	62	0.2678369848179705	0.8511119620704917	1	0.6792556306184054	0.011869122675221742	0.11238620116028429	0.025871655344087974	0.12487397304196834
ar	ol	2	am	qokeedy	2.358015164998194	86	306	0.24901353376444554	0.8817406891941358	1	0.6526619782546839	0.03799919822537608	0.056379424813276575	0.05353342116853621	0.05576909765049953
ar	ol	3	aiin	sor	2.4118902496677537	504	51	0.2553001290808446	0.8318470294698571	1	0.5177279399607508	0.011729206713016145	0.2364432405687668	0.019397904867604177	0.19309179121448883
chor	daiin	1	aiin	qotchy	1.9612898544296793	504	62	0.2678369848179705	0.8511119620704917	1	0.6792556306184054	0.011869122675221742	0.11238620116028429	0.025871655344087974	0.12487397304196857
chor	daiin	2	am	qokeedy	2.1341865511341163	86	306	0.24901353376444554	0.8817406891941358	1	0.6526619782546839	0.03799919822537608	0.056379424813276575	0.053533421168536655	0.055769097650499866
chor	daiin	3	aiin	sor	2.1880616358036757	504	51	0.2553001290808446	0.8318470294698571	1	0.5177279399607508	0.011729206713016145	0.2364432405687668	0.0193979048676044	0.19309179121448883
chey	ol	1	aiin	qotchy	2.035506686293934	504	62	0.2678369848179705	0.8511119620704917	1	0.6792556306184054	0.011869122675221742	0.11238620116028429	0.02587165534408653	0.12487397304196823
chey	ol	2	am	qokeedy	2.208403382998371	86	306	0.24901353376444554	0.8817406891941358	1	0.6526619782546839	0.03799919822537608	0.056379424813276575	0.05353342116853743	0.0557690976505012
chey	ol	3	aiin	sor	2.2622784676679304	504	51	0.2553001290808446	0.8318470294698571	1	0.5177279399607508	0.011729206713016145	0.2364432405687668	0.01939790486760351	0.19309179121448894
lchedy	qokar	1	cthy	saiin	0.7059876682489843	103	127	0.2946035469195223	0.8793756236287248	1	0.6800831803570124	0.030046427553927786	0.17368103284762654	0.058401982626607896	0.15501659844661542
lchedy	qokar	2	chy	sar	0.709862011938532	163	81	0.28671070587679287	0.8765126130324635	1	0.6878241201374844	0.10356162766686666	0.0687463698260276	0.09022474622042786	0.09797549461391597
lchedy	qokar	3	chdy	sar	0.7246326118384806	146	81	0.28460820608225285	0.8697111121566294	1	0.6877449004959468	0.12383025605668589	0.04224946169412588	0.12450551845735158	0.06552994003723922
lchedy	qokain	1	am	qokeedy	0.584721881735166	86	306	0.24901353376444554	0.8817406891941358	1	0.6526619782546839	0.03799919822537608	0.056379424813276575	0.05353342116853621	0.055769097650499755
lchedy	qokain	2	am	qokeey	0.6394757014920972	86	306	0.2792340529463249	0.8817406891941358	1	0.6434645477873813	0.09698661949163709	0.09725099155995637	0.1118518189882588	0.09444367071323478
