candidate	corpus	condition	replicate	seed	boundary_operations	observed_tokens	boundary_precision	boundary_recall	boundary_f1	glyph_recovery	token_recovery	word_error_rate	decoder
M0_IDENTITY	Doyle	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000	frozen
M0_IDENTITY	Doyle	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	frozen without reconstruction
M0_IDENTITY	Doyle	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	1.00000000	0.50000000	0.01562500	frozen
M0_IDENTITY	Doyle	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	1.00000000	0.49612403	0.01550388	frozen
M0_IDENTITY	Doyle	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	1.00000000	0.99212598	0.99604743	1.00000000	0.98437500	0.01562500	frozen
M0_IDENTITY	Doyle	BOUNDARIES_RECONSTRUCTED	5	67300005	127	120	0.82352941	0.77165354	0.79674797	1.00000000	0.19531250	0.42187500	ciphertext-only dynamic programming
M1_MONOALPHABETIC	Doyle	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000	frozen
M1_MONOALPHABETIC	Doyle	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	frozen without reconstruction
M1_MONOALPHABETIC	Doyle	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	1.00000000	0.50000000	0.01562500	frozen
M1_MONOALPHABETIC	Doyle	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	1.00000000	0.49612403	0.01550388	frozen
M1_MONOALPHABETIC	Doyle	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	1.00000000	0.99212598	0.99604743	1.00000000	0.98437500	0.01562500	frozen
M1_MONOALPHABETIC	Doyle	BOUNDARIES_RECONSTRUCTED	5	67300005	127	76	0.22666667	0.13385827	0.16831683	1.00000000	0.00000000	0.99218750	ciphertext-only dynamic programming
M2_HOMOPHONY_H2	Doyle	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000	frozen
M2_HOMOPHONY_H2	Doyle	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	frozen without reconstruction
M2_HOMOPHONY_H2	Doyle	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	1.00000000	0.50000000	0.01562500	frozen
M2_HOMOPHONY_H2	Doyle	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	1.00000000	0.49612403	0.01550388	frozen
M2_HOMOPHONY_H2	Doyle	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	1.00000000	0.99212598	0.99604743	1.00000000	0.98437500	0.01562500	frozen
M2_HOMOPHONY_H2	Doyle	BOUNDARIES_RECONSTRUCTED	5	67300005	127	100	0.58585859	0.45669291	0.51327434	1.00000000	0.05468750	0.75000000	ciphertext-only dynamic programming
G_FORM_MEDIUM	Doyle	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	0.62332696	0.57031250	0.42968750	frozen
G_FORM_MEDIUM	Doyle	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	0.00956023	0.00000000	1.00000000	frozen without reconstruction
G_FORM_MEDIUM	Doyle	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	0.62141491	0.29687500	0.43750000	frozen
G_FORM_MEDIUM	Doyle	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	0.61950287	0.29457364	0.43410853	frozen
G_FORM_MEDIUM	Doyle	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	0.99212598	0.99212598	0.99212598	0.62332696	0.56250000	0.43750000	frozen
G_FORM_MEDIUM	Doyle	BOUNDARIES_RECONSTRUCTED	5	67300005	127	128	1.00000000	1.00000000	1.00000000	0.62332696	0.57031250	0.42968750	ciphertext-only dynamic programming
M9_GROUP_FORM_FIXED	Doyle	CORRECT_BOUNDARIES	0	67300000	0	131	1.00000000	1.00000000	1.00000000	0.44656489	0.19083969	0.80916031	frozen
M9_GROUP_FORM_FIXED	Doyle	BOUNDARIES_REMOVED	1	67300001	130	1	0.00000000	0.00000000	0.00000000	0.00764818	0.00000000	1.00000000	frozen without reconstruction
M9_GROUP_FORM_FIXED	Doyle	DELETE_ONE_BOUNDARY	2	67300002	1	130	1.00000000	0.99230769	0.99613900	0.43785851	0.10687023	0.81679389	frozen
M9_GROUP_FORM_FIXED	Doyle	INSERT_ONE_BOUNDARY	3	67300003	1	132	0.99236641	1.00000000	0.99616858	0.44318182	0.09848485	0.81060606	frozen
M9_GROUP_FORM_FIXED	Doyle	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	131	0.99230769	0.99230769	0.99230769	0.44656489	0.19083969	0.80916031	frozen
M9_GROUP_FORM_FIXED	Doyle	BOUNDARIES_RECONSTRUCTED	5	67300005	130	131	1.00000000	1.00000000	1.00000000	0.44656489	0.19083969	0.80916031	ciphertext-only dynamic programming
M10_STATEFUL_FORM_K2	Doyle	CORRECT_BOUNDARIES	0	67300000	0	150	1.00000000	1.00000000	1.00000000	0.30975143	0.08000000	0.92000000	frozen
M10_STATEFUL_FORM_K2	Doyle	BOUNDARIES_REMOVED	1	67300001	149	1	0.00000000	0.00000000	0.00000000	0.00956023	0.00000000	1.00000000	frozen without reconstruction
M10_STATEFUL_FORM_K2	Doyle	DELETE_ONE_BOUNDARY	2	67300002	1	149	1.00000000	0.99328859	0.99663300	0.31166348	0.03333333	0.92000000	frozen
M10_STATEFUL_FORM_K2	Doyle	INSERT_ONE_BOUNDARY	3	67300003	1	151	0.99333333	1.00000000	0.99665552	0.30975143	0.03311258	0.92052980	frozen
M10_STATEFUL_FORM_K2	Doyle	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	150	0.99328859	0.99328859	0.99328859	0.31166348	0.08000000	0.92000000	frozen
M10_STATEFUL_FORM_K2	Doyle	BOUNDARIES_RECONSTRUCTED	5	67300005	149	150	1.00000000	1.00000000	1.00000000	0.30975143	0.08000000	0.92000000	ciphertext-only dynamic programming
M11_MIXED_FORM_K2	Doyle	CORRECT_BOUNDARIES	0	67300000	0	150	1.00000000	1.00000000	1.00000000	0.27915870	0.08666667	0.91333333	frozen
M11_MIXED_FORM_K2	Doyle	BOUNDARIES_REMOVED	1	67300001	149	1	0.00000000	0.00000000	0.00000000	0.00956023	0.00000000	1.00000000	frozen without reconstruction
M11_MIXED_FORM_K2	Doyle	DELETE_ONE_BOUNDARY	2	67300002	1	149	1.00000000	0.99328859	0.99663300	0.28107075	0.02666667	0.91333333	frozen
M11_MIXED_FORM_K2	Doyle	INSERT_ONE_BOUNDARY	3	67300003	1	151	0.99333333	1.00000000	0.99665552	0.27151052	0.02649007	0.91390728	frozen
M11_MIXED_FORM_K2	Doyle	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	150	0.99328859	0.99328859	0.99328859	0.27915870	0.08666667	0.91333333	frozen
M11_MIXED_FORM_K2	Doyle	BOUNDARIES_RECONSTRUCTED	5	67300005	149	150	0.99328859	0.99328859	0.99328859	0.28107075	0.08666667	0.91333333	ciphertext-only dynamic programming
M0_IDENTITY	Longfellow	CORRECT_BOUNDARIES	0	67300000	0	128	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000	frozen
M0_IDENTITY	Longfellow	BOUNDARIES_REMOVED	1	67300001	127	1	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	frozen without reconstruction
M0_IDENTITY	Longfellow	DELETE_ONE_BOUNDARY	2	67300002	1	127	1.00000000	0.99212598	0.99604743	1.00000000	0.50000000	0.01562500	frozen
M0_IDENTITY	Longfellow	INSERT_ONE_BOUNDARY	3	67300003	1	129	0.99218750	1.00000000	0.99607843	1.00000000	0.49612403	0.01550388	frozen
M0_IDENTITY	Longfellow	SHIFT_BOUNDARY_PLUS_ONE	4	67300004	1	128	0.99212598	0.99212598	0.99212598	1.00000000	0.98437500	0.01562500	frozen
