candidate	corpus	splitting_fraction	replicate	seed	split_classes	changed_glyphs	glyph_recovery_frozen	token_recovery_frozen	glyph_recovery_collapsed_oracle	word_error_rate_frozen	decoder
M0_IDENTITY	Doyle	0.050	0	67200243	1	41	0.92160612	0.71093750	1.00000000	0.28906250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	1	67201252	1	12	0.97705545	0.90625000	1.00000000	0.09375000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	2	67202261	1	31	0.94072658	0.77343750	1.00000000	0.22656250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	3	67203270	1	39	0.92543021	0.72656250	1.00000000	0.27343750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	4	67204279	1	20	0.96175908	0.84375000	1.00000000	0.15625000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	5	67205288	1	68	0.86998088	0.56250000	1.00000000	0.43750000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	6	67206297	1	31	0.94072658	0.77343750	1.00000000	0.22656250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	7	67207306	1	30	0.94263862	0.78125000	1.00000000	0.21875000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	8	67208315	1	4	0.99235182	0.96875000	1.00000000	0.03125000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	9	67209324	1	4	0.99235182	0.96875000	1.00000000	0.03125000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	10	67210333	1	46	0.91204589	0.66406250	1.00000000	0.33593750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	11	67211342	1	8	0.98470363	0.93750000	1.00000000	0.06250000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	12	67212351	1	9	0.98279159	0.92968750	1.00000000	0.07031250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	13	67213360	1	12	0.97705545	0.90625000	1.00000000	0.09375000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	14	67214369	1	12	0.97705545	0.90625000	1.00000000	0.09375000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	15	67215378	1	11	0.97896750	0.91406250	1.00000000	0.08593750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	16	67216387	1	68	0.86998088	0.56250000	1.00000000	0.43750000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	17	67217396	1	31	0.94072658	0.77343750	1.00000000	0.22656250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	18	67218405	1	4	0.99235182	0.96875000	1.00000000	0.03125000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	19	67219414	1	41	0.92160612	0.71093750	1.00000000	0.28906250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	20	67220423	1	31	0.94072658	0.77343750	1.00000000	0.22656250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	21	67221432	1	31	0.94072658	0.77343750	1.00000000	0.22656250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	22	67222441	1	13	0.97514340	0.90625000	1.00000000	0.09375000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	23	67223450	1	37	0.92925430	0.73437500	1.00000000	0.26562500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	24	67224459	1	31	0.94072658	0.77343750	1.00000000	0.22656250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	25	67225468	1	4	0.99235182	0.96875000	1.00000000	0.03125000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	26	67226477	1	12	0.97705545	0.90625000	1.00000000	0.09375000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	27	67227486	1	9	0.98279159	0.92968750	1.00000000	0.07031250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	28	67228495	1	4	0.99235182	0.96875000	1.00000000	0.03125000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.050	29	67229504	1	1	0.99808795	0.99218750	1.00000000	0.00781250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	0	67200293	2	30	0.94263862	0.78906250	1.00000000	0.21093750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	1	67201302	2	50	0.90439771	0.64843750	1.00000000	0.35156250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	2	67202311	2	53	0.89866157	0.64062500	1.00000000	0.35937500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	3	67203320	2	47	0.91013384	0.67968750	1.00000000	0.32031250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	4	67204329	2	24	0.95411090	0.81250000	1.00000000	0.18750000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	5	67205338	2	30	0.94263862	0.79687500	1.00000000	0.20312500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	6	67206347	2	57	0.89101338	0.62500000	1.00000000	0.37500000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	7	67207356	2	44	0.91586998	0.69531250	1.00000000	0.30468750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	8	67208365	2	12	0.97705545	0.90625000	1.00000000	0.09375000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	9	67209374	2	64	0.87762906	0.57031250	1.00000000	0.42968750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	10	67210383	2	16	0.96940727	0.89062500	1.00000000	0.10937500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	11	67211392	2	17	0.96749522	0.88281250	1.00000000	0.11718750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	12	67212401	2	105	0.79923518	0.46093750	1.00000000	0.53906250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	13	67213410	2	50	0.90439771	0.64843750	1.00000000	0.35156250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	14	67214419	2	29	0.94455067	0.80468750	1.00000000	0.19531250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	15	67215428	2	51	0.90248566	0.67187500	1.00000000	0.32812500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	16	67216437	2	43	0.91778203	0.71875000	1.00000000	0.28125000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	17	67217446	2	51	0.90248566	0.67968750	1.00000000	0.32031250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	18	67218455	2	17	0.96749522	0.87500000	1.00000000	0.12500000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	19	67219464	2	25	0.95219885	0.84375000	1.00000000	0.15625000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	20	67220473	2	2	0.99617591	0.98437500	1.00000000	0.01562500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	21	67221482	2	99	0.81070746	0.50781250	1.00000000	0.49218750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	22	67222491	2	23	0.95602294	0.84375000	1.00000000	0.15625000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	23	67223500	2	72	0.86233270	0.48437500	1.00000000	0.51562500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	24	67224509	2	32	0.93881453	0.79687500	1.00000000	0.20312500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	25	67225518	2	20	0.96175908	0.86718750	1.00000000	0.13281250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	26	67226527	2	21	0.95984704	0.84375000	1.00000000	0.15625000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	27	67227536	2	50	0.90439771	0.66406250	1.00000000	0.33593750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	28	67228545	2	23	0.95602294	0.84375000	1.00000000	0.15625000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.100	29	67229554	2	19	0.96367113	0.85937500	1.00000000	0.14062500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	0	67200443	6	187	0.64244742	0.21093750	1.00000000	0.78906250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	1	67201452	6	134	0.74378585	0.31250000	1.00000000	0.68750000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	2	67202461	6	96	0.81644359	0.49218750	1.00000000	0.50781250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	3	67203470	6	142	0.72848948	0.32812500	1.00000000	0.67187500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	4	67204479	6	66	0.87380497	0.60937500	1.00000000	0.39062500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	5	67205488	6	111	0.78776291	0.38281250	1.00000000	0.61718750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	6	67206497	6	88	0.83173996	0.49218750	1.00000000	0.50781250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	7	67207506	6	153	0.70745698	0.29687500	1.00000000	0.70312500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	8	67208515	6	136	0.73996176	0.31250000	1.00000000	0.68750000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	9	67209524	6	120	0.77055449	0.41406250	1.00000000	0.58593750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	10	67210533	6	175	0.66539197	0.29687500	1.00000000	0.70312500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	11	67211542	6	149	0.71510516	0.39062500	1.00000000	0.60937500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	12	67212551	6	161	0.69216061	0.28125000	1.00000000	0.71875000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	13	67213560	6	226	0.56787763	0.14843750	1.00000000	0.85156250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	14	67214569	6	128	0.75525813	0.32031250	1.00000000	0.67968750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	15	67215578	6	132	0.74760994	0.32031250	1.00000000	0.67968750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	16	67216587	6	102	0.80497132	0.48437500	1.00000000	0.51562500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	17	67217596	6	78	0.85086042	0.59375000	1.00000000	0.40625000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	18	67218605	6	199	0.61950287	0.18750000	1.00000000	0.81250000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	19	67219614	6	150	0.71319312	0.33593750	1.00000000	0.66406250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	20	67220623	6	57	0.89101338	0.63281250	1.00000000	0.36718750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	21	67221632	6	174	0.66730402	0.23437500	1.00000000	0.76562500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	22	67222641	6	125	0.76099426	0.34375000	1.00000000	0.65625000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	23	67223650	6	106	0.79732314	0.41406250	1.00000000	0.58593750	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	24	67224659	6	138	0.73613767	0.31250000	1.00000000	0.68750000	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	25	67225668	6	176	0.66347992	0.26562500	1.00000000	0.73437500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	26	67226677	6	139	0.73422562	0.32812500	1.00000000	0.67187500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	27	67227686	6	135	0.74187380	0.30468750	1.00000000	0.69531250	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	28	67228695	6	131	0.74952199	0.35937500	1.00000000	0.64062500	frozen decoder plus explicitly marked collapse oracle
M0_IDENTITY	Doyle	0.250	29	67229704	6	135	0.74187380	0.25000000	1.00000000	0.75000000	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	0	67200345	1	11	0.97896750	0.91406250	1.00000000	0.08593750	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	1	67201354	1	11	0.97896750	0.91406250	1.00000000	0.08593750	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	2	67202363	1	46	0.91204589	0.66406250	1.00000000	0.33593750	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	3	67203372	1	12	0.97705545	0.90625000	1.00000000	0.09375000	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	4	67204381	1	19	0.96367113	0.87500000	1.00000000	0.12500000	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	5	67205390	1	11	0.97896750	0.91406250	1.00000000	0.08593750	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	6	67206399	1	9	0.98279159	0.92968750	1.00000000	0.07031250	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	7	67207408	1	68	0.86998088	0.56250000	1.00000000	0.43750000	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	8	67208417	1	41	0.92160612	0.71093750	1.00000000	0.28906250	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	9	67209426	1	41	0.92160612	0.71093750	1.00000000	0.28906250	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	10	67210435	1	19	0.96367113	0.87500000	1.00000000	0.12500000	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	11	67211444	1	53	0.89866157	0.64843750	1.00000000	0.35156250	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	12	67212453	1	39	0.92543021	0.72656250	1.00000000	0.27343750	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	13	67213462	1	68	0.86998088	0.56250000	1.00000000	0.43750000	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	14	67214471	1	1	0.99808795	0.99218750	1.00000000	0.00781250	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	15	67215480	1	39	0.92543021	0.72656250	1.00000000	0.27343750	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	16	67216489	1	11	0.97896750	0.91406250	1.00000000	0.08593750	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	17	67217498	1	10	0.98087954	0.92968750	1.00000000	0.07031250	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	18	67218507	1	11	0.97896750	0.91406250	1.00000000	0.08593750	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	19	67219516	1	1	0.99808795	0.99218750	1.00000000	0.00781250	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	20	67220525	1	53	0.89866157	0.64843750	1.00000000	0.35156250	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	21	67221534	1	41	0.92160612	0.71093750	1.00000000	0.28906250	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	22	67222543	1	39	0.92543021	0.72656250	1.00000000	0.27343750	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	23	67223552	1	19	0.96367113	0.87500000	1.00000000	0.12500000	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	24	67224561	1	1	0.99808795	0.99218750	1.00000000	0.00781250	frozen decoder plus explicitly marked collapse oracle
M1_MONOALPHABETIC	Doyle	0.050	25	67225570	1	12	0.97705545	0.90625000	1.00000000	0.09375000	frozen decoder plus explicitly marked collapse oracle
