candidate	corpus	error_channel	error_rate	replicates	mean_glyph_recovery	mean_token_recovery	exact_message_probability	E90	E50	E10	threshold_basis
G_FORM_MEDIUM	Astafiev	GLYPH_DELETION	0.00000	100	0.55970149	0.55468750	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_DELETION	0.00100	100	0.55582090	0.55093750	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_DELETION	0.00250	100	0.55564179	0.55085938	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_DELETION	0.00500	100	0.54783582	0.54375000	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_DELETION	0.01000	100	0.53400450	0.53062500	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_DELETION	0.02000	100	0.51505695	0.51078125	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_DELETION	0.05000	100	0.46370712	0.44742188	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_INSERTION	0.00000	100	0.55970149	0.55468750	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_INSERTION	0.00100	100	0.55708955	0.55226562	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_INSERTION	0.00250	100	0.55629851	0.55195313	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_INSERTION	0.00500	100	0.55061194	0.54679687	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_INSERTION	0.01000	100	0.54062852	0.53750000	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_INSERTION	0.02000	100	0.52647708	0.52406250	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_INSERTION	0.05000	100	0.48650086	0.48140625	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_SUBSTITUTION	0.00000	100	0.55970149	0.55468750	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_SUBSTITUTION	0.00100	100	0.55649254	0.55125000	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_SUBSTITUTION	0.00250	100	0.55592537	0.55117187	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_SUBSTITUTION	0.00500	100	0.54885075	0.54460937	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_SUBSTITUTION	0.01000	100	0.53776863	0.53429688	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_SUBSTITUTION	0.02000	100	0.51665688	0.51484375	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	GLYPH_SUBSTITUTION	0.05000	100	0.47159989	0.46109375	0.00000000	0.00000	0.05000	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_DELETION	0.00000	100	0.55970149	0.55468750	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_DELETION	0.00100	100	0.55523881	0.30773438	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_DELETION	0.00250	100	0.55453731	0.31234375	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_DELETION	0.00500	100	0.55435821	0.30023437	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_DELETION	0.01000	100	0.55435821	0.27617188	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_DELETION	0.02000	100	0.54385075	0.16359375	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_DELETION	0.05000	100	0.53067164	0.09265625	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_INSERTION	0.00000	100	0.55970149	0.55468750	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_INSERTION	0.00100	100	0.55261194	0.28542636	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_INSERTION	0.00250	100	0.55314925	0.29162791	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_INSERTION	0.00500	100	0.55337313	0.30240310	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_INSERTION	0.01000	100	0.55200000	0.28519380	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_INSERTION	0.02000	100	0.54043637	0.16809160	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_BOUNDARY_INSERTION	0.05000	100	0.52562603	0.09701493	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_MERGE	0.00000	100	0.55970149	0.55468750	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_MERGE	0.00100	100	0.55386567	0.29835937	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_MERGE	0.00250	100	0.55456716	0.30976562	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_MERGE	0.00500	100	0.55447761	0.30328125	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_MERGE	0.01000	100	0.55446269	0.26179687	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_MERGE	0.02000	100	0.54459701	0.17500000	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_MERGE	0.05000	100	0.53001493	0.10125000	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
G_FORM_MEDIUM	Astafiev	TOKEN_SPLIT	0.00000	100	0.55970149	0.55468750	0.00000000	0.00000	NOT_REACHED	NOT_REACHED	empirical 100-replicate mean; no extrapolation
