candidate	corpus	seed	control	input_units	glyph_recovery_against_original	token_recovery_against_original	word_error_rate	exact_message_recovery	output_grammar
M0_IDENTITY	Doyle	67500001	SHUFFLED_PLAINTEXT	128	0.21797323	0.01562500	0.93750000	0	same frozen encoder grammar
M1_MONOALPHABETIC	Doyle	67500001	SHUFFLED_PLAINTEXT	128	0.21797323	0.01562500	0.93750000	0	same frozen encoder grammar
M2_HOMOPHONY_H2	Doyle	67500001	SHUFFLED_PLAINTEXT	128	0.21797323	0.01562500	0.93750000	0	same frozen encoder grammar
G_FORM_MEDIUM	Doyle	67500001	SHUFFLED_PLAINTEXT	128	0.23900574	0.01562500	0.93750000	0	same frozen encoder grammar
M9_GROUP_FORM_FIXED	Doyle	67500001	SHUFFLED_PLAINTEXT	131	0.20801527	0.00000000	1.00000000	0	same frozen encoder grammar
M10_STATEFUL_FORM_K2	Doyle	67500001	SHUFFLED_PLAINTEXT	150	0.23709369	0.02000000	0.98000000	0	same frozen encoder grammar
M11_MIXED_FORM_K2	Doyle	67500001	SHUFFLED_PLAINTEXT	150	0.24474187	0.02000000	0.98000000	0	same frozen encoder grammar
M0_IDENTITY	Longfellow	67500001	SHUFFLED_PLAINTEXT	128	0.22166667	0.00781250	0.94531250	0	same frozen encoder grammar
M1_MONOALPHABETIC	Longfellow	67500001	SHUFFLED_PLAINTEXT	128	0.22166667	0.00781250	0.94531250	0	same frozen encoder grammar
M2_HOMOPHONY_H2	Longfellow	67500001	SHUFFLED_PLAINTEXT	128	0.22166667	0.00781250	0.94531250	0	same frozen encoder grammar
G_FORM_MEDIUM	Longfellow	67500001	SHUFFLED_PLAINTEXT	128	0.23166667	0.00000000	0.96875000	0	same frozen encoder grammar
M9_GROUP_FORM_FIXED	Longfellow	67500001	SHUFFLED_PLAINTEXT	150	0.22000000	0.00000000	1.00000000	0	same frozen encoder grammar
M10_STATEFUL_FORM_K2	Longfellow	67500001	SHUFFLED_PLAINTEXT	173	0.26000000	0.02312139	0.97687861	0	same frozen encoder grammar
M11_MIXED_FORM_K2	Longfellow	67500001	SHUFFLED_PLAINTEXT	173	0.24500000	0.02890173	0.97109827	0	same frozen encoder grammar
M0_IDENTITY	Astafiev	67500001	SHUFFLED_PLAINTEXT	128	0.21044776	0.00781250	0.96875000	0	same frozen encoder grammar
M1_MONOALPHABETIC	Astafiev	67500001	SHUFFLED_PLAINTEXT	128	0.21044776	0.00781250	0.96875000	0	same frozen encoder grammar
M2_HOMOPHONY_H2	Astafiev	67500001	SHUFFLED_PLAINTEXT	128	0.21044776	0.00781250	0.96875000	0	same frozen encoder grammar
G_FORM_MEDIUM	Astafiev	67500001	SHUFFLED_PLAINTEXT	128	0.20895522	0.00781250	0.96875000	0	same frozen encoder grammar
M9_GROUP_FORM_FIXED	Astafiev	67500001	SHUFFLED_PLAINTEXT	168	0.20386905	0.00000000	1.00000000	0	same frozen encoder grammar
M10_STATEFUL_FORM_K2	Astafiev	67500001	SHUFFLED_PLAINTEXT	192	0.25074627	0.01562500	0.98437500	0	same frozen encoder grammar
M11_MIXED_FORM_K2	Astafiev	67500001	SHUFFLED_PLAINTEXT	192	0.23582090	0.01562500	0.98437500	0	same frozen encoder grammar
