candidate	corpus	task66_source_mechanism	task66_artifact_basis	task66_family_count	task66_families_above_0_15	fingerprint_compatibility	median_task66_progress	task66_family_progress_vector	task67_clean_glyph_recovery	task67_clean_token_recovery	task67_R_I	on_pareto_front
M0_IDENTITY	Doyle	M0_IDENTITY	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	0	0.00000000	0.00000000	CHARACTER_ENTROPY=-9.59755e-16;LOCAL_REGIME_TOPOLOGY=0.00331637;LOCAL_TRANSITION=0;POSITIONAL_STRUCTURE=0;REPETITION_EDIT_GEOMETRY=0;TOKEN_FORMATION=-2.22766e-16;TOKEN_ORDER=-0.000399943	1.00000000	1.00000000	1.00000000	false
M1_MONOALPHABETIC	Doyle	M1_MONOALPHABETIC	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	0	0.00000000	-0.00000000	CHARACTER_ENTROPY=-4.92116e-15;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-7.38983e-17;POSITIONAL_STRUCTURE=-7.64871e-16;REPETITION_EDIT_GEOMETRY=-0.0219034;TOKEN_FORMATION=0;TOKEN_ORDER=-0.00564595	1.00000000	1.00000000	1.00000000	false
M2_HOMOPHONY_H2	Doyle	M2_HOMOPHONY_H2	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	1	0.14285714	-0.00097589	CHARACTER_ENTROPY=-2.85679;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.127966;POSITIONAL_STRUCTURE=0.000807146;REPETITION_EDIT_GEOMETRY=-0.256475;TOKEN_FORMATION=-0.000975894;TOKEN_ORDER=0.691626	1.00000000	1.00000000	1.00000000	true
G_FORM_MEDIUM	Doyle	M3_FORM_MEDIUM	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	6	0.85714286	0.72519926	CHARACTER_ENTROPY=3.5381;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=0.725199;POSITIONAL_STRUCTURE=2.39462;REPETITION_EDIT_GEOMETRY=0.431454;TOKEN_FORMATION=2.1133;TOKEN_ORDER=0.548982	0.62332696	0.57031250	0.91806026	true
M9_GROUP_FORM_FIXED	Doyle	M9_GROUP_FORM_FIXED	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	6	0.85714286	0.81702156	CHARACTER_ENTROPY=3.75639;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=0.69158;POSITIONAL_STRUCTURE=2.41277;REPETITION_EDIT_GEOMETRY=0.310508;TOKEN_FORMATION=2.13224;TOKEN_ORDER=0.817022	0.44656489	0.19083969	0.87229637	true
M10_STATEFUL_FORM_K2	Doyle	M10_STATEFUL_FORM_K2	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	6	0.85714286	0.83686277	CHARACTER_ENTROPY=0.473828;LOCAL_REGIME_TOPOLOGY=0.999248;LOCAL_TRANSITION=1.4261;POSITIONAL_STRUCTURE=1.84167;REPETITION_EDIT_GEOMETRY=0.239391;TOKEN_FORMATION=0.836863;TOKEN_ORDER=-0.0840399	0.30975143	0.08000000	0.89156118	false
M11_MIXED_FORM_K2	Doyle	M11_MIXED_FORM_K2	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	6	0.85714286	0.87500000	CHARACTER_ENTROPY=0.45156;LOCAL_REGIME_TOPOLOGY=0.999248;LOCAL_TRANSITION=0.941268;POSITIONAL_STRUCTURE=0.875;REPETITION_EDIT_GEOMETRY=0.0625771;TOKEN_FORMATION=0.649306;TOKEN_ORDER=2.3548	0.27915870	0.08666667	0.96673401	false
M0_IDENTITY	Longfellow	M0_IDENTITY	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	0	0.00000000	-0.00000000	CHARACTER_ENTROPY=-1.55941e-15;LOCAL_REGIME_TOPOLOGY=0.000882921;LOCAL_TRANSITION=-6.6467e-16;POSITIONAL_STRUCTURE=8.88178e-17;REPETITION_EDIT_GEOMETRY=1.12241e-16;TOKEN_FORMATION=-6.93342e-16;TOKEN_ORDER=-0.000576568	1.00000000	1.00000000	1.00000000	false
M1_MONOALPHABETIC	Longfellow	M1_MONOALPHABETIC	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	0	0.00000000	0.00000000	CHARACTER_ENTROPY=2.72929e-15;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=3.36113e-17;POSITIONAL_STRUCTURE=-4.65783e-16;REPETITION_EDIT_GEOMETRY=0.000174905;TOKEN_FORMATION=-1.27654e-16;TOKEN_ORDER=-0.00301543	1.00000000	1.00000000	1.00000000	false
M2_HOMOPHONY_H2	Longfellow	M2_HOMOPHONY_H2	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	1	0.14285714	-0.00088003	CHARACTER_ENTROPY=-2.59087;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.0929454;POSITIONAL_STRUCTURE=0.000700111;REPETITION_EDIT_GEOMETRY=-0.33315;TOKEN_FORMATION=-0.000880032;TOKEN_ORDER=0.252884	1.00000000	1.00000000	1.00000000	true
G_FORM_MEDIUM	Longfellow	M3_FORM_MEDIUM	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	5	0.71428571	0.70953854	CHARACTER_ENTROPY=3.20077;LOCAL_REGIME_TOPOLOGY=-0.333333;LOCAL_TRANSITION=0.709539;POSITIONAL_STRUCTURE=2.69414;REPETITION_EDIT_GEOMETRY=0.421139;TOKEN_FORMATION=2.04945;TOKEN_ORDER=0.0691508	0.50333333	0.48437500	0.94286696	true
M9_GROUP_FORM_FIXED	Longfellow	M9_GROUP_FORM_FIXED	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	6	0.85714286	0.67539063	CHARACTER_ENTROPY=3.37057;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=0.675391;POSITIONAL_STRUCTURE=2.72092;REPETITION_EDIT_GEOMETRY=0.283532;TOKEN_FORMATION=2.06997;TOKEN_ORDER=0.163452	0.40166667	0.12000000	0.86252101	true
M10_STATEFUL_FORM_K2	Longfellow	M10_STATEFUL_FORM_K2	HELDOUT_IF_AVAILABLE_ELSE_DEVELOPMENT	7	5	0.71428571	0.83460655	CHARACTER_ENTROPY=0.540915;LOCAL_REGIME_TOPOLOGY=0.999231;LOCAL_TRANSITION=1.30706;POSITIONAL_STRUCTURE=2.01;REPETITION_EDIT_GEOMETRY=0.130388;TOKEN_FORMATION=0.834607;TOKEN_ORDER=-0.248082	0.34000000	0.13872832	0.88421005	false
