candidate	corpus	error_type	error_position	position_fraction	location_class	seed	damaged_units	correct_units_after_error	recovery_after_error	L_sync	catastrophic_desync	clean_output_tokens	damaged_output_tokens	propagation_baseline
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0	0.000000	TOKEN_FINAL	67101894	1	127	0.99218750	1	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	32	0.250000	TOKEN_FINAL	67102903	1	95	0.98958333	1	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	64	0.500000	TOKEN_MEDIAL	67103912	1	63	0.98437500	1	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	126	0.984375	TOKEN_MEDIAL	67104921	1	1	0.50000000	-2	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	GLYPH_DELETION	0	0.000000	TOKEN_FINAL	67101506	1	127	0.99218750	1	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	GLYPH_DELETION	32	0.250000	TOKEN_FINAL	67102515	1	95	0.98958333	1	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	GLYPH_DELETION	64	0.500000	TOKEN_MEDIAL	67103524	1	63	0.98437500	1	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	GLYPH_DELETION	126	0.984375	TOKEN_MEDIAL	67104533	1	1	0.50000000	-2	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	GLYPH_INSERTION	0	0.000000	TOKEN_MEDIAL	67101603	1	127	0.99218750	1	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	GLYPH_INSERTION	32	0.250000	TOKEN_MEDIAL	67102612	1	95	0.98958333	1	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	GLYPH_INSERTION	64	0.500000	TOKEN_MEDIAL	67103621	1	63	0.98437500	1	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	GLYPH_INSERTION	126	0.984375	TOKEN_MEDIAL	67104630	1	1	0.50000000	-2	false	128	128	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	0	0.000000	TOKEN_MEDIAL	67102476	128	0	0.00000000	-1	true	128	129	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	32	0.250000	TOKEN_MEDIAL	67103485	96	0	0.00000000	-1	true	128	129	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	64	0.500000	TOKEN_MEDIAL	67104494	64	0	0.00000000	-1	true	128	129	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	126	0.984375	TOKEN_MEDIAL	67105503	2	0	0.00000000	-2	false	128	129	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_DELETION	0	0.000000	BOUNDARY_ADJACENT	67102379	128	0	0.00000000	-1	true	128	127	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_DELETION	32	0.250000	BOUNDARY_ADJACENT	67103388	96	0	0.00000000	-1	true	128	127	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_DELETION	64	0.500000	BOUNDARY_ADJACENT	67104397	64	0	0.00000000	-1	true	128	127	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_DELETION	126	0.984375	BOUNDARY_ADJACENT	67105406	2	0	0.00000000	-2	false	128	127	CLEAN_DECODED_SEQUENCE
M0_IDENTITY	Doyle	TOKEN_MERGE	0	0.000000	BOUNDARY_ADJACENT	67101215	128	0	0.00000000	-1	true	128	127	CLEAN_DECODED_SEQUENCE
