claim_id	topic	observation	source_experiment	source_artifact	method	controls	result	interpretation	confidence	limitations	literature_relation	status
P1-C001	baseline structure	The canonical Stage1-28 run completed all 27 configured analytical stages on the stated ZL3b-x7 corpus.	experiments/voynich-v1	experiments/voynich-v1/REPORT.md	Frozen multistage descriptive and confirmatory pipeline	Stage-specific shuffles, block permutations, natural controls and metadata validation	A multiscale structural baseline and artifact set exists.	Entry point for Phase I evidence, not one omnibus statistical result.	HIGH	Different stages use different units and nulls; completion does not validate every interpretation.	Pipeline-specific evidence base	SUPPORTED
P1-C002	transposition	The best frozen width-2 natural inverse candidate reduced all four holdout structural metrics relative to the original stream.	experiments/inverse-transposition/voynich-validation	experiments/inverse-transposition/voynich-validation/VALIDATION_REPORT.md	Frozen structural-v2 inverse search followed by an 80/20 line holdout	Doyle T2/T4/T8 calibration, natural-text width-2 audit, 30 deterministic token permutations	Holdout deltas were -0.000965 transition, -0.000797 relation, -0.044830 sequence-2 and -0.003044 sequence-3.	The tested inverse did not restore the targeted structure.	MEDIUM	Split and meaningful-effect threshold were not preregistered; tested family is narrow.	No equivalent direct literature test identified	NEGATIVE_RESULT
P1-C003	transposition validation	The inverse-transposition method recovered the known synthetic transform in top-3 for all three blinded cases and exactly for all three.	research/phase1/inverse-transposition-search	research/phase1/inverse-transposition-search/INVERSE_TRANSPOSITION_TASK54_1_REPORT.md	Blind synthetic known-transform recovery	Doyle T2/T4/T8; metric correlation audit	True candidate was top-1 in 2/3 and top-3/exact in 3/3.	The search can detect tested transforms under synthetic conditions.	MEDIUM	Synthetic calibration is not evidence that Voynich is transposed.	Methodological validation	SUPPORTED
P1-C004	inverse homophony	The frozen synthetic inverse-homophony gate failed and Voynich Phase B was not run.	experiments/inverse-homophony/synthetic-validation	experiments/inverse-homophony/synthetic-validation/SYNTHETIC_VALIDATION_REPORT.md	Blind class and structural recovery with a prerequired gate	Natural and transformed controls; development/validation split	Class recovery beat random in 9/9 but structural recovery passed only 3/9; gate FAIL; Phase B NOT_RUN_BY_DESIGN.	The inverse method was not reliable enough for a Voynich claim.	HIGH	This is a method failure, not evidence for or against homophony in Voynich.	No direct Voynich result	NEGATIVE_RESULT
P1-C005	token order	Voynich corrected adjacent-token MI was 0.090736 bits, 1.099% of capped token entropy, while edge-glyph corrected MI was 0.216302 bits, 6.271%.	experiments/rozanova-temerev-v1	experiments/rozanova-temerev-v1/KEY_100_RESULTS.tsv	Adjacent MI minus mean of 100 within-line shuffles	Doyle, Longfellow, Astafiev and homophony transforms	Visible token identities carry weak average adjacent dependence while token-edge glyphs remain coupled.	Ordinary-word interpretation of visible tokens is strained; structured boundaries remain possible.	HIGH	Different transcription/sample from R&T; MI is not semantics.	AGREES with Rozanova-Temerev 2026	SUPPORTED
P1-C006	homophony	Position-independent global homophony reduced Doyle corrected token-order share toward but not to Voynich and opaque outputs made glyph-edge MI inapplicable.	experiments/rozanova-temerev-v1	experiments/rozanova-temerev-v1/REPORT.md	H2/H4/H6/H8 uniform and frequency controls	Untransformed Doyle and Voynich rows	Uniform H2-H8 share fell from 6.825% to 3.325% versus Voynich 1.099%.	Simple homophony changes one target in the right direction but does not reproduce the joint fingerprint.	MEDIUM	No glyph-edge comparison for opaque-token transforms; not all homophony systems tested.	Partial replication plus extension of prior cipher controls	PARTIALLY_SUPPORTED
P1-C007	glyph position	Six frequent Voynich glyphs were near-strict initial, medial or final specialists at the frozen thresholds.	experiments/glyph-position-v1	experiments/glyph-position-v1/REPORT.md	Position frequencies with within-token permutation/FDR	Doyle, Longfellow, Astafiev; positive controls	q initial 0.9912; N final 0.9856; e medial 0.9838; E medial 0.9765; i medial 0.9676; m final 0.9505.	Token-internal glyph placement is strongly constrained.	HIGH	Thresholded high-frequency subset; transcription glyphs need not be letters.	PARTIALLY_AGREES with longstanding positional descriptions; modern control extension	SUPPORTED
P1-C008	simple homophony	Doyle H2/H4/H8 position-independent homophony generated zero high-frequency near-strict specialists.	experiments/glyph-position-v1	experiments/glyph-position-v1/POSITIONAL_SPECIALIZATION_COMPARISON.tsv	Shared corrected seeded homophony generator	Natural corpora and position-dependent/structured positive controls	All simple homophony controls had zero specialists versus six in Voynich.	Simple position-independent homophony is insufficient for this positional property.	HIGH	Does not test position-dependent homophony, structured token encoding or broad cipher classes.	Methodologically distinct extension	NEGATIVE_RESULT
P1-C009	repetition	Voynich exact adjacent repetition exceeded a global null but not a line-preserving null.	experiments/token-repetition-v1	experiments/token-repetition-v1/REPORT.md	Adjacent equality and permutation nulls	Global and within-line shuffles; natural corpora	Observed 0.009119; global-null 0.003127, z=21.574; line-null 0.008923, z=0.464.	Most exact-repeat enrichment is accounted for by line/local organization.	HIGH	Null equivalence is property-specific; does not explain why line structure exists.	PARTIALLY_AGREES with Schinner and Timm-Schinner; stronger matched-null extension	SUPPORTED
P1-C010	edit geometry	Voynich adjacent edit-distance<=1 rate remained enriched against global, line-preserving and frequency/length-matched controls.	experiments/token-repetition-v1	experiments/token-repetition-v1/REPORT.md	Levenshtein-near adjacent pairs and matched nulls	Global and within-line shuffles; frequency/length matching; natural corpora	Observed 0.058656; global 0.025631; line-null 0.050938; matched 0.034936.	Local near-form organization is not reducible to vocabulary opportunity or line structure alone.	HIGH	Edit distance is a formal similarity, not morphology or derivation.	PARTIALLY_AGREES with repetition/self-citation literature; methodological extension	SUPPORTED
P1-C011	edit operations	Insertions and deletions in adjacent near-repeat pairs concentrated at token beginnings.	experiments/token-repetition-v1	experiments/token-repetition-v1/EDIT_OPERATION_POSITION.tsv	Edit-operation position tabulation	Substitution position and control corpora	Boundary-biased edit geometry was observed.	Compatible with structured token formation, without identifying its cause.	MEDIUM	Descriptive; pair dependence and multiple explanations remain.	Partial analogue to local-form literature	PARTIALLY_SUPPORTED
