window_start	window_end	tokens	new_types	new_type_rate
0	500	500	389	0.77800000000000002
500	1000	500	300	0.59999999999999998
1000	1500	500	251	0.502
1500	2000	500	231	0.46200000000000002
2000	2500	500	222	0.44400000000000001
2500	3000	500	241	0.48199999999999998
3000	3500	500	225	0.45000000000000001
3500	4000	500	211	0.42199999999999999
4000	4500	500	199	0.39800000000000002
4500	5000	500	195	0.39000000000000001
5000	5500	500	186	0.372
5500	6000	500	204	0.40799999999999997
6000	6500	500	198	0.39600000000000002
6500	7000	500	205	0.40999999999999998
7000	7500	500	155	0.31
7500	8000	500	156	0.312
8000	8500	500	153	0.30599999999999999
8500	9000	500	143	0.28599999999999998
9000	9500	500	154	0.308
9500	10000	500	140	0.28000000000000003
10000	10500	500	165	0.33000000000000002
10500	11000	500	150	0.29999999999999999
11000	11500	500	118	0.23599999999999999
11500	12000	500	127	0.254
12000	12500	500	153	0.30599999999999999
12500	13000	500	130	0.26000000000000001
13000	13500	500	117	0.23400000000000001
13500	14000	500	122	0.24399999999999999
14000	14500	500	127	0.254
14500	15000	500	146	0.29199999999999998
15000	15500	500	102	0.20399999999999999
15500	16000	500	122	0.24399999999999999
16000	16500	500	122	0.24399999999999999
16500	17000	500	141	0.28199999999999997
17000	17500	500	132	0.26400000000000001
17500	18000	500	123	0.246
18000	18500	500	147	0.29399999999999998
18500	19000	500	127	0.254
19000	19500	500	109	0.218
19500	20000	500	116	0.23200000000000001
20000	20500	500	139	0.27800000000000002
20500	21000	500	121	0.24199999999999999
21000	21500	500	109	0.218
21500	22000	500	93	0.186
22000	22500	500	112	0.224
22500	23000	500	124	0.248
23000	23500	500	112	0.224
23500	24000	500	148	0.29599999999999999
24000	24500	500	82	0.16400000000000001
24500	25000	500	78	0.156
25000	25500	500	87	0.17399999999999999
25500	26000	500	119	0.23799999999999999
26000	26500	500	84	0.16800000000000001
26500	27000	500	83	0.16600000000000001
27000	27500	500	77	0.154
27500	28000	500	120	0.23999999999999999
28000	28500	500	77	0.154
28500	29000	500	85	0.17000000000000001
29000	29500	500	108	0.216
29500	30000	500	111	0.222
30000	30500	500	112	0.224
30500	31000	500	114	0.22800000000000001
31000	31500	500	83	0.16600000000000001
31500	32000	500	69	0.13800000000000001
32000	32500	500	86	0.17199999999999999
32500	33000	500	76	0.152
33000	33500	500	96	0.192
33500	34000	500	83	0.16600000000000001
34000	34500	500	93	0.186
34500	35000	500	105	0.20999999999999999
35000	35500	500	106	0.21199999999999999
35500	36000	500	109	0.218
36000	36500	500	74	0.14799999999999999
36500	37000	500	68	0.13600000000000001
37000	37500	500	73	0.14599999999999999
37500	38000	500	87	0.17399999999999999
38000	38500	500	74	0.14799999999999999
38500	39000	500	81	0.16200000000000001
39000	39500	500	71	0.14199999999999999
39500	40000	500	88	0.17599999999999999
40000	40500	500	72	0.14399999999999999
40500	41000	500	66	0.13200000000000001
41000	41500	500	66	0.13200000000000001
41500	42000	500	60	0.12
42000	42500	500	72	0.14399999999999999
42500	43000	500	55	0.11
43000	43500	500	59	0.11799999999999999
43500	43713	213	53	0.24882629107981222
0	1000	1000	689	0.68899999999999995
1000	2000	1000	482	0.48199999999999998
2000	3000	1000	463	0.46300000000000002
3000	4000	1000	436	0.436
4000	5000	1000	394	0.39400000000000002
5000	6000	1000	390	0.39000000000000001
6000	7000	1000	403	0.40300000000000002
7000	8000	1000	311	0.311
8000	9000	1000	296	0.29599999999999999
9000	10000	1000	294	0.29399999999999998
10000	11000	1000	315	0.315
11000	12000	1000	245	0.245
12000	13000	1000	283	0.28299999999999997
13000	14000	1000	239	0.23899999999999999
14000	15000	1000	273	0.27300000000000002
15000	16000	1000	224	0.224
16000	17000	1000	263	0.26300000000000001
17000	18000	1000	255	0.255
18000	19000	1000	274	0.27400000000000002
19000	20000	1000	225	0.22500000000000001
20000	21000	1000	260	0.26000000000000001
21000	22000	1000	202	0.20200000000000001
22000	23000	1000	236	0.23599999999999999
23000	24000	1000	260	0.26000000000000001
24000	25000	1000	160	0.16
25000	26000	1000	206	0.20599999999999999
26000	27000	1000	167	0.16700000000000001
27000	28000	1000	197	0.19700000000000001
28000	29000	1000	162	0.16200000000000001
29000	30000	1000	219	0.219
30000	31000	1000	226	0.22600000000000001
31000	32000	1000	152	0.152
32000	33000	1000	162	0.16200000000000001
33000	34000	1000	179	0.17899999999999999
34000	35000	1000	198	0.19800000000000001
35000	36000	1000	215	0.215
36000	37000	1000	142	0.14199999999999999
37000	38000	1000	160	0.16
38000	39000	1000	155	0.155
39000	40000	1000	159	0.159
40000	41000	1000	138	0.13800000000000001
41000	42000	1000	126	0.126
42000	43000	1000	127	0.127
43000	43713	713	112	0.15708274894810659
0	2000	2000	1171	0.58550000000000002
2000	4000	2000	899	0.44950000000000001
4000	6000	2000	784	0.39200000000000002
6000	8000	2000	714	0.35699999999999998
8000	10000	2000	590	0.29499999999999998
10000	12000	2000	560	0.28000000000000003
12000	14000	2000	522	0.26100000000000001
14000	16000	2000	497	0.2485
16000	18000	2000	518	0.25900000000000001
18000	20000	2000	499	0.2495
20000	22000	2000	462	0.23100000000000001
22000	24000	2000	496	0.248
24000	26000	2000	366	0.183
26000	28000	2000	364	0.182
28000	30000	2000	381	0.1905
30000	32000	2000	378	0.189
32000	34000	2000	341	0.17050000000000001
34000	36000	2000	413	0.20649999999999999
36000	38000	2000	302	0.151
38000	40000	2000	314	0.157
40000	42000	2000	264	0.13200000000000001
42000	43713	1713	239	0.13952130764740223
