checkpoint_n	vocabulary_size	hapax_count	dis_legomena_count	tris_legomena_count	hapax_fraction_of_types	hapax_fraction_of_tokens	dis_fraction_of_types	dis_fraction_of_tokens
100	95	91	3	1	0.95789473684210524	0.91000000000000003	0.063157894736842107	0.059999999999999998
200	177	161	11	3	0.90960451977401124	0.80500000000000005	0.12429378531073447	0.11
500	389	325	38	14	0.83547557840616971	0.65000000000000002	0.19537275064267351	0.152
1000	689	548	78	27	0.79535558780841797	0.54800000000000004	0.22641509433962265	0.156
2000	1171	913	118	47	0.77967549103330491	0.45650000000000002	0.20153714773697695	0.11799999999999999
4000	2070	1610	197	72	0.77777777777777779	0.40250000000000002	0.19033816425120773	0.098500000000000004
8000	3568	2680	400	143	0.7511210762331838	0.33500000000000002	0.22421524663677131	0.10000000000000001
16000	5737	4046	711	304	0.70524664458776365	0.25287500000000002	0.24786473766777062	0.088874999999999996
32000	9201	6164	1253	499	0.66992718182806221	0.19262499999999999	0.2723616998152375	0.078312499999999993
43713	11074	7184	1583	664	0.64872674733610258	0.16434470294877954	0.28589488892902293	0.072426966806213258
