checkpoint_n	observed	null_mean	null_sd	effect	empirical_p
100	95	93.230000000000004	2.7923287772037169	0.63387951105546481	0.35643564356435642
200	177	176.25999999999999	4.5334754879672667	0.16323017560459172	0.47524752475247523
500	389	393.42000000000002	8.1414740680051292	-0.54289922968249771	0.76237623762376239
1000	689	697.94000000000005	12.802202935432632	-0.69831731656563845	0.74257425742574257
2000	1171	1208.4100000000001	18.681057250594787	-2.0025633184550613	0.98019801980198018
4000	2070	2054	26.196564660275591	0.61076710658410727	0.26732673267326734
8000	3568	3426.7800000000002	34.823721799945503	4.0552816499993058	0.0099009900990099011
16000	5737	5623.4399999999996	36.35555528389024	3.1235941553702729	0.0099009900990099011
32000	9201	9019.3600000000006	35.298872503240098	5.145773423310521	0.0099009900990099011
43713	11074	11074	0	0	1
