section_id	part	folio_range	content_type	short_description	diagrams	mnemonic_role	cryptographic_role	confidence	evidence_level
S00	Tabula divisionis	1r-4v	contents	Оглавление трёх частей; преимущественно открытое письмо	no	карта трактата	минимальная	HIGH	SOURCE
S01	Incipit/Prohemium	5r-6v	prologue	Благодарение, цель, память как thesaurus	no	определяет предмет	основной текст после incipit шифрован	HIGH	SOURCE
S02	Theorica	6v-8r	authorities	Doctores: античные авторитеты, Алан, Пётр из Орвието	no	генеалогия искусства	нет отдельной функции	HIGH	SOURCE
S03	Theorica	8r-14r	theory	Возникновение искусств; виды естественной и интеллектуальной памяти	uncertain	классификация памяти	нет отдельной функции	MEDIUM	SOURCE
S04	Theorica	14v-18v	theory/examples	Десять причин порчи естественной памяти и примеры	no	диагностика ошибок памяти	нет отдельной функции	HIGH	SOURCE
S05	Theorica	19v-36r	instrument treatise	Двенадцать типов инструментов инструментальной памяти	many	внешняя фиксация буквенных cues	часть приборов допускает подстановку/комбинацию	HIGH	SOURCE
S06	Theorica	36v-39r	terminology/theory	Переход к мысленной памяти; синонимы изображений	uncertain	определяет imagines	нет отдельной функции	MEDIUM	SOURCE
S07	Pratica	39r-67v	practice	Правила силы, выбора, построения и размещения мест и образов; experimenta	several	кодирование в loci/imagines	нет самостоятельной функции	MEDIUM	SOURCE+SCHOLARLY
S08	Pratica	70r-83v	practice/psychology	Продолжение практических правил; аристотелевско-томистские положения, цитаты 81v-83r	several	условия удержания/припоминания	нет самостоятельной функции	MEDIUM	SOURCE+SCHOLARLY
S09	Operativa	84r-89r	image glossary	Условные изображения: евангелисты, святые, добродетели, искусства, науки, ранги, земли	including lantern 85v	готовые retrieval cues	открытые подписи; не шифр-механизм	HIGH	SOURCE
S10	Operativa	89r-101r	lists/recipes	Практические перечни loci, imagines и способов оперирования	several	словарь кодирования и упражнений	не установлена	MEDIUM	SOURCE+SCHOLARLY
S11	Operativa	101r-104v	ars oblivionalis	Удаление, перекрытие, затемнение и замещение образов	uncertain	намеренное забывание	нет	HIGH	SOURCE
S12	Operativa	104r-133r	additional examples	Продолжение дикций, примеров, рецептов и изображений; часть рубрик полностью шифрована	many	разнородные мнемонические материалы	символическое письмо как носитель	LOW	SOURCE; full edition required
S13	Operativa/end	133r-140r	closing material/colophon	Заключительные дикции; colophon открытым письмом на 140r	several	неопределённо	символическое письмо до colophon	LOW	SOURCE; full edition required
S14	Codex additions	various	unrelated drawings	Изображения без связи с основным текстом; подписи то открытые, то шифрованные	several	не классифицированы	не классифицированы	MEDIUM	SCHOLARLY
