machine_id	folio_page	source_description	physical_components	moving_components	symbols_text_images	input	external_state	operation	output	claimed_purpose	user_action	required_knowledge	kind	reconstruction_confidence
F01_SPECULUM	19v-21r	Speculum из концентрических орбит на одной поверхности	плоская основа; пять или более концентрических колец; центральная ось	каждое кольцо вращается отдельно	полный алфавит на каждом кольце; радиальные деления	слово до числа колец	выбранная буква каждого кольца выставлена на одном радиусе	независимое вращение; выравнивание; позднее чтение радиуса	исходная последовательность букв	reservatio слова	распределить буквы по кольцам; повернуть; прочитать	алфавит; длина; договорённый радиус	mechanical_device	HIGH
F02_CLAVICULAE	21v-23r approx.	Три разновидности «ключиков» для буквенных комбинаций	ключевидные/стержневые носители с позициями	вариант зависит от типа	буквы	буквенная последовательность	позиционная конфигурация	selection; alignment/substitution	cue или преобразованная последовательность	память/комбинация	собрать или выставить ключи	алфавит; правило конкретного варианта	mechanical_or_conceptual	MEDIUM
F03_STELLA	23r-24r approx.	Звездообразный буквенный инструмент	звезда; лучи/позиции	вероятно вращаемая часть	буквы на позициях	буквы/слово	угловая конфигурация	rotation; alignment	буквенный cue	инструментальная память	выбрать состояние	алфавит и путь чтения	operational_diagram_or_device	LOW
F04_SOL	24r-25r approx.	Солнечный круговой буквенный инструмент	диск/лучи	вращаемые элементы	буквы	буквы/слово	круговая конфигурация	rotation; alignment	буквенный cue	инструментальная память	выставить и прочитать	алфавит и начальная точка	operational_diagram_or_device	LOW
F05_ZIRBUS	25r-26r approx.	Круговая «вертушка» (название буквально связано с брюшиной)	круговые/лопастные сектора	возможное вращение	буквы	буквы/слово	секторная конфигурация	selection; rotation	буквенный cue	инструментальная память	настроить сектора	алфавит; порядок секторов	conceptual_or_mechanical	LOW
F06_GRADATUM	26r-27r approx.	Ступенчатая структура, сопоставляемая с шестигранной пирамидой	ярусы/грани	буквы перемещаются по ступеням	буквы	буквы/слово	позиции по уровням	stepwise shift; traversal	упорядоченная последовательность	инструментальная память	разместить и обходить	направление обхода	operational_diagram	LOW
F07_ROTA	27r-29v approx.	Буквенное колесо	круг/обод/ось	колесо или указатель	буквы	буквы/слово	угловое положение	rotation; selection	буквенный cue	инструментальная память	повернуть/прочитать	алфавит; нулевая позиция	mechanical_device	MEDIUM
F08_SERPENS	29v-31r	Спиральная линия со сквозными отверстиями и вставленными буквами	плоское тело; спираль; равномерные отверстия; вставки	не доказаны; текст говорит о круговом обращении	алфавит и фраза на змее	буквы/фраза	пространственная последовательность внутри-наружу	placement; spiral traversal	последовательность букв/cue	помнить то, что повреждает время	вставить буквы; читать от центра наружу	алфавит; начало и направление	operational_diagram_or_device	MEDIUM
F09_COLUMNA	31r-32r approx.	Колонна с позициями для букв	вертикальный носитель/ярусы	неясно	буквы	буквы/слово	вертикальная расстановка	placement; vertical traversal	буквенный cue	инструментальная память	разместить/обойти	направление обхода	conceptual_or_physical_aid	LOW
F10_CYLINDRUS	32r-33r approx.	Цилиндрический буквенный носитель	цилиндр; полосы/позиции	цилиндр или полосы могут вращаться	буквы	буквы/слово	угловые и осевые позиции	rotation; alignment; traversal	буквенный cue/комбинация	память и комбинация	настроить и прочитать	алфавит; маршрут	mechanical_device	MEDIUM
F11_ARISMETRICUM	33r-34v approx.	Параллелепипед с отверстиями и числами	корпус; отверстия; пронумерованные позиции; вставки	съёмные вставки	числа и/или буквы	индексированные элементы	заполненные позиции	indexing; lookup; placement	индексированный cue	инструментальная память	поместить/найти по номеру	таблица соответствий	mechanical_or_table_device	MEDIUM
F12_HORALOGIUS	34v-35r	Часы, сохраняющие память прошедших времён и движений	колёса либо дымовой/паровой механизм	часовой механизм	временные состояния/сигнал	ход времени; заданный момент	текущее состояние и срабатывание	continuous transition; signalling	напоминание/след времени	позвать забывшего к делу	пустить механизм; воспринять сигнал	калибровка; смысл сигнала	mechanical_device	MEDIUM
