block	transitions	log_loss_m1	log_loss_m2	delta_m1_minus_m2
G0/generic#0	156	5.378327872	6.245485273	-0.8671574007
G1/generic#0	126	5.246377942	6.237380591	-0.9910026493
G2/generic#0	185	5.292625588	6.242589372	-0.9499637833
G3/generic#0	196	5.397155561	6.22775	-0.830594439
G0/generic#1	156	5.522247478	6.256874062	-0.7346265841
G1/generic#1	164	5.440840549	6.220307486	-0.7794669371
G2/generic#1	183	5.4151704	6.288360297	-0.8731898967
G3/generic#1	167	5.382759109	6.237928082	-0.8551689726
G0/generic#2	208	5.288923944	6.23373906	-0.9448151162
G1/generic#2	154	5.471148133	6.246276438	-0.7751283049
G2/generic#2	203	5.437533728	6.258377958	-0.8208442299
G3/generic#2	243	5.53149376	6.241951702	-0.7104579418
G0/generic#3	272	5.347430501	6.221443405	-0.874012904
G1/generic#3	272	5.390524854	6.224391278	-0.8338664244
G2/generic#3	191	5.460884239	6.239077796	-0.7781935567
G3/generic#3	186	5.339977937	6.210118646	-0.8701407092
G0/generic#4	289	5.53391907	6.280880313	-0.7469612433
G1/generic#4	197	5.286316936	6.183312493	-0.8969955563
G2/generic#4	180	5.23823764	6.21362825	-0.9753906096
G3/generic#4	262	5.35859447	6.220214779	-0.8616203094
G0/generic#5	216	5.269821613	6.234432171	-0.9646105584
G1/generic#5	163	5.520195556	6.238880487	-0.7186849309
G2/generic#5	233	5.495129714	6.267758184	-0.7726284695
G3/generic#5	213	5.319373396	6.235670296	-0.9162969007
G0/generic#6	234	5.540633117	6.283614441	-0.7429813236
G1/generic#6	173	5.532109078	6.253691787	-0.7215827087
G2/generic#6	181	5.403654	6.260183126	-0.8565291267
G3/generic#6	125	5.287886277	6.230076611	-0.9421903339
G0/generic#7	210	5.356923894	6.212542877	-0.8556189833
G1/generic#7	208	5.347294558	6.242251119	-0.8949565614
G2/generic#7	157	5.363654297	6.264628986	-0.9009746886
G3/generic#7	162	5.389700712	6.267372294	-0.8776715826
G0/generic#8	265	5.448325694	6.250834648	-0.8025089539
G1/generic#8	231	5.306553388	6.191735765	-0.8851823768
G2/generic#8	175	5.310656687	6.229956909	-0.919300222
G3/generic#8	169	5.687481817	6.265390957	-0.5779091399
G0/generic#9	212	5.366845714	6.243798295	-0.876952581
G1/generic#9	253	5.432174744	6.244993253	-0.8128185089
G2/generic#9	261	5.351348825	6.214528334	-0.8631795091
G3/generic#9	186	5.367188391	6.240234971	-0.8730465803
G0/generic#10	273	5.329341311	6.221848515	-0.8925072047
G1/generic#10	238	5.415158144	6.244009136	-0.8288509915
G2/generic#10	161	5.267454063	6.24205834	-0.9746042769
G3/generic#10	292	5.534389459	6.273890831	-0.7395013724
G0/generic#11	225	5.512806079	6.251535119	-0.7387290396
G1/generic#11	208	5.55142122	6.291326515	-0.7399052952
G2/generic#11	204	5.420008994	6.238882639	-0.8188736455
G3/generic#11	319	5.317410024	6.229079916	-0.9116698915
G0/generic#12	229	5.329835357	6.231746338	-0.9019109811
G1/generic#12	218	5.312050409	6.236057392	-0.9240069833
G2/generic#12	258	5.343154038	6.246342253	-0.9031882145
G3/generic#12	282	5.341060652	6.261574777	-0.9205141243
G0/generic#13	251	5.400693119	6.25080779	-0.8501146709
G1/generic#13	289	5.329730327	6.213878553	-0.8841482266
G2/generic#13	289	5.429107922	6.23595132	-0.8068433989
G3/generic#13	272	5.429459398	6.268621549	-0.8391621512
G0/generic#14	265	5.353582317	6.242706557	-0.8891242404
G1/generic#14	270	5.52925622	6.257441488	-0.7281852672
G2/generic#14	262	5.377783691	6.263283905	-0.8855002142
G3/generic#14	251	5.301383124	6.260092377	-0.9587092531
G0/generic#15	292	5.536700664	6.26130167	-0.7246010061
G1/generic#15	354	5.528193394	6.268379958	-0.7401865639
G2/generic#15	377	5.303319997	6.227109666	-0.9237896691
G3/generic#15	132	5.414503627	6.239899053	-0.8253954262
