block	transitions	log_loss_m1	log_loss_m2	delta_m1_minus_m2
G0/generic#0	68	6.010011422	6.492995863	-0.4829844406
G1/generic#0	57	6.139823717	6.493138743	-0.3533150262
G2/generic#0	79	6.084139628	6.492965474	-0.4088258463
G3/generic#0	72	6.021612303	6.478031042	-0.4564187386
G0/generic#1	66	6.268402719	6.493564919	-0.2251621992
G1/generic#1	62	6.093120201	6.47569006	-0.3825698593
G2/generic#1	96	6.123147262	6.492806682	-0.3696594201
G3/generic#1	58	6.242786499	6.493125115	-0.2503386167
G0/generic#2	90	6.200479219	6.493046085	-0.2925668662
G1/generic#2	60	6.241427127	6.492944774	-0.2515176464
G2/generic#2	83	6.171512611	6.49293203	-0.3214194191
G3/generic#2	90	6.292289107	6.480871595	-0.1885824882
G0/generic#3	133	6.176764912	6.493194366	-0.3164294548
G1/generic#3	98	6.083156832	6.492856678	-0.4096998463
G2/generic#3	84	6.24344254	6.493103567	-0.2496610275
G3/generic#3	80	6.141724737	6.493032949	-0.3513082112
G0/generic#4	97	6.16710981	6.492925705	-0.3258158946
G1/generic#4	71	6.042667437	6.477532992	-0.4348655554
G2/generic#4	78	6.096452999	6.493479405	-0.3970264061
G3/generic#4	106	6.19431405	6.482816678	-0.2885026277
G0/generic#5	87	6.20581374	6.480411277	-0.274597537
G1/generic#5	69	6.210680417	6.49280937	-0.2821289532
G2/generic#5	91	6.200290449	6.492937277	-0.2926468275
G3/generic#5	72	5.921909632	6.492702098	-0.5707924655
G0/generic#6	94	6.095585445	6.493332307	-0.3977468614
G1/generic#6	75	6.229818575	6.49292409	-0.2631055153
G2/generic#6	73	6.089081479	6.49294433	-0.4038628506
G3/generic#6	57	6.108034674	6.493034638	-0.3849999639
G0/generic#7	79	6.294283648	6.479022294	-0.1847386454
G1/generic#7	83	6.201423758	6.492968265	-0.2915445077
G2/generic#7	48	6.240253395	6.492742795	-0.2524894007
G3/generic#7	61	6.084078228	6.493181227	-0.4091029994
G0/generic#8	87	6.02270429	6.493211545	-0.4705072544
G1/generic#8	83	6.098266834	6.493403311	-0.3951364771
G2/generic#8	65	6.142911309	6.493400502	-0.3504891934
G3/generic#8	63	6.230139881	6.492959521	-0.2628196398
G0/generic#9	73	6.275386477	6.492902882	-0.2175164045
G1/generic#9	93	6.128357536	6.469198799	-0.340841263
G2/generic#9	92	6.102954399	6.492995769	-0.3900413703
G3/generic#9	86	6.176678083	6.493012058	-0.3163339749
G0/generic#10	135	6.087053525	6.484863594	-0.397810069
G1/generic#10	83	6.299922506	6.492968265	-0.1930457583
G2/generic#10	64	6.095504523	6.475924289	-0.3804197664
G3/generic#10	93	6.259842874	6.480882186	-0.2210393124
G0/generic#11	98	6.20501752	6.492764519	-0.2877469989
G1/generic#11	85	6.237319603	6.492666888	-0.2553472854
G2/generic#11	91	6.203733616	6.492903927	-0.2891703115
G3/generic#11	143	6.257723601	6.485486567	-0.2277629661
G0/generic#12	92	5.931243971	6.481284054	-0.5500400824
G1/generic#12	99	6.125257649	6.481875513	-0.3566178636
G2/generic#12	128	6.144605183	6.492972271	-0.3483670882
G3/generic#12	141	6.195836354	6.493182031	-0.2973456765
G0/generic#13	89	6.189833082	6.493325892	-0.3034928099
G1/generic#13	112	6.105390374	6.493021899	-0.3876315246
G2/generic#13	142	6.196058737	6.492963661	-0.2969049237
G3/generic#13	134	6.142933813	6.492826168	-0.3498923549
G0/generic#14	110	6.241765781	6.483103504	-0.241337723
G1/generic#14	118	6.204710468	6.48357014	-0.2788596718
G2/generic#14	113	6.019793382	6.492748261	-0.4729548792
G3/generic#14	111	6.100984697	6.492947825	-0.3919631279
G0/generic#15	128	6.250585172	6.492900789	-0.2423156168
G1/generic#15	127	6.210667664	6.484256217	-0.2735885534
G2/generic#15	146	6.116231475	6.492799074	-0.3765675984
G3/generic#15	43	6.164712396	6.493224106	-0.3285117096
