descriptor_id	text_metric	N	sections	effect	raw_p	bh_q	status
COMP_ILLUSTRATION_REGIONS	mean_token_length	195	8	0.430992286260098	NA	NA	SECONDARY_COMPLETED
COMP_ILLUSTRATION_REGIONS	type_token_ratio	195	8	-0.5409522766713089	NA	NA	SECONDARY_COMPLETED
COMP_ILLUSTRATION_REGIONS	token_entropy	195	8	0.5926545623441963	NA	NA	SECONDARY_COMPLETED
COMP_ILLUSTRATION_REGIONS	exact_adjacent_repetition	195	8	-0.018329875536698226	NA	NA	SECONDARY_COMPLETED
COMP_ILLUSTRATION_REGIONS	near_edit_adjacent_repetition	195	8	-0.14509193313670773	NA	NA	SECONDARY_COMPLETED
COMP_ILLUSTRATION_REGIONS	mean_line_transition_entropy	195	8	0.25092678997652534	NA	NA	SECONDARY_COMPLETED
COMP_ILLUSTRATION_REGIONS	mean_line_tokens	195	8	0.1959025422985295	NA	NA	SECONDARY_COMPLETED
COMP_ILLUSTRATION_REGIONS	line_length_cv	195	8	0.016607240406070683	NA	NA	SECONDARY_COMPLETED
COMP_ILLUSTRATION_REGIONS	boundary_length_asymmetry	195	8	-0.24851089759499656	NA	NA	SECONDARY_COMPLETED
COMP_ILLUSTRATION_REGIONS	mean_line_token_entropy	195	8	0.24824350035663523	NA	NA	SECONDARY_COMPLETED
COMP_CENTRAL_ILLUSTRATION	mean_token_length	195	8	-0.3824549262238685	NA	NA	SECONDARY_COMPLETED
COMP_CENTRAL_ILLUSTRATION	type_token_ratio	195	8	0.6621865639550956	NA	NA	SECONDARY_COMPLETED
COMP_CENTRAL_ILLUSTRATION	token_entropy	195	8	-0.5913030229880343	NA	NA	SECONDARY_COMPLETED
COMP_CENTRAL_ILLUSTRATION	exact_adjacent_repetition	195	8	-0.002507335559880505	NA	NA	SECONDARY_COMPLETED
COMP_CENTRAL_ILLUSTRATION	near_edit_adjacent_repetition	195	8	0.19586723938546313	NA	NA	SECONDARY_COMPLETED
COMP_CENTRAL_ILLUSTRATION	mean_line_transition_entropy	195	8	-0.1714839485038295	NA	NA	SECONDARY_COMPLETED
COMP_CENTRAL_ILLUSTRATION	mean_line_tokens	195	8	-0.25712103240918194	NA	NA	SECONDARY_COMPLETED
