token	canonical_token_key	astro_label_family	confirmed_astro_label_occurrences	astro_count	herbal_count	pharmaceutical_count	biological_count	zodiac_count	stars_count	cosmological_count	text_count	global_count	is_global_hapax	is_astronomical_section_hapax	occurs_outside_astronomical	occurs_in_herbal	occurs_in_pharmaceutical	stolfi_label_sections_outside_astro	cross_section_class
adairchdy	a/d/a/i/r/H/d/y	RADIAL_TEXT	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
aiin	a/N	RADIAL_TEXT	1	12	111	35	35	26	220	33	39	511	False	False	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
aiiny	a/N/y	OTHER	1	1	0	0	0	0	1	0	1	3	False	True	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
am	a/m	PLANET_MOON	1	4	21	3	4	9	31	11	5	88	False	False	True	True	True	Cosmological;Pharmaceutical;Zodiac	LABEL_REUSED_ACROSS_SECTIONS
ar	a/r	RADIAL_TEXT	1	13	84	6	16	29	172	53	38	411	False	False	True	True	True	Zodiac	LABEL_REUSED_ACROSS_SECTIONS
aroyser	a/r/o/y/s/e/r	OTHER	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ary	a/r/y	CIRCLE_SECTOR;OTHER	2	3	3	2	4	3	7	4	0	26	False	False	True	True	True	Pharmaceutical;Zodiac	LABEL_REUSED_ACROSS_SECTIONS
chek	H/e/k	OTHER	1	1	2	0	1	1	0	1	0	6	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
chekeys	H/e/k/e/y/s	OTHER	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
cheorol	H/e/o/r/o/l	STAR	1	1	0	1	0	0	0	0	0	2	False	True	True	False	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
chetal	H/e/t/a/l	RADIAL_TEXT	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
chetey	H/e/t/e/y	RADIAL_TEXT	1	1	2	0	2	1	0	1	0	7	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
chocfhy	H/o/F/y	STAR	1	2	0	0	0	0	0	0	0	2	False	False	False	False	False		ASTRO_LABEL_ONLY
chodar	H/o/d/a/r	STAR	1	1	7	1	0	0	4	0	0	13	False	True	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
chol	H/o/l	STAR	1	6	228	44	10	5	72	13	20	398	False	False	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
