schema_id	v1_1_sha256	v1_2_sha256	changed_paths	change_classification	scientific_semantic_effect	justification
complexity	87526b1dc4f3479ae0fbfc0aa8d3c5f2eeea00f99c800571352cbf2f423c90f0	9b731a1accd89cd41577784960f6554cbcf95bbd817d8b644dbaba1a7c0b954d	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
f2_metric	be66f3d93e6997f59b13ae6e4e3babcd88759213f53304d49113f5ba77bf4073	beb517bba0e4402a33f7a7aafe7a791c07af2f8dfcfc18cae777430dbf63fc03	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
final_verdict	fd49955b0f7a942a0f7526dd60d677be334225d26b34f77cea401352972c2960	4b9670b85d73b146a031ae1806f036401ede3fc189be02c580c7eed20a2cc91f	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
fit	5c641e6b9991c86ded9fd5159e6a0de826127ea64956b1452b622d398edf86fb	0fec30a38d28337834a28c43b871662655caf7ce5d06dbf0cd67a3e6f7ecd51d	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
fitted_model	7d91eb7f9db5a7df129e9645c50466b0d39d23bf44bd5905f7e01bef8f5fe4a6	aa714c2617fde49fe6ae2b3d68ac80633d2d5b7ec4e63e92d2d761f5980bcc86	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
generation	647e83ca64beb4fd1963d2625fb61a68ec9ef6315fa522c85f91038088f74a94	a0981573aeac0e25640de66685949b50b576dff899fdef2f28d5b37d5b7d9b48	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
minimality	b795f19fefe3e9ffb60a30701c8452ea2682359dc79c513ac932c6067bb1f9f5	154cc899385359f89ede29a3954209b0a26c0a9392d8195afc07379de96d321b	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
not_reached	0bc5cce6cb802f9529ea8361f91312c8eab7764939759581674973ec2bd0ae02	0e023204a99dd3c0df337a69dcd7867c5b4d84dfae53c2a8005f407943db50f3	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
predictive_gate	4104c48f309f4866d009e6654d5b19cd24cff5c0ea016453612273b13c2226b4	90e84e16d51615f16bf85ee4de371c0882044ab88966ab6c44379638ba5b61bf	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
predictive_metric	f651e6c0ad93db2a2a0e912b8575f6c61def772052cf41a92c0072a07ac035af	02085c9cb6f0141bb8e54a65751f3cbde2c1829750d16401b44adbe4976397bc	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
predictive_verdict	570a38c442a73dc160d2d3528d9f618199acc14fd0bdc44a4d8288d20356bb08	5f9c328b522a0ce3093231315438af4e95a4dd24b62b12c5d73bb7c73d4b6fec	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
scientific_failure	2f5893d686cb3e18cbc51157b4d348e2c2b3800480d0aa90f300fa5e403c8051	1e3cc6f3ee8171b451637d2aa9d5abf83b94469662f9cb25807e18d55832b1e3	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
structural_family	5e1e087667488bee77f000c71f96b6629cff5bdd7e9fe28f7c6b5a3376200c3b	122aed76246860548f40d62a70dccb4fa2369a81b97e281ee9e921cab60cc1ca	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
structural_gate	52a91b197856a4dc1461ce9d23953e01207c2342e5f9d553a39ab3ee248188f1	7b7c4124ff46eba990e71381856bd9c75b82b4f5e0ea6c82dfcdd85141ccf673	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
structural_verdict	9e86e50bc4b5dcb305e06a7b090736f2a0bb51add86b6d0ac73a87a617f100d2	d56a04486813d5172c1f9e9efe64ec309cb5d0be3f59a8425a6c2da1f1efcb2e	$id;title;oneOf/*/properties/schema_id/const;oneOf/*/properties/contract_version/const	EVIDENCE_SCHEMA_VERSIONING;EVIDENCE_VERSION_BINDING	NONE	new schema identity and V1.2 contract literal; all payload/status/reason constraints byte-structurally preserved
