checkpoint_n	vocabulary_size	type_token_ratio	hapax_count	dis_count	tri_count	beta_effective
100	93	0.93000000000000005	88	3	2	0
200	172	0.85999999999999999	153	12	5	0.88710594359406669
500	379	0.75800000000000001	315	36	14	0.86221730809504593
1000	679	0.67900000000000005	550	62	27	0.84121372607364031
2000	1153	0.57650000000000001	902	125	29	0.76390903340703964
4000	2009	0.50224999999999997	1527	232	73	0.80108505108151939
8000	3440	0.42999999999999999	2548	386	156	0.77593100085616762
16000	5531	0.34568749999999998	3887	674	282	0.68513177712646545
32000	8840	0.27625	5884	1205	482	0.67650602756286926
43713	10671	0.24411502299087229	6907	1508	640	0.60351743617863529
