checkpoint_n	vocabulary_size	hapax_count	dis_legomena_count	tris_legomena_count	hapax_fraction_of_types	hapax_fraction_of_tokens	dis_fraction_of_types	dis_fraction_of_tokens
100	93	88	3	2	0.94623655913978499	0.88	0.064516129032258063	0.059999999999999998
200	172	153	12	5	0.88953488372093026	0.76500000000000001	0.13953488372093023	0.12
500	379	315	36	14	0.83113456464379942	0.63	0.18997361477572558	0.14399999999999999
1000	679	550	62	27	0.81001472754050075	0.55000000000000004	0.18262150220913106	0.124
2000	1153	902	125	29	0.78230702515177797	0.45100000000000001	0.2168256721595837	0.125
4000	2009	1527	232	73	0.76007964161274266	0.38174999999999998	0.23096067695370831	0.11600000000000001
8000	3440	2548	386	156	0.74069767441860468	0.31850000000000001	0.22441860465116278	0.096500000000000002
16000	5531	3887	674	282	0.70276622672211175	0.2429375	0.24371723015729524	0.084250000000000005
32000	8840	5884	1205	482	0.66561085972850675	0.18387500000000001	0.27262443438914025	0.075312500000000004
43713	10671	6907	1508	640	0.64726829725424051	0.15800791526548166	0.28263517945834504	0.068995493331503219
