checkpoint_n	observed	null_mean	null_sd	effect	empirical_p
100	93	91.939999999999998	2.9692423275980699	0.3569934289793974	0.43564356435643564
200	172	172.93000000000001	4.8667340177987919	-0.19109324581922454	0.60396039603960394
500	379	383.76999999999998	8.8598589153552449	-0.53838329092723747	0.74257425742574257
1000	679	680.02999999999997	13.011883030522521	-0.079158412167082845	0.58415841584158412
2000	1153	1174.8599999999999	18.572571173642057	-1.1770045081869611	0.91089108910891092
4000	2009	1992.8800000000001	25.9604622454994	0.62094425929547969	0.28712871287128711
8000	3440	3320.3400000000001	31.960669579969686	3.7439766304205619	0.0099009900990099011
16000	5531	5432.5200000000004	34.173229288435685	2.8817879389971925	0.0099009900990099011
32000	8840	8695.3799999999992	33.422082520393616	4.3270792570078784	0.0099009900990099011
43713	10671	10671	0	0	1
