Corpus	Token	Frequency	AdjacentRepeatCount	MaximumRun	Loci
Voynich	191	4	1	2	10988
Voynich	ain	116	1	2	39076
Voynich	air	84	1	2	5652
Voynich	al	262	3	2	14679,15827,31976
Voynich	ar	411	9	2	5117,6811,22953,29399,30199,30867,35080,35545,36747
Voynich	chaiin	48	1	2	743
Voynich	chal	49	1	2	33856
Voynich	chdy	147	5	2	5519,5726,22273,26327,26468
Voynich	chear	51	1	2	10830
Voynich	checkhy	48	1	2	16522
Voynich	chedy	507	10	2	14432,15976,20374,21107,21843,30479,31158,34542,35148,36118
Voynich	chekaiin	10	1	2	26342
Voynich	cheol	171	2	2	28364,32379
Voynich	chey	352	2	2	8809,29345
Voynich	choky	40	1	2	7774
Voynich	chol	398	24	3	116,1477,1499,1500,1704,2444,2775,4760,4767,7266,7308,7866,7895,8376,8377,8461,9734,10213,10280,10287
Voynich	chor	212	7	2	948,1310,2416,3242,6030,10119,36188
Voynich	chy	166	1	2	8485
Voynich	ckhey	28	2	2	4928,26963
Voynich	cthar	17	2	2	18,1118
Voynich	cthol	56	1	2	4566
Voynich	cthy	103	1	2	7805
Voynich	daiin	851	12	2	908,3100,3466,4132,4183,5359,11604,13462,17648,25076,27776,38122
Voynich	dain	214	2	2	6440,15738
Voynich	dair	112	1	2	37251
Voynich	dal	242	1	2	17722
Voynich	dam	88	1	2	9707
Voynich	dar	324	3	2	2886,11927,15309
Voynich	dchor	27	1	2	8736
Voynich	dol	109	1	2	1261
Voynich	dy	283	10	3	1761,2201,2270,2271,4283,5543,6983,8024,12686,12922
Voynich	eedy	5	1	2	4245
Voynich	kal	27	1	2	11842
Voynich	kchy	36	1	2	2219
Voynich	keey	56	1	2	211
Voynich	lchedy	116	1	2	33981
Voynich	lcheedy	9	1	2	30218
Voynich	lkedy	27	1	2	33453
Voynich	lkeedy	37	1	2	34163
Voynich	lkeey	39	1	2	34574
Voynich	lshedy	40	1	2	19976
Voynich	o	223	1	2	27707
Voynich	okaiin	216	6	3	2599,5448,6847,6848,36821,36828
Voynich	okain	141	1	2	31548
Voynich	okal	156	3	2	10419,22547,32398
Voynich	okar	140	1	2	13179
Voynich	okedy	120	5	2	5074,21633,21731,22821,33295
Voynich	okeedy	111	1	2	33542
Voynich	okeey	184	5	2	27502,29240,30355,34059,38833
Voynich	okeol	64	2	2	27160,28145
Voynich	okey	65	2	2	28203,28281
Voynich	okolaiin	2	1	2	27126
Voynich	oky	104	1	2	28094
Voynich	ol	564	8	2	3738,18331,18362,18648,19598,19606,23190,27130
Voynich	olkain	34	1	2	19439
Voynich	olkedy	26	1	2	15759
Voynich	opaiin	16	1	2	10962
Voynich	or	393	8	3	7949,9949,10055,15807,15808,18711,22365,29711
Voynich	otaiin	155	4	2	6354,27552,29875,36925
Voynich	otain	96	3	2	18172,29128,29217
Voynich	otair	26	1	2	31050
Voynich	otal	137	2	2	23692,32499
Voynich	otam	48	2	2	14097,23750
Voynich	otar	153	1	2	10619
Voynich	otchey	33	1	2	9661
Voynich	otchor	16	1	2	4555
Voynich	otedy	165	1	2	35443
Voynich	oteedy	106	1	2	35260
Voynich	oteey	145	2	2	13261,32864
Voynich	oteody	41	1	2	13628
Voynich	otody	26	2	3	22812,22813
Voynich	oty	118	1	2	23921
Voynich	qodaiin	43	1	2	29470
Voynich	qoekol	2	1	2	24670
Voynich	qokaiin	265	1	2	16953
Voynich	qokain	279	3	2	17334,19093,38376
Voynich	qokal	197	3	2	17367,18783,32638
Voynich	qokchdy	51	2	2	9050,19256
Voynich	qokchedy	40	1	2	38384
Voynich	qokchey	27	1	2	38806
Voynich	qokchy	67	1	2	2942
Voynich	qokedy	276	16	4	6995,15101,15102,15103,15330,15495,15652,17245,17437,17440,18536,18537,19951,22999,33229,33273
Voynich	qokeedy	307	18	3	15328,15335,16841,16916,17016,18410,21156,21392,28882,33442,33447,33875,33899,33900,33956,34032,34253,38606
Voynich	qokeey	307	12	2	15644,15940,28898,28913,28963,28977,32916,33022,33903,33970,34270,35777
Voynich	qokeody	33	1	2	11480
Voynich	qokey	108	1	2	32942
Voynich	qokol	98	2	2	24712,29995
Voynich	qoky	145	1	2	2947
Voynich	qol	142	4	2	15581,17874,19222,19491
Voynich	qopchedy	31	2	2	16750,37689
Voynich	qotcheo	4	1	2	30033
Voynich	qotedy	89	4	2	4345,16929,17085,20359
Voynich	qoteedy	77	3	2	16818,20721,33501
Voynich	qotol	44	1	2	7996
Voynich	qoty	88	1	2	20285
Voynich	rol	20	1	2	20424
Voynich	s	356	1	2	9725
Voynich	shar	34	1	2	39280
Voynich	shckhedy	6	1	2	20891
Voynich	shedy	434	9	2	5616,11599,15944,16042,16101,16563,20178,20349,29043
Voynich	sheky	34	1	2	8103
Voynich	sheol	108	2	3	30156,30157
Voynich	sho	126	2	2	761,4085
Voynich	shol	186	6	2	692,726,7213,8369,13476,27266
Voynich	shor	96	3	2	1918,4722,8772
Voynich	shy	99	1	2	4498
Voynich	y	334	1	2	14478
Voynich	ykaiin	46	1	2	24161
Voynich	ykchey	6	1	2	12192
Voynich	ykeey	57	1	2	25541
Voynich	ykeol	15	1	2	7912
Voynich	ykodar	3	1	2	22652
Voynich	ytaiin	39	2	3	24133,24134
Voynich	ytedy	24	1	2	19901
Voynich	yty	23	1	2	7424
Doyle	had	357	3	2	200,16864,31943
Doyle	her	117	1	2	3137
Doyle	hum	7	1	2	23597
Doyle	i	1236	2	2	18770,22846
Doyle	it	697	7	2	1572,15606,18723,22324,25319,33088,39620
Doyle	naughty	2	1	2	17192
Doyle	no	195	4	2	2455,15100,26848,32649
Doyle	surely	13	1	2	25086
Doyle	well	92	2	2	15140,40544
Doyle	you	543	1	2	34195
Longfellow	Chibiabos	33	3	2	20907,20926,20949
Longfellow	Hiawatha	225	2	2	27866,27899
Longfellow	Ho	2	1	2	32319
Longfellow	Minnehaha	38	1	2	27661
Longfellow	Wahonowin	6	3	2	3716,27918,27935
Longfellow	awake	3	1	2	15540
Longfellow	away	16	1	2	17962
Longfellow	deeper	5	2	3	27254,27255
Longfellow	myself	6	3	2	15528,21110,21224
Longfellow	nearer	11	5	3	10353,12711,12712,29873,29874
Longfellow	rising	9	3	3	880,881,16901
Longfellow	slowly	15	2	2	849,30971
Longfellow	thicker	4	2	3	27243,27244
Longfellow	westward	15	1	2	5102
Astafiev	1	1517	3	2	11032,15378,17390
Astafiev	2	1289	7	2	15371,15732,16256,16362,16543,19413,25617
Astafiev	желтки	64	1	2	12657
Astafiev	жир	53	1	2	28267
Astafiev	кашу	31	1	2	35290
Astafiev	лепешки	28	1	2	44829
Astafiev	соус	225	1	2	59764
Astafiev	суп	115	1	2	26228
Astafiev	тесто	224	2	2	16149,59998
Astafiev	фарш	86	1	2	74076
