Corpus	Direction	SourceGlyph	TargetGlyph	Count
Voynich	directional	0	1	4
Voynich	directional	1	2	1
Voynich	directional	2	3	1
Voynich	directional	3	4	1
Voynich	directional	A	H	1
Voynich	directional	A	N	1
Voynich	directional	A	a	1
Voynich	directional	A	l	1
Voynich	directional	A	o	2
Voynich	directional	A	r	2
Voynich	directional	A	y	12
Voynich	directional	C	H	9
Voynich	directional	C	K	2
Voynich	directional	C	S	1
Voynich	directional	C	d	7
Voynich	directional	C	g	1
Voynich	directional	C	k	2
Voynich	directional	C	t	2
Voynich	directional	C	y	1
Voynich	directional	E	H	5
Voynich	directional	E	d	1
Voynich	directional	E	e	29
Voynich	directional	E	k	1
Voynich	directional	E	o	2
Voynich	directional	E	s	1
Voynich	directional	F	H	1
Voynich	directional	F	d	1
Voynich	directional	H	A	1
Voynich	directional	H	C	15
Voynich	directional	H	E	2
Voynich	directional	H	F	1
Voynich	directional	H	K	5
Voynich	directional	H	P	1
Voynich	directional	H	S	23
Voynich	directional	H	d	12
Voynich	directional	H	e	4
Voynich	directional	H	k	11
Voynich	directional	H	l	1
Voynich	directional	H	o	8
Voynich	directional	H	q	1
Voynich	directional	H	r	1
Voynich	directional	H	s	4
Voynich	directional	H	t	2
Voynich	directional	H	y	2
Voynich	directional	K	C	1
Voynich	directional	K	H	2
Voynich	directional	K	S	1
Voynich	directional	K	d	1
Voynich	directional	K	e	1
Voynich	directional	K	k	3
Voynich	directional	K	t	1
Voynich	directional	K	y	1
Voynich	directional	N	g	1
Voynich	directional	N	l	32
Voynich	directional	N	m	14
Voynich	directional	N	n	1
Voynich	directional	N	r	20
Voynich	directional	P	S	1
Voynich	directional	P	d	1
Voynich	directional	P	s	1
Voynich	directional	S	A	1
Voynich	directional	S	C	1
Voynich	directional	S	F	1
Voynich	directional	S	H	21
Voynich	directional	S	P	2
Voynich	directional	S	c	1
Voynich	directional	S	d	6
Voynich	directional	S	k	6
Voynich	directional	S	o	1
Voynich	directional	S	s	5
Voynich	directional	S	t	3
Voynich	directional	S	y	2
Voynich	directional	a	H	1
Voynich	directional	a	N	1
Voynich	directional	a	d	2
Voynich	directional	a	o	20
Voynich	directional	a	r	4
Voynich	directional	a	t	1
Voynich	directional	c	f	1
Voynich	directional	c	h	1
Voynich	directional	c	y	3
Voynich	directional	d	C	2
Voynich	directional	d	H	2
Voynich	directional	d	K	3
Voynich	directional	d	P	1
Voynich	directional	d	S	4
Voynich	directional	d	e	1
Voynich	directional	d	g	1
Voynich	directional	d	k	8
Voynich	directional	d	l	2
Voynich	directional	d	n	1
Voynich	directional	d	o	6
Voynich	directional	d	r	5
Voynich	directional	d	s	2
Voynich	directional	d	t	1
Voynich	directional	d	y	8
Voynich	directional	e	E	31
Voynich	directional	e	K	1
Voynich	directional	e	a	1
Voynich	directional	e	d	1
Voynich	directional	e	o	3
Voynich	directional	f	o	1
Voynich	directional	f	r	1
Voynich	directional	f	s	1
Voynich	directional	g	m	1
Voynich	directional	h	y	1
Voynich	directional	i	h	2
Voynich	directional	k	C	1
Voynich	directional	k	H	8
Voynich	directional	k	S	1
Voynich	directional	k	a	1
Voynich	directional	k	d	10
Voynich	directional	k	f	1
Voynich	directional	k	l	2
Voynich	directional	k	m	4
Voynich	directional	k	o	3
Voynich	directional	k	p	3
Voynich	directional	k	r	1
Voynich	directional	k	t	36
Voynich	directional	k	x	1
Voynich	directional	l	A	2
Voynich	directional	l	H	1
Voynich	directional	l	I	1
Voynich	directional	l	N	19
Voynich	directional	l	S	1
Voynich	directional	l	a	1
Voynich	directional	l	d	7
Voynich	directional	l	e	1
Voynich	directional	l	g	2
Voynich	directional	l	k	3
Voynich	directional	l	m	6
Voynich	directional	l	o	4
Voynich	directional	l	p	3
Voynich	directional	l	q	1
Voynich	directional	l	r	47
Voynich	directional	l	s	10
Voynich	directional	l	t	4
Voynich	directional	l	y	5
Voynich	directional	m	f	2
Voynich	directional	m	l	2
Voynich	directional	m	p	2
Voynich	directional	m	r	1
Voynich	directional	n	N	1
Voynich	directional	o	E	2
Voynich	directional	o	H	5
Voynich	directional	o	a	20
Voynich	directional	o	d	6
Voynich	directional	o	e	5
Voynich	directional	o	k	4
Voynich	directional	o	l	34
Voynich	directional	o	r	8
Voynich	directional	o	s	3
Voynich	directional	o	t	2
Voynich	directional	o	v	1
Voynich	directional	o	y	12
Voynich	directional	p	d	2
Voynich	directional	p	k	3
Voynich	directional	p	l	1
Voynich	directional	p	r	1
Voynich	directional	p	t	1
Voynich	directional	q	H	4
Voynich	directional	q	S	1
Voynich	directional	q	o	3
Voynich	directional	q	t	1
Voynich	directional	r	A	13
Voynich	directional	r	H	1
Voynich	directional	r	N	35
Voynich	directional	r	a	2
Voynich	directional	r	k	1
Voynich	directional	r	l	53
Voynich	directional	r	m	14
Voynich	directional	r	n	1
Voynich	directional	r	o	1
Voynich	directional	r	p	1
Voynich	directional	r	s	1
Voynich	directional	r	v	4
Voynich	directional	s	A	7
Voynich	directional	s	C	1
Voynich	directional	s	H	5
Voynich	directional	s	N	3
Voynich	directional	s	S	2
Voynich	directional	s	d	3
Voynich	directional	s	g	1
Voynich	directional	s	l	3
Voynich	directional	s	m	1
Voynich	directional	s	o	5
Voynich	directional	s	q	1
Voynich	directional	s	r	2
Voynich	directional	s	t	1
Voynich	directional	s	y	11
Voynich	directional	t	H	3
Voynich	directional	t	K	1
Voynich	directional	t	S	3
Voynich	directional	t	d	6
Voynich	directional	t	f	1
Voynich	directional	t	k	33
Voynich	directional	t	l	4
Voynich	directional	t	p	2
Voynich	directional	t	r	5
