Series	H	Model	R2	Runs3	Runs4	Runs5	MaxRun
Doyle	0	plaintext	0.00057438	0	0	0	2
Longfellow	0	plaintext	0.00109842	5	0	0	3
Astafiev	0	plaintext	0.00023264	0	0	0	2
Doyle	2	global-uniform	0.00017481	0	0	0	2
Doyle	4	global-uniform	0.00012487	0	0	0	2
Doyle	6	global-uniform	0.00007492	0	0	0	2
Doyle	8	global-uniform	0.00002497	0	0	0	2
Doyle	4	global-weighted	0.00014984	0	0	0	2
Doyle	6	global-weighted	0.00009989	0	0	0	2
Doyle	8	global-weighted	0.00012487	0	0	0	2
Doyle	4	frequency-v1-uniform	0.00017481	0	0	0	2
Doyle	6	frequency-v1-uniform	0.00007492	0	0	0	2
Doyle	8	frequency-v1-uniform	0.00004995	0	0	0	2
Longfellow	2	global-uniform	0.00054921	2	0	0	3
Longfellow	4	global-uniform	0.00021968	1	0	0	3
Longfellow	8	global-uniform	0.00014646	0	0	0	2
Astafiev	4	global-uniform	0.00007347	0	0	0	2
