segment_count	segment	checkpoint_n	vocabulary_size	heaps_beta	beta_effective	new_type_rate
4	0	100	96	0.80890445779793807	0	0.38698755490483161
4	0	200	168	0.80890445779793807	0.80735492205760495	0.38698755490483161
4	0	500	377	0.80890445779793807	0.88212308596804934	0.38698755490483161
4	0	1000	664	0.80890445779793807	0.81661871807825981	0.38698755490483161
4	0	2000	1129	0.80890445779793807	0.76579033942607599	0.38698755490483161
4	0	4000	1974	0.80890445779793807	0.80607650368339767	0.38698755490483161
4	0	8000	3394	0.80890445779793807	0.78186457508626428	0.38698755490483161
4	0	10928	4229	0.80890445779793807	0.7052443998208705	0.38698755490483161
4	1	100	90	0.80359902014509887	0	0.36868594436310398
4	1	200	173	0.80359902014509887	0.94277513130705159	0.36868594436310398
4	1	500	368	0.80359902014509887	0.82374656581685934	0.36868594436310398
4	1	1000	651	0.80359902014509887	0.82295177710862144	0.36868594436310398
4	1	2000	1128	0.80359902014509887	0.79303761923315919	0.36868594436310398
4	1	4000	1901	0.80359902014509887	0.75299146424975727	0.36868594436310398
4	1	8000	3218	0.80359902014509887	0.75940579407489528	0.36868594436310398
4	1	10928	4029	0.80359902014509887	0.72064026318812646	0.36868594436310398
4	2	100	92	0.79780426760515488	0	0.36072474377745239
4	2	200	176	0.79780426760515488	0.93586966258028592	0.36072474377745239
4	2	500	368	0.79780426760515488	0.80498352484927471	0.36072474377745239
4	2	1000	669	0.79780426760515488	0.86230044458444799	0.36072474377745239
4	2	2000	1206	0.79780426760515488	0.85015179125862372	0.36072474377745239
4	2	4000	1972	0.79780426760515488	0.70942964447782597	0.36072474377745239
4	2	8000	3134	0.79780426760515488	0.66834562809466769	0.36072474377745239
4	2	10928	3942	0.79780426760515488	0.73545303414598406	0.36072474377745239
4	3	100	91	0.78938043908605549	0	0.33562082532711135
4	3	200	164	0.78938043908605549	0.84975736441938932	0.33562082532711135
4	3	500	360	0.78938043908605549	0.85806565130022538	0.33562082532711135
4	3	1000	635	0.78938043908605549	0.81875968532985333	0.33562082532711135
4	3	2000	1095	0.78938043908605549	0.78610237282900775	0.33562082532711135
4	3	4000	1854	0.78938043908605549	0.75971037413699438	0.33562082532711135
4	3	8000	2977	0.78938043908605549	0.68321797761250525	0.33562082532711135
4	3	10929	3668	0.78938043908605549	0.66905453285581995	0.33562082532711135
8	0	100	96	0.81706843129835482	0	0.45827232796486089
8	0	200	168	0.81706843129835482	0.80735492205760495	0.45827232796486089
8	0	500	377	0.81706843129835482	0.88212308596804934	0.45827232796486089
8	0	1000	664	0.81706843129835482	0.81661871807825981	0.45827232796486089
8	0	2000	1129	0.81706843129835482	0.76579033942607599	0.45827232796486089
8	0	4000	1974	0.81706843129835482	0.80607650368339767	0.45827232796486089
8	0	5464	2504	0.81706843129835482	0.76254442910851672	0.45827232796486089
8	1	100	92	0.82564907877588334	0	0.45589311859443632
8	1	200	170	0.82564907877588334	0.88582898008069011	0.45589311859443632
8	1	500	381	0.82564907877588334	0.880725854801371	0.45589311859443632
8	1	1000	691	0.82564907877588334	0.85889471289493646	0.45589311859443632
8	1	2000	1199	0.82564907877588334	0.79507404302596429	0.45589311859443632
8	1	4000	1978	0.82564907877588334	0.72221076734488665	0.45589311859443632
8	1	5464	2491	0.82564907877588334	0.73936451239639467	0.45589311859443632
8	2	100	90	0.81394205928232677	0	0.43521229868228406
8	2	200	173	0.81394205928232677	0.94277513130705159	0.43521229868228406
8	2	500	368	0.81394205928232677	0.82374656581685934	0.43521229868228406
8	2	1000	651	0.81394205928232677	0.82295177710862144	0.43521229868228406
8	2	2000	1128	0.81394205928232677	0.79303761923315919	0.43521229868228406
8	2	4000	1901	0.81394205928232677	0.75299146424975727	0.43521229868228406
8	2	5464	2378	0.81394205928232677	0.717823783022426	0.43521229868228406
8	3	100	93	0.82630307105510414	0	0.45754026354319183
8	3	200	171	0.82630307105510414	0.8786937037778676	0.45754026354319183
8	3	500	370	0.82630307105510414	0.8423521293911933	0.45754026354319183
8	3	1000	679	0.82630307105510414	0.87588630372842025	0.45754026354319183
8	3	2000	1184	0.82630307105510414	0.80218560138421757	0.45754026354319183
8	3	4000	2018	0.82630307105510414	0.76925709347740701	0.45754026354319183
8	3	5464	2500	0.82630307105510414	0.68673581768573555	0.45754026354319183
8	4	100	92	0.81932862659882622	0	0.44344802342606149
8	4	200	176	0.81932862659882622	0.93586966258028592	0.44344802342606149
8	4	500	368	0.81932862659882622	0.80498352484927471	0.44344802342606149
8	4	1000	669	0.81932862659882622	0.86230044458444799	0.44344802342606149
8	4	2000	1206	0.81932862659882622	0.85015179125862372	0.44344802342606149
8	4	4000	1972	0.81932862659882622	0.70942964447782597	0.44344802342606149
8	4	5464	2423	0.81932862659882622	0.66036206505032469	0.44344802342606149
8	5	100	92	0.81199126068487282	0	0.43338213762811129
8	5	200	166	0.81199126068487282	0.85147747528991324	0.43338213762811129
8	5	500	379	0.81199126068487282	0.90096776929886579	0.43338213762811129
8	5	1000	653	0.81199126068487282	0.78488514337533899	0.43338213762811129
8	5	2000	1103	0.81199126068487282	0.75627789404495227	0.43338213762811129
8	5	4000	1904	0.81199126068487282	0.78760068771655989	0.43338213762811129
8	5	5464	2368	0.81199126068487282	0.6992562936926906	0.43338213762811129
8	6	100	91	0.80932254308743579	0	0.41965592972181553
8	6	200	164	0.80932254308743579	0.84975736441938932	0.41965592972181553
8	6	500	360	0.80932254308743579	0.85806565130022538	0.41965592972181553
8	6	1000	635	0.80932254308743579	0.81875968532985333	0.41965592972181553
8	6	2000	1095	0.80932254308743579	0.78610237282900775	0.41965592972181553
8	6	4000	1854	0.80932254308743579	0.75971037413699438	0.41965592972181553
8	6	5464	2293	0.80932254308743579	0.68138684678203221	0.41965592972181553
8	7	100	90	0.79843860133063238	0	0.41189387008234218
8	7	200	170	0.79843860133063238	0.91753783980802861	0.41189387008234218
8	7	500	376	0.79843860133063238	0.86630878031041036	0.41189387008234218
8	7	1000	646	0.79843860133063238	0.78080150301628726	0.41189387008234218
8	7	2000	1087	0.79843860133063238	0.75074587033338447	0.41189387008234218
8	7	4000	1787	0.79843860133063238	0.71718769401418048	0.41189387008234218
8	7	5465	2251	0.79843860133063238	0.73969462908257211	0.41189387008234218
