checkpoint_n	vocabulary_size	hapax_count	dis_legomena_count	tris_legomena_count	hapax_fraction_of_types	hapax_fraction_of_tokens	dis_fraction_of_types	dis_fraction_of_tokens
100	96	92	4	0	0.95833333333333337	0.92000000000000004	0.083333333333333329	0.080000000000000002
200	168	144	17	6	0.8571428571428571	0.71999999999999997	0.20238095238095238	0.17000000000000001
500	377	314	29	22	0.83289124668435011	0.628	0.15384615384615385	0.11600000000000001
1000	664	528	66	28	0.79518072289156627	0.52800000000000002	0.19879518072289157	0.13200000000000001
2000	1129	880	114	34	0.7794508414526129	0.44	0.20194862710363154	0.114
4000	1974	1499	226	65	0.75937183383991891	0.37475000000000003	0.22897669706180346	0.113
8000	3394	2503	397	151	0.73747790218031817	0.31287500000000001	0.23394225103123159	0.099250000000000005
16000	5419	3756	701	293	0.6931168112197823	0.23474999999999999	0.25871932090791661	0.087624999999999995
32000	8589	5584	1276	465	0.65013389218768192	0.17449999999999999	0.29712422866457094	0.079750000000000001
43713	10285	6422	1610	661	0.62440447253281472	0.14691281769725253	0.31307729703451631	0.073662297257108864
