checkpoint_n	observed	null_mean	null_sd	effect	empirical_p
100	96	92.560000000000002	2.8366177042386207	1.2127118838960118	0.13861386138613863
200	168	173.72	4.9296653030403599	-1.1603221818065828	0.85148514851485146
500	377	383.95999999999998	8.3509520415339473	-0.83343790808329554	0.86138613861386137
1000	664	675.41999999999996	12.307054887340023	-0.9279230575096763	0.80198019801980203
2000	1129	1160.8399999999999	18.204790578306579	-1.7489901827237442	0.97029702970297027
4000	1974	1962.6600000000001	26.164563822085782	0.43341062656766727	0.38613861386138615
8000	3394	3254.5599999999999	33.539028012153253	4.1575444568480746	0.0099009900990099011
16000	5419	5307.5200000000004	32.671541132918719	3.4121439067248702	0.0099009900990099011
32000	8589	8430.9500000000007	34.941772994511879	4.5232392765193499	0.0099009900990099011
43713	10285	10285	0	0	1
