mechanism_id	scaling_policy_id	condition	corpus_scale_r0_mean	corpus_scale_delta_mean	task82_bounded_delta_mean	kd_stability_class
f01_speculum_core	LITERAL_RESET_V1	R2_NO_CONVENTION	1.000000	1.000000	1.000000	PRESERVED
f01_speculum_core	LITERAL_RESET_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
f01_speculum_core	LITERAL_RESET_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
f01_speculum_core	LITERAL_RESET_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
f01_speculum_core	LITERAL_RESET_V1	R1_NO_CONTEXT	1.000000	0.000000	0.000000	PRESERVED
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	R1_NO_CONTEXT	1.000000	0.000000	0.000000	PRESERVED
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	R2_NO_CONVENTION	1.000000	1.000000	1.000000	PRESERVED
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
f08_serpens_core	LITERAL_RESET_V1	R1_NO_CONTEXT	1.000000	0.000000	0.000000	PRESERVED
f08_serpens_core	LITERAL_RESET_V1	R2_NO_CONVENTION	1.000000	1.000000	1.000000	PRESERVED
f08_serpens_core	LITERAL_RESET_V1	R3_NO_PATH_GEOMETRY	1.000000	1.000000	1.000000	PRESERVED
f08_serpens_core	LITERAL_RESET_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
f08_serpens_core	LITERAL_RESET_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	R2_NO_CONVENTION	1.000000	1.000000	1.000000	PRESERVED
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
f11_arismetricum_core	CUE_RESET_LOCAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	R5_NO_INTERNAL_MEMORY	NA	NA	NA	NOT_APPLICABLE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
f11_arismetricum_core	CUE_RESET_LOCAL_V1	R2_NO_CONVENTION	1.000000	1.000000	1.000000	PRESERVED
f11_arismetricum_core	CUE_RESET_LOCAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	R4_NO_HISTORY	NA	NA	NA	NOT_APPLICABLE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	R5_NO_INTERNAL_MEMORY	1.000000	1.000000	1.000000	PRESERVED
f12_horalogius_core	CUE_RESET_GLOBAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
f12_horalogius_core	CUE_RESET_GLOBAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
f12_horalogius_core	CUE_RESET_LOCAL_V1	R1_NO_CONTEXT	1.000000	0.500000	0.500000	PRESERVED
f12_horalogius_core	CUE_RESET_LOCAL_V1	R2_NO_CONVENTION	NA	NA	NA	NOT_APPLICABLE
f12_horalogius_core	CUE_RESET_LOCAL_V1	R3_NO_PATH_GEOMETRY	NA	NA	NA	NOT_APPLICABLE
