mechanism_id	scaling_policy_id	corpus_scale	metric_id	n	range	stability
f01_speculum_core	LITERAL_RESET_V1	LARGE	EF1_GIANT_COMPONENT_SHARE	3	0.000031	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	EF1_ISOLATE_SHARE	3	0.000031	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.005579	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	LP4_PREFIX_ATTACHMENT_NMI	3	0.009799	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	LP4_SUFFIX_ATTACHMENT_NMI	3	0.014696	PARTIALLY_STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	cs7/edit-distance-x-structural-distance	3	0.002539	STABLE
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	EF1_GIANT_COMPONENT_SHARE	3	0.007812	STABLE
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	EF1_ISOLATE_SHARE	3	0.015625	PARTIALLY_STABLE
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	EF2_GLOBAL_CLUSTERING	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	EF3_DEGREE_FREQUENCY_SPEARMAN	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	LP1_RULE_SUPPORT_GINI	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	LP4_PREFIX_ATTACHMENT_NMI	3	0.016366	PARTIALLY_STABLE
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	LP4_SUFFIX_ATTACHMENT_NMI	3	0.003694	STABLE
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	cs6/family-diversity-x-line-length	3	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	cs7/edit-distance-x-structural-distance	3	0.033454	PARTIALLY_STABLE
f01_speculum_core	LITERAL_RESET_V1	SMALL	EF1_GIANT_COMPONENT_SHARE	3	0.000248	STABLE
