mechanism_id	scaling_policy_id	corpus_id	replicate	metric_id	medium	large	delta	convergence
f01_speculum_core	LITERAL_RESET_V1	Astafiev	0	EF1_GIANT_COMPONENT_SHARE	0.015625	0.007843	0.007782	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	0	EF1_ISOLATE_SHARE	0.984375	0.992157	0.007782	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	0	EF2_GLOBAL_CLUSTERING	0.000000	0.000000	0.000000	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	0	EF3_DEGREE_FREQUENCY_SPEARMAN	0.000000	-0.005579	0.005579	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	0	LP1_RULE_SUPPORT_GINI	0.000000	0.000000	0.000000	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	0	LP4_PREFIX_ATTACHMENT_NMI	0.724077	0.672561	0.051516	PARTIALLY_CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	0	LP4_SUFFIX_ATTACHMENT_NMI	0.736051	0.667551	0.068500	PARTIALLY_CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	0	cs6/family-diversity-x-line-length	0.000000	0.000000	0.000000	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	0	cs7/edit-distance-x-structural-distance	0.041088	0.015191	0.025897	PARTIALLY_CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	1	EF1_GIANT_COMPONENT_SHARE	0.015625	0.007843	0.007782	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	1	EF1_ISOLATE_SHARE	0.984375	0.992157	0.007782	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	1	EF2_GLOBAL_CLUSTERING	0.000000	0.000000	0.000000	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	1	EF3_DEGREE_FREQUENCY_SPEARMAN	0.000000	-0.005579	0.005579	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	1	LP1_RULE_SUPPORT_GINI	0.000000	0.000000	0.000000	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	1	LP4_PREFIX_ATTACHMENT_NMI	0.724077	0.672561	0.051516	PARTIALLY_CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	1	LP4_SUFFIX_ATTACHMENT_NMI	0.736051	0.667551	0.068500	PARTIALLY_CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	1	cs6/family-diversity-x-line-length	0.000000	0.000000	0.000000	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Astafiev	1	cs7/edit-distance-x-structural-distance	0.046713	0.015203	0.031510	PARTIALLY_CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Doyle	0	EF1_GIANT_COMPONENT_SHARE	0.007812	0.007812	0.000000	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Doyle	0	EF1_ISOLATE_SHARE	1.000000	0.992188	0.007812	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Doyle	0	EF2_GLOBAL_CLUSTERING	0.000000	0.000000	0.000000	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Doyle	0	EF3_DEGREE_FREQUENCY_SPEARMAN	0.000000	0.000000	0.000000	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Doyle	0	LP1_RULE_SUPPORT_GINI	0.000000	0.000000	0.000000	CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Doyle	0	LP4_PREFIX_ATTACHMENT_NMI	0.721152	0.663406	0.057746	PARTIALLY_CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Doyle	0	LP4_SUFFIX_ATTACHMENT_NMI	0.738036	0.674931	0.063105	PARTIALLY_CONVERGED
f01_speculum_core	LITERAL_RESET_V1	Doyle	0	cs6/family-diversity-x-line-length	0.000000	0.000000	0.000000	CONVERGED
