job_id	mechanism_id	scaling_policy_id	corpus_id	corpus_scale	replicate	core_attempted	core_available	supporting_attempted	supporting_available	attempted_families	available_families	not_attempted_families
004c622d2e1b253a642961d8ecd5903c	negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	Doyle	LARGE	0	3	3	12	5	CS,EF,LP	CS,EF,LP	2DL,BP,HR,LC,LS,PF
007eb2fa6e39012f5663471eef2310bc	f08_serpens_core	LITERAL_RESET_V1	Doyle	LARGE	1	3	3	12	6	CS,EF,LP	CS,EF,LP	2DL,BP,HR,LC,LS,PF
00f620bcecafaaeb32c9bb20dea02d55	synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Longfellow	SMALL	0	3	3	12	6	CS,EF,LP	CS,EF,LP	2DL,BP,HR,LC,LS,PF
01b7e0f63b55ca5379e5f30832befb22	synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Astafiev	SMALL	1	3	3	12	6	CS,EF,LP	CS,EF,LP	2DL,BP,HR,LC,LS,PF
02ab9853f882fc642d45301314cf0fda	negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	Astafiev	LARGE	0	3	3	12	6	CS,EF,LP	CS,EF,LP	2DL,BP,HR,LC,LS,PF
0347f3707832504491b0d39a0282cd26	synthetic_ambiguous	CUE_RESET_GLOBAL_V1	Doyle	SMALL	0	3	3	12	6	CS,EF,LP	CS,EF,LP	2DL,BP,HR,LC,LS,PF
03febef5a37b1af386c51e6958dd119f	synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	Doyle	MEDIUM	1	3	3	12	6	CS,EF,LP	CS,EF,LP	2DL,BP,HR,LC,LS,PF
043ee337c847e56fe42e91b1480c46b8	synthetic_ambiguous	CUE_RESET_LOCAL_V1	Longfellow	MEDIUM	1	3	3	12	5	CS,EF,LP	CS,EF,LP	2DL,BP,HR,LC,LS,PF
052e87023a9d9fb0ce94c67f706c166d	negative_randomized_path	LITERAL_RESET_V1	Doyle	MEDIUM	1	3	3	12	6	CS,EF,LP	CS,EF,LP	2DL,BP,HR,LC,LS,PF
0614e5f95ded9138be7d1fd3cfd55177	negative_randomized_convention	LITERAL_RESET_V1	Doyle	MEDIUM	1	3	3	12	6	CS,EF,LP	CS,EF,LP	2DL,BP,HR,LC,LS,PF
