mechanism_id	scaling_policy_id	corpus_scale	replicate	cross_corpus_collision_checksums
f01_speculum_core	LITERAL_RESET_V1	LARGE	0	0
f01_speculum_core	LITERAL_RESET_V1	LARGE	1	0
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	0	0
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	1	0
f01_speculum_core	LITERAL_RESET_V1	SMALL	0	0
f01_speculum_core	LITERAL_RESET_V1	SMALL	1	0
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	0	0
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	1	0
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	0	0
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	1	0
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	0	0
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	1	0
f08_serpens_core	LITERAL_RESET_V1	LARGE	0	0
f08_serpens_core	LITERAL_RESET_V1	LARGE	1	0
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	0	0
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	1	0
f08_serpens_core	LITERAL_RESET_V1	SMALL	0	0
f08_serpens_core	LITERAL_RESET_V1	SMALL	1	0
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	0	256
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	1	256
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	0	128
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	1	128
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	0	64
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	1	64
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	0	1
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	1	1
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	0	1
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	1	1
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	0	1
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	1	1
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	0	256
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	1	256
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	0	128
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	1	128
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	0	64
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	1	64
f12_horalogius_core	CUE_RESET_LOCAL_V1	LARGE	0	1
f12_horalogius_core	CUE_RESET_LOCAL_V1	LARGE	1	1
f12_horalogius_core	CUE_RESET_LOCAL_V1	MEDIUM	0	1
f12_horalogius_core	CUE_RESET_LOCAL_V1	MEDIUM	1	1
f12_horalogius_core	CUE_RESET_LOCAL_V1	SMALL	0	1
f12_horalogius_core	CUE_RESET_LOCAL_V1	SMALL	1	1
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	0	256
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	1	256
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	0	128
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	1	128
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	0	64
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	1	64
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	0	1
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	1	1
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	0	1
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	1	1
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	SMALL	0	1
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	SMALL	1	1
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	LARGE	0	256
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	LARGE	1	256
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	MEDIUM	0	128
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	MEDIUM	1	128
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	SMALL	0	64
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	SMALL	1	64
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	LARGE	0	1
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	LARGE	1	1
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	MEDIUM	0	1
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	MEDIUM	1	1
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	SMALL	0	1
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	SMALL	1	1
negative_randomized_convention	LITERAL_RESET_V1	LARGE	0	0
negative_randomized_convention	LITERAL_RESET_V1	LARGE	1	0
negative_randomized_convention	LITERAL_RESET_V1	MEDIUM	0	0
negative_randomized_convention	LITERAL_RESET_V1	MEDIUM	1	0
negative_randomized_convention	LITERAL_RESET_V1	SMALL	0	0
negative_randomized_convention	LITERAL_RESET_V1	SMALL	1	0
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	LARGE	0	256
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	LARGE	1	256
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	MEDIUM	0	128
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	MEDIUM	1	128
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	SMALL	0	64
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	SMALL	1	64
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	LARGE	0	1
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	LARGE	1	1
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	MEDIUM	0	1
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	MEDIUM	1	1
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	SMALL	0	1
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	SMALL	1	1
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	LARGE	0	256
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	LARGE	1	256
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	MEDIUM	0	128
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	MEDIUM	1	128
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	SMALL	0	64
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	SMALL	1	64
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	LARGE	0	1
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	LARGE	1	1
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	MEDIUM	0	1
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	MEDIUM	1	1
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	SMALL	0	1
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	SMALL	1	1
negative_randomized_path	LITERAL_RESET_V1	LARGE	0	0
negative_randomized_path	LITERAL_RESET_V1	LARGE	1	0
negative_randomized_path	LITERAL_RESET_V1	MEDIUM	0	0
negative_randomized_path	LITERAL_RESET_V1	MEDIUM	1	0
negative_randomized_path	LITERAL_RESET_V1	SMALL	0	0
negative_randomized_path	LITERAL_RESET_V1	SMALL	1	0
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	LARGE	0	256
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	LARGE	1	256
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	MEDIUM	0	128
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	MEDIUM	1	128
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	SMALL	0	64
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	SMALL	1	64
synthetic_ambiguous	CUE_RESET_LOCAL_V1	LARGE	0	1
synthetic_ambiguous	CUE_RESET_LOCAL_V1	LARGE	1	1
synthetic_ambiguous	CUE_RESET_LOCAL_V1	MEDIUM	0	1
synthetic_ambiguous	CUE_RESET_LOCAL_V1	MEDIUM	1	1
synthetic_ambiguous	CUE_RESET_LOCAL_V1	SMALL	0	1
synthetic_ambiguous	CUE_RESET_LOCAL_V1	SMALL	1	1
synthetic_cue_based	CUE_RESET_GLOBAL_V1	LARGE	0	256
synthetic_cue_based	CUE_RESET_GLOBAL_V1	LARGE	1	256
synthetic_cue_based	CUE_RESET_GLOBAL_V1	MEDIUM	0	128
synthetic_cue_based	CUE_RESET_GLOBAL_V1	MEDIUM	1	128
synthetic_cue_based	CUE_RESET_GLOBAL_V1	SMALL	0	64
synthetic_cue_based	CUE_RESET_GLOBAL_V1	SMALL	1	64
synthetic_cue_based	CUE_RESET_LOCAL_V1	LARGE	0	1
synthetic_cue_based	CUE_RESET_LOCAL_V1	LARGE	1	1
synthetic_cue_based	CUE_RESET_LOCAL_V1	MEDIUM	0	1
synthetic_cue_based	CUE_RESET_LOCAL_V1	MEDIUM	1	1
synthetic_cue_based	CUE_RESET_LOCAL_V1	SMALL	0	1
synthetic_cue_based	CUE_RESET_LOCAL_V1	SMALL	1	1
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	LARGE	0	256
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	LARGE	1	256
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	MEDIUM	0	128
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	MEDIUM	1	128
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	SMALL	0	64
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	SMALL	1	64
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	LARGE	0	1
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	LARGE	1	1
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	MEDIUM	0	1
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	MEDIUM	1	1
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	SMALL	0	1
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	SMALL	1	1
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	LARGE	0	256
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	LARGE	1	256
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	MEDIUM	0	128
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	MEDIUM	1	128
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	SMALL	0	64
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	SMALL	1	64
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	LARGE	0	1
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	LARGE	1	1
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	MEDIUM	0	1
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	MEDIUM	1	1
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	SMALL	0	1
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	SMALL	1	1
synthetic_literal_storage	LITERAL_RESET_V1	LARGE	0	0
synthetic_literal_storage	LITERAL_RESET_V1	LARGE	1	0
synthetic_literal_storage	LITERAL_RESET_V1	MEDIUM	0	0
synthetic_literal_storage	LITERAL_RESET_V1	MEDIUM	1	0
synthetic_literal_storage	LITERAL_RESET_V1	SMALL	0	0
synthetic_literal_storage	LITERAL_RESET_V1	SMALL	1	0
