job_id	status	input_checksum	output_checksum	f2_checksum	runtime_ns	retries	failure_class
004c622d2e1b253a642961d8ecd5903c	COMPLETE	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80	f30b8d1df5bf66d60e70794757be9cbe5f99900425418874d3b83723e51a5b66	c43d59da45931eae7b42428cb0b57b8f41cc4abcdc9fdacc3a7856cbbab4a2d7	0	0	NA
007eb2fa6e39012f5663471eef2310bc	COMPLETE	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80	0819e2670a42bd9082a7cb604ccd6cd349aca626e1285351f531f8ea9109f888	e3aef1d11d7a913fde69d5632dc072b8c10203f90418cd9589b49d83e74023c1	0	0	NA
00f620bcecafaaeb32c9bb20dea02d55	COMPLETE	95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	3fd6ffa47fbeda457026bad1e67e85b3567f73b5707decbc5737d27081003d92	f3357dae8c75da3d7f3b89d1858b1287a1536ae3441cc383b3ac111b21d19a26	0	0	NA
01b7e0f63b55ca5379e5f30832befb22	COMPLETE	550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a	3fd6ffa47fbeda457026bad1e67e85b3567f73b5707decbc5737d27081003d92	f3357dae8c75da3d7f3b89d1858b1287a1536ae3441cc383b3ac111b21d19a26	0	0	NA
02ab9853f882fc642d45301314cf0fda	COMPLETE	550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a	e923996871ed8b679eb030133cacf1ee775f4e61a45f7616d1fdf27aef268e4e	3256e8254387695aa294cdcdcfc71afdb4d8078cfd9611a9a2573c8265977941	0	0	NA
0347f3707832504491b0d39a0282cd26	COMPLETE	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80	486b628ba3e0b201967224b42d870158425ebdb9564e9106c196eebceb4c100d	c57a7900e47af5ee1089f7152027b62d76f3df190152724a351a1a5c8277b01f	0	0	NA
03febef5a37b1af386c51e6958dd119f	COMPLETE	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80	776343d29ddb2aacb395b0aa77f8ee5726797f868da3e886cc8957c7c480b73d	511946c9d2bf6744a75774d7be42f0dd863a99671aca2f3708e24df5c56d26c5	0	0	NA
043ee337c847e56fe42e91b1480c46b8	COMPLETE	95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	cc6e6d0fdd44e70e9f51741975abd03c200c29c091f5f51f5e0dc8e869ef2699	cb9dc56932fb99a4bc95046f0184875ae990a15c036b537d4df1ddca5fa8b148	0	0	NA
052e87023a9d9fb0ce94c67f706c166d	COMPLETE	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80	4e9b9f526f193e8ed1979f8fd89eb74139210f516a57868cc3309f3ef3c7c7a9	ddf8b79d0581c8bcfe94d801254d51f6396f4afeff990ae5704758ef10e6c368	0	0	NA
0614e5f95ded9138be7d1fd3cfd55177	COMPLETE	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80	4e909f646baefcfd6b228a56b674932f35b51500f99fed5a62b0e33d3547de78	71953a4d816d942d64c650662f029fb72cb6ee95e30d04b8a55787e8346dd6a3	0	0	NA
