mechanism_id	scaling_policy_id	corpus_scale	corpus_id	metric_id	n	range	stability
f01_speculum_core	LITERAL_RESET_V1	LARGE	Astafiev	EF1_GIANT_COMPONENT_SHARE	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Astafiev	EF1_ISOLATE_SHARE	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Astafiev	EF2_GLOBAL_CLUSTERING	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Astafiev	EF3_DEGREE_FREQUENCY_SPEARMAN	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Astafiev	LP1_RULE_SUPPORT_GINI	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Astafiev	LP4_PREFIX_ATTACHMENT_NMI	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Astafiev	LP4_SUFFIX_ATTACHMENT_NMI	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Astafiev	cs6/family-diversity-x-line-length	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Astafiev	cs7/edit-distance-x-structural-distance	2	0.000012	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Doyle	EF1_GIANT_COMPONENT_SHARE	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Doyle	EF1_ISOLATE_SHARE	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Doyle	EF2_GLOBAL_CLUSTERING	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Doyle	EF3_DEGREE_FREQUENCY_SPEARMAN	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Doyle	LP1_RULE_SUPPORT_GINI	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Doyle	LP4_PREFIX_ATTACHMENT_NMI	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Doyle	LP4_SUFFIX_ATTACHMENT_NMI	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Doyle	cs6/family-diversity-x-line-length	2	0.000000	STABLE
f01_speculum_core	LITERAL_RESET_V1	LARGE	Doyle	cs7/edit-distance-x-structural-distance	2	0.006007	STABLE
