message	category	natural	condition	n_candidates_raw	n_candidates_lex	enumeration_capped	exact_blind_p	exact_lex_p	entropy_raw_bits	true_in_set
PAX	short_no_repeat	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
PAX	short_no_repeat	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
PAX	short_no_repeat	true	K3_ring_identity_unknown	6	1	false	0.166667	1.000000	2.5850	true
PAX	short_no_repeat	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
PAX	short_no_repeat	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
PAX	short_no_repeat	true	K6_traversal_direction_unknown	2	1	false	0.500000	1.000000	1.0000	true
PAX	short_no_repeat	true	K7_convention_unknown_compound	138	1	false	0.007246	1.000000	7.1085	true
ANNA	palindrome_high_repeat	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
ANNA	palindrome_high_repeat	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
ANNA	palindrome_high_repeat	true	K3_ring_identity_unknown	6	1	false	0.166667	1.000000	2.5850	true
ANNA	palindrome_high_repeat	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
ANNA	palindrome_high_repeat	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
ANNA	palindrome_high_repeat	true	K6_traversal_direction_unknown	1	1	false	1.000000	1.000000	0.0000	true
ANNA	palindrome_high_repeat	true	K7_convention_unknown_compound	138	1	false	0.007246	1.000000	7.1085	true
DEVS	short_no_repeat	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
DEVS	short_no_repeat	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
DEVS	short_no_repeat	true	K3_ring_identity_unknown	24	1	false	0.041667	1.000000	4.5850	true
DEVS	short_no_repeat	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
DEVS	short_no_repeat	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
DEVS	short_no_repeat	true	K6_traversal_direction_unknown	2	1	false	0.500000	1.000000	1.0000	true
DEVS	short_no_repeat	true	K7_convention_unknown_compound	552	1	false	0.001812	1.000000	9.1085	true
EXTRA	rare_symbol_x	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
EXTRA	rare_symbol_x	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
EXTRA	rare_symbol_x	true	K3_ring_identity_unknown	120	1	false	0.008333	1.000000	6.9069	true
EXTRA	rare_symbol_x	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
EXTRA	rare_symbol_x	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
EXTRA	rare_symbol_x	true	K6_traversal_direction_unknown	2	1	false	0.500000	1.000000	1.0000	true
EXTRA	rare_symbol_x	true	K7_convention_unknown_compound	2760	1	false	0.000362	1.000000	11.4305	true
NATVRA	medium_low_repeat	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
NATVRA	medium_low_repeat	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
NATVRA	medium_low_repeat	true	K3_ring_identity_unknown	360	1	false	0.002778	1.000000	8.4919	true
NATVRA	medium_low_repeat	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
NATVRA	medium_low_repeat	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
NATVRA	medium_low_repeat	true	K6_traversal_direction_unknown	2	1	false	0.500000	1.000000	1.0000	true
NATVRA	medium_low_repeat	true	K7_convention_unknown_compound	33120	33120	true	0.000030	0.000030	15.0154	true
GLORIA	medium_no_repeat	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
GLORIA	medium_no_repeat	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
GLORIA	medium_no_repeat	true	K3_ring_identity_unknown	720	1	false	0.001389	1.000000	9.4919	true
GLORIA	medium_no_repeat	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
GLORIA	medium_no_repeat	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
GLORIA	medium_no_repeat	true	K6_traversal_direction_unknown	2	1	false	0.500000	1.000000	1.0000	true
GLORIA	medium_no_repeat	true	K7_convention_unknown_compound	33120	33120	true	0.000030	0.000030	15.0154	true
MEMORIA	medium_repeat_m	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
MEMORIA	medium_repeat_m	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
MEMORIA	medium_repeat_m	true	K3_ring_identity_unknown	2520	1	false	0.000397	1.000000	11.2992	true
MEMORIA	medium_repeat_m	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
MEMORIA	medium_repeat_m	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
MEMORIA	medium_repeat_m	true	K6_traversal_direction_unknown	2	1	false	0.500000	1.000000	1.0000	true
MEMORIA	medium_repeat_m	true	K7_convention_unknown_compound	231840	231840	true	0.000004	0.000004	17.8228	true
FONTANA	medium_repeat_an	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
FONTANA	medium_repeat_an	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
FONTANA	medium_repeat_an	true	K3_ring_identity_unknown	1260	1	false	0.000794	1.000000	10.2992	true
FONTANA	medium_repeat_an	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
FONTANA	medium_repeat_an	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
FONTANA	medium_repeat_an	true	K6_traversal_direction_unknown	2	1	false	0.500000	1.000000	1.0000	true
FONTANA	medium_repeat_an	true	K7_convention_unknown_compound	231840	231840	true	0.000004	0.000004	17.8228	true
KALENDAE	rare_symbol_k	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
KALENDAE	rare_symbol_k	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
KALENDAE	rare_symbol_k	true	K3_ring_identity_unknown	10080	1	false	0.000099	1.000000	13.2992	true
KALENDAE	rare_symbol_k	true	K4_read_radius_unknown	23	1	false	0.043478	1.000000	4.5236	true
KALENDAE	rare_symbol_k	true	K5_initial_orientation_unknown	23	1	false	0.043478	1.000000	4.5236	true
KALENDAE	rare_symbol_k	true	K6_traversal_direction_unknown	2	1	false	0.500000	1.000000	1.0000	true
KALENDAE	rare_symbol_k	true	K7_convention_unknown_compound	1854720	1854720	true	0.000001	0.000001	20.8228	true
SPECVLVM	thematic_device_name	true	K1_full_knowledge	1	1	false	1.000000	1.000000	0.0000	true
SPECVLVM	thematic_device_name	true	K2_length_unknown	12	1	false	0.083333	1.000000	3.5850	true
