message	length	category	natural
PAX	3	short_no_repeat	true
ANNA	4	palindrome_high_repeat	true
DEVS	4	short_no_repeat	true
EXTRA	5	rare_symbol_x	true
NATVRA	6	medium_low_repeat	true
GLORIA	6	medium_no_repeat	true
MEMORIA	7	medium_repeat_m	true
FONTANA	7	medium_repeat_an	true
KALENDAE	8	rare_symbol_k	true
SPECVLVM	8	thematic_device_name	true
EXPERIMENTA	11	long_high_repeat_e_rare_x	true
CONSTANTINA	11	long_high_repeat_nt	true
ZQB	3	random_control	false
LSQE	4	random_control	false
PCPL	4	random_control	false
EHSCI	5	random_control	false
PDCTHH	6	random_control	false
QKCICV	6	random_control	false
RQGEAOZ	7	random_control	false
PFIGFVK	7	random_control	false
ETONXFER	8	random_control	false
EHPQHAFL	8	random_control	false
HKEXIEHAYLI	11	random_control	false
EQXAZRPNTRI	11	random_control	false
