element	label	basis	alternative_reconstructions	affects_experiment_results
concentric_independently_rotating_rings	E	NAL 635 19v-21r, direct description	none credible	yes -- core mechanism
rings_share_one_axis	I	necessary for "rotate separately" to be a repeatable single procedure	rings could be separate mounted discs on distinct axes	no -- geometrically equivalent for this model
each_ring_carries_full_alphabet	E	NAL 635 19v-21r	none	yes -- defines sector count = alphabet size
letters_aligned_on_one_radius	E	NAL 635 19v-21r ("полудиаметр")	none	yes -- defines the read-radius mechanism
sufficient_friction_to_hold_rotation	I	otherwise state would not persist between encode and decode	ratchet/detent notches instead of friction	no -- both persist state identically for this model
marked_reading_radius_exists	I	repeatable retrieval needs a fixed reference	radius chosen fresh each time and remembered verbally (then it is K, not a device feature)	yes -- if false, device has no fixed cue at all (collapses toward K8)
ring_count_n=12	H	modeling choice; source does not state capacity	any n >= longest test message (11); qualitative findings unaffected	no -- only bounds testable message length
alphabet=Latin23_23_letters	H (I by analogy)	Task74: Fontana's own cipher script uses 23 symbols; F01 fragment itself is silent on size	Modern26 (tested in parallel, ALPHABET_SENSITIVITY.tsv); any other historically attested medieval Latin letter count	yes for absolute candidate counts (23 vs 26); no for qualitative ranking of ablation/corruption conditions (see TASK76_REPORT.md sec. "profile sensitivity")
ring_order_direction	U	source explicitly: "the order of rings in this fragment is not specified"	inner-to-outer (adopted as H default) vs outer-to-inner	yes -- this is exactly ablation condition K6
reading_direction_vs_ring_identity_distinct_axes	H (interpretive choice by Task76)	source gives one unresolved ambiguity ("order of rings"); Task76 splits it into two model axes for tractable, separately-measurable ablations	the alternative is to treat order-of-rings as a single combined unknown (no separate K3/K6) -- would merge two rows of ABLATION_RESULTS.tsv into one	yes -- changes which K-conditions exist, not the qualitative conclusions about them
ring_identity_independently_marked	H	not attested; introduced by Task76 specifically to make the local-vs-cascading state-corruption question decidable	physical rings unmarked, identified only by position	yes -- this is exactly the local-gap vs synchronization-cascade fork in Block 5
physical_collapse_on_ring_removal	H	not attested; physical consequence of whichever ring-mounting the previous row assumes	rings mounted on separate fixed brackets (no collapse) vs a single stacked axle (collapse)	yes -- this is the local-gap vs synchronization-cascade fork in Block 5
unused_rings_hold_arbitrary_filler_letters	I	source: "without knowing length, extra letters from unused rings [are possible]" -- implies unused rings are not blank	filler generated by a fixed PRNG seed for reproducibility (H, implementation choice) vs whatever letter a previous use left behind (unmodelable, equivalent in effect)	no -- any filler policy gives the same K2 combinatorics (12 candidate lengths)
device_stores_letters_not_meaning	I	Task74 F01 note: "repeated reading returns letters directly, but not meaning or context"	none	yes -- bounds EXTERNAL_STORAGE_FUNCTION / MNEMONIC_CUE_FUNCTION verdicts
speculum_is_a_mirror_surface	NOT ADOPTED (Task74 finding, carried over)	Task74: "speculum" most simply read as the device's Latin name, not a functional mirror requirement	a literal reflective surface	no -- not modeled, not tested
polyalphabetic_cipher_use	H/speculation, OUT OF SCOPE	Task74: "technically possible but not required by this memory instruction"	none pursued	excluded by task76's explicit scope and methodological prohibition
