record_type	window_size	window_index	start	end	adjacent_js_distance	concentration	separation	comparisons	mean_js_distance	mean_similarity
window	50	0	0	50	0	0.02400000000000001				
window	50	1	10	60	0.19145247027726664	0.024800000000000013				
window	50	2	20	70	0.1753560655328985	0.022400000000000003				
window	50	3	30	80	0.15735337493509594	0.021600000000000005				
window	50	4	40	90	0.19245112497836536	0.020800000000000003				
window	50	5	50	100	0.18490224995673066	0.020800000000000003				
window	50	6	60	110	0.19245112497836536	0.0216				
window	50	7	70	120	0.18000000000000005	0.024800000000000016				
window	50	8	80	130	0.19245112497836536	0.024000000000000014				
window	50	9	90	140	0.17735337493509595	0.02560000000000001				
window	50	10	100	150	0.16125697019072782	0.024800000000000013				
window	50	11	110	160	0.15735337493509594	0.025600000000000015				
window	50	12	120	170	0.18390359525563194	0.025600000000000015				
window	50	13	130	180	0.17245112497836534	0.02480000000000001				
window	50	14	140	190	0.15245112497836533	0.024000000000000004				
window	50	15	150	200	0.1288058452123625	0.02240000000000001				
window	50	16	160	210	0.18490224995673066	0.02480000000000002				
window	50	17	170	220	0.16490224995673064	0.02480000000000002				
window	50	18	180	230	0.16880584521236253	0.025600000000000022				
window	50	19	190	240	0.18000000000000005	0.02640000000000002				
window	50	20	200	250	0.1488058452123625	0.024800000000000016				
window	50	21	210	260	0.17145247027726662	0.024800000000000016				
window	50	22	220	270	0.19245112497836536	0.02400000000000001				
window	50	23	230	280	0.18490224995673066	0.02400000000000001				
window	50	24	240	290	0.19145247027726664	0.024800000000000013				
window	50	25	250	300	0.18000000000000005	0.02320000000000001				
window	50	26	260	310	0.19245112497836536	0.022400000000000003				
window	50	27	270	320	0.18390359525563194	0.0216				
window	50	28	280	330	0.19245112497836536	0.020800000000000003				
window	50	29	290	340	0.14490224995673062	0.022400000000000003				
window	50	30	300	350	0.18490224995673066	0.020800000000000003				
window	50	31	310	360	0.18490224995673066	0.022400000000000007				
window	50	32	320	370	0.18490224995673066	0.022400000000000007				
window	50	33	330	380	0.19245112497836536	0.021600000000000008				
window	50	34	340	390	0.1324511249783653	0.022400000000000003				
window	50	35	350	400	0.17245112497836534	0.023200000000000012				
