rank	opening_candidate	closing_candidate	score	reliability	ranking_scope	line_probability	page_probability	directionality	ranking_z_score	permutation_p	mean_distance	adjacent_share	page_balance_stddev	AABB	ABAB
1	x000056	x000000	0.430749	0.866667	page	0.092308	0.515385	0.441958	3.793015	0.00990099	19.970149	0.000000	1.153915	6	4
2	x000083	x000008	0.402653	0.743590	page	0.086207	0.310345	0.307912	4.303323	0.00990099	22.777778	0.000000	1.066846	1	0
3	x000017	x000010	0.374156	0.947368	page	0.050938	0.337802	0.112802	3.913907	0.00990099	19.873016	0.000000	0.946691	4	10
4	x000105	x000002	0.372812	0.761905	page	0.265625	0.562500	0.522569	3.826494	0.00990099	15.777778	0.305556	1.315090	2	1
5	x000131	x000009	0.359131	0.687500	page	0.068182	0.477273	0.450677	3.070626	0.00990099	23.000000	0.000000	0.934745	1	0
6	x000008	x000001	0.352504	0.953596	page	0.077859	0.452555	0.183452	3.124196	0.019802	21.575269	0.026882	1.179715	16	27
7	x000103	x000000	0.350159	0.775281	page	0.217391	0.521739	0.481529	2.822860	0.00990099	13.055556	0.277778	1.189482	1	0
8	x000126	x000009	0.346736	0.701493	page	0.063830	0.489362	0.468085	4.190996	0.00990099	24.739130	0.000000	0.941341	1	1
9	x000144	x000000	0.345995	0.714286	page	0.100000	0.560000	0.535524	3.527757	0.00990099	19.285714	0.000000	1.195885	0	1
10	x000004	x000001	0.342227	0.952719	page	0.074442	0.357320	0.184563	3.203026	0.00990099	21.701389	0.000000	1.425951	9	9
11	x000076	x000016	0.336338	0.787234	page	0.067568	0.297297	0.259174	2.417383	0.029703	23.090909	0.000000	0.862302	1	0
12	x000082	x000009	0.335245	0.805825	page	0.036145	0.265060	0.254422	4.151915	0.00990099	21.727273	0.000000	1.007052	0	0
13	x000088	x000069	0.333693	0.791667	page	0.039474	0.157895	0.114416	3.356384	0.00990099	22.000000	0.000000	0.479420	1	0
14	x000078	x000031	0.333302	0.791667	page	0.092105	0.236842	0.181287	3.807770	0.00990099	15.222222	0.388889	0.606143	1	0
15	x000188	x000014	0.331565	0.591837	page	0.103448	0.517241	0.509549	3.347399	0.00990099	21.000000	0.000000	0.907357	1	0
16	x000042	x000016	0.330390	0.887006	page	0.095541	0.299363	0.226049	3.184201	0.00990099	17.127660	0.085106	0.936677	2	1
17	x000004	x000010	0.330065	0.947368	page	0.037221	0.255583	0.075028	3.410958	0.00990099	23.572816	0.000000	1.141144	7	4
18	x000047	x000003	0.329460	0.844961	page	0.091743	0.486239	0.402760	2.480655	0.019802	23.169811	0.018868	1.223463	3	2
19	x000103	x000001	0.326676	0.775281	page	0.173913	0.550725	0.499230	2.548143	0.00990099	13.684211	0.236842	1.293573	2	1
20	x000036	x000000	0.326472	0.902913	page	0.080645	0.306452	0.260997	2.682143	0.019802	19.649123	0.000000	1.357862	3	1
