schema_id	evidence_type	old_schema_sha256	new_schema_sha256	allowed_statuses	forbidden_statuses	standard_enforcement	custom_normative_keywords	positive_tests	negative_tests	mutation_tests	verdict
urn:g1v2:complexity:1	complexity	31fab388f40dd875afc4ec774f25a08603bbb186f9c9cbec92b576f567283737	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:f2_metric:1	f2_metric	e7e238b15a5d0271b3834475f0e60ad299c2895b60af4c9a901aa4946b85029a	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:final_verdict:1	final_verdict	b5cfab75fe9fb763c40a2c7e31835b7b526c63b75a09e83b335aedb787f082ae	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:fit:1	fit	feae44ad10a369a93a90ebd70e8552593c225cf1b18819b355c201dac72134e3	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:fitted_model:1	fitted_model	3f054999117872d5eccaf6f37118a5cb0bfdc73cb1156fbe74f388742b5222a7	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:generation:1	generation	ef15a6ada313b6ad24c9f32974aae00036f894ed5b1eb24c4385a308db28b1cd	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:minimality:1	minimality	f7b80978f9670325aaff83b3a4d4cf6ce35d8ecae35bc2435373f31667ed8939	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:not_reached:1	not_reached	90f1d3b6e522c264a1f5be24a60377a396482d13dbdaa10bc3a4cd0a27a14099	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:predictive_gate:1	predictive_gate	e760ea4cb12d4a52a32121645b56d8d68fdcc2f5afa2db106ce80b92b5798198	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:predictive_metric:1	predictive_metric	ae2fb7ec684b70c6f425a02437948501b81d3ebae2587a2a26a470a45cfcd6f4	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:predictive_verdict:1	predictive_verdict	02015b04ecf4c4b79ec59ab8cad8c77b838eb27accf4a979437f4385b7add5e0	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:scientific_failure:1	scientific_failure	8b361d751ab9cee28a95dae3321fac0b245f3490a49c2621dcb9b7ee7a74a783	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:structural_family:1	structural_family	2f8fc48934f92f99e68b1f8298ae0b88c94ad5dc6ace6532e92ecf1f7d5bb1f3	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:structural_gate:1	structural_gate	f70c2b65cb0806e5cc26966b351d658cfc0f01a8e6975220d1cba40c6ab0b703	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
urn:g1v2:structural_verdict:1	structural_verdict	da8800fc1a635024aed30fa437f1503b116809b40f22b8ae07a4fcbe30717e95	NOT_CREATED	UNRESOLVED	UNRESOLVED	NOT_PERFORMED	x-status-rules present in V1	0	0	0	BLOCKED_CONTRACT_DEFECT_EXPANDED
