evidence_type	schema_id	status	allowed	required_fields	forbidden_fields	nullable_fields	dependency_rule	normative_source	notes
complexity	urn:g1v2:complexity:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
complexity	urn:g1v2:complexity:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
complexity	urn:g1v2:complexity:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
complexity	urn:g1v2:complexity:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
complexity	urn:g1v2:complexity:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
complexity	urn:g1v2:complexity:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
complexity	urn:g1v2:complexity:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
complexity	urn:g1v2:complexity:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
complexity	urn:g1v2:complexity:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
f2_metric	urn:g1v2:f2_metric:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
f2_metric	urn:g1v2:f2_metric:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
f2_metric	urn:g1v2:f2_metric:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
f2_metric	urn:g1v2:f2_metric:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
f2_metric	urn:g1v2:f2_metric:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
f2_metric	urn:g1v2:f2_metric:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
f2_metric	urn:g1v2:f2_metric:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
f2_metric	urn:g1v2:f2_metric:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
f2_metric	urn:g1v2:f2_metric:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
final_verdict	urn:g1v2:final_verdict:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
final_verdict	urn:g1v2:final_verdict:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
final_verdict	urn:g1v2:final_verdict:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
final_verdict	urn:g1v2:final_verdict:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
final_verdict	urn:g1v2:final_verdict:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
final_verdict	urn:g1v2:final_verdict:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
final_verdict	urn:g1v2:final_verdict:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
final_verdict	urn:g1v2:final_verdict:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
final_verdict	urn:g1v2:final_verdict:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fit	urn:g1v2:fit:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fit	urn:g1v2:fit:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fit	urn:g1v2:fit:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fit	urn:g1v2:fit:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fit	urn:g1v2:fit:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fit	urn:g1v2:fit:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fit	urn:g1v2:fit:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fit	urn:g1v2:fit:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fit	urn:g1v2:fit:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fitted_model	urn:g1v2:fitted_model:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fitted_model	urn:g1v2:fitted_model:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fitted_model	urn:g1v2:fitted_model:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fitted_model	urn:g1v2:fitted_model:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fitted_model	urn:g1v2:fitted_model:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fitted_model	urn:g1v2:fitted_model:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fitted_model	urn:g1v2:fitted_model:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fitted_model	urn:g1v2:fitted_model:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
fitted_model	urn:g1v2:fitted_model:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
generation	urn:g1v2:generation:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
generation	urn:g1v2:generation:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
generation	urn:g1v2:generation:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
generation	urn:g1v2:generation:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
generation	urn:g1v2:generation:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
generation	urn:g1v2:generation:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
generation	urn:g1v2:generation:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
generation	urn:g1v2:generation:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
generation	urn:g1v2:generation:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
minimality	urn:g1v2:minimality:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
minimality	urn:g1v2:minimality:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
minimality	urn:g1v2:minimality:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
minimality	urn:g1v2:minimality:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
minimality	urn:g1v2:minimality:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
minimality	urn:g1v2:minimality:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
minimality	urn:g1v2:minimality:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
minimality	urn:g1v2:minimality:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
minimality	urn:g1v2:minimality:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
not_reached	urn:g1v2:not_reached:1	PASS	FORBIDDEN	N/A	ALL	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	uniquely frozen single-status type
not_reached	urn:g1v2:not_reached:1	FAIL	FORBIDDEN	N/A	ALL	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	uniquely frozen single-status type
not_reached	urn:g1v2:not_reached:1	NOT_ASSESSABLE	FORBIDDEN	N/A	ALL	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	uniquely frozen single-status type
not_reached	urn:g1v2:not_reached:1	NOT_REACHED	ALLOWED	upstream_job_id;upstream_status;reason_code	all computed scientific outputs	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	uniquely frozen single-status type
not_reached	urn:g1v2:not_reached:1	FIT_FAILURE	FORBIDDEN	N/A	ALL	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	uniquely frozen single-status type
not_reached	urn:g1v2:not_reached:1	NUMERICAL_FAILURE	FORBIDDEN	N/A	ALL	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	uniquely frozen single-status type
not_reached	urn:g1v2:not_reached:1	INDUCTION_CAP	FORBIDDEN	N/A	ALL	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	uniquely frozen single-status type
not_reached	urn:g1v2:not_reached:1	GENERATION_FAILURE	FORBIDDEN	N/A	ALL	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	uniquely frozen single-status type
not_reached	urn:g1v2:not_reached:1	PROTOCOL_VETO	FORBIDDEN	N/A	ALL	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	uniquely frozen single-status type
predictive_gate	urn:g1v2:predictive_gate:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
predictive_gate	urn:g1v2:predictive_gate:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
