sequence	n	token_validity	sequence_status	shuffle_block_p	shuffle_block_fdr_q	markov_block_p
x000078 x012336	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0013591850326544204	0.5784215784215784
x000079 x016338	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0013591850326544204	0.6033966033966034
x000079 x030474	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0013591850326544204	0.5924075924075924
x000079 x030478	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0013591850326544204	0.5844155844155844
x000080 x016338	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0013591850326544204	0.6213786213786214
x000816 x028392	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0013591850326544204	0.45454545454545453
x001068 x000078	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.013986013986013986	0.015803405633914108	0.5354645354645354
x001068 x000079	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.1108891108891109	0.11315215396848051	0.4985014985014985
x001068 x013872	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.028971028971028972	0.03166232674429396	0.48151848151848153
x001068 x013873	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.04495504495504495	0.04757147614290472	0.5034965034965035
x001068 x028392	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.6793206793206793	0.6793206793206792	0.5344655344655345
x001068 x028394	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.3756243756243756	0.37751193530088	0.5414585414585414
x001069 x013874	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.012987012987012988	0.01475796930342385	0.7592407592407593
x001069 x028392	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.027972027972027972	0.030738492276953813	0.42357642357642356
x001069 x028393	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.37362637362637363	0.3774003774003774	0.6653346653346653
