dimension	value	windows	mean_l1	mean_l2	mean_linf
currier	1	83	1.2054351075186804	0.05943964641218845	0.021767046667683403
currier	2	131	1.422046506165591	0.10694408187111816	0.03933435114503813
currier	3	19	1.3269824561403514	0.07387984331059594	0.01865497076023392
currier	X	37	1.37357502329916	0.07565219472042313	0.027202469711090416
hand	1	83	1.2054351075186807	0.05943964641218845	0.021767046667683403
hand	2	150	1.4100050598290614	0.10275594498678534	0.03671496296296291
hand	3	37	1.3735750232991597	0.07565219472042317	0.027202469711090416
joint	1/1	83	1.2054351075186807	0.059439646412188456	0.021767046667683403
joint	2/2	131	1.422046506165591	0.10694408187111816	0.03933435114503813
joint	3/2	19	1.3269824561403514	0.07387984331059594	0.01865497076023392
joint	X/3	37	1.3735750232991595	0.07565219472042316	0.027202469711090416
block	1/1#0	73	1.2034849315068463	0.059201638234055894	0.02132328767123289
block	1/1#1	3	1.177749999999999	0.055845117041170865	0.017074999999999986
block	1/1#3	3	1.164783333333329	0.06682356992126527	0.04321666666666668
block	1/1#8	4	1.2922784810126682	0.06094125005956303	0.017297468354430374
block	2/2#3	1	1.3440923076923228	0.09084345856745542	0.0288
block	2/2#8	130	1.4226461538461546	0.10706793281960789	0.03941538461538458
block	3/2#0	1	1.2686666666666637	0.06351727673983239	0.014444444444444444
block	3/2#1	18	1.330222222222223	0.07445554145341615	0.018888888888888893
block	X/3#0	29	1.3901379310344788	0.07854713720209602	0.02873275862068967
block	X/3#1	8	1.3135344827586268	0.0651580282243591	0.021655172413793115
cluster_comparison	ARI	270	0.41326980956332904		
cluster_comparison	NMI	270	0.4620189547395673		
