held_out_block	windows	mean_assignment_confidence	mean_medoid_distance	clusters_above_reference_threshold	both_regimes_recur
1/1#0	73	0.3787146190080406	0.06651125723764305	1	false
1/1#1	3	0.3406147670932258	0.06673181819398434	1	false
1/1#3	3	0.32952477422699605	0.07805674157183518	1	false
1/1#8	4	0.3115390863962195	0.0747754442230145	1	false
2/2#3	1	0.484255566564278	0.09370401614042742	0	false
2/2#8	130	0.022221411919830642	0.11112684816300233	0	false
3/2#0	1	0.2907106804541003	0.0736477661411684	1	false
3/2#1	18	0.3549403621989841	0.07827272527245799	1	false
X/3#0	29	0.22288601363952934	0.08539011095949285	1	false
X/3#1	8	0.3517465753293111	0.07902459712959231	1	false
