window_size	fold	joint_class	training_windows	test_windows	mean_train_residual_l2	mean_test_residual_l2	mean_train_residual_l1	mean_test_residual_l1
500	0	1/1	10	73	7.916565561311806e-18	0.03501549634161345	6.320898665590483e-17	0.932679452054801
500	1	1/1	80	3	4.6649334592332344e-17	0.05386733575285801	6.170986539420705e-16	1.1577166666666636
500	3	1/1	80	3	4.6733812341034945e-17	0.06538238061163318	6.244407355288711e-16	1.1402499999999978
500	8	1/1	79	4	4.3819076495235405e-17	0.0583750869559871	4.817968007236376e-16	1.2625063291139293
500	3	2/2	130	1	8.029847394782325e-17	0.09084345856745533	6.528802772181411e-16	1.3440923076923235
500	8	2/2	1	130	0	0.09084345856745527	0	1.3440923076923244
500	0	3/2	18	1	2.1986997899616072e-17	0.06351727673983239	1.9586262829585737e-16	1.2686666666666624
500	1	3/2	1	18	0	0.06351727673983236	0	1.2686666666666642
500	0	X/3	8	29	6.057054843167004e-18	0.06064646655877172	4.5888856950448975e-17	1.2538275862069006
500	1	X/3	29	8	3.011299788381598e-17	0.060646466558771706	2.9195508259535002e-16	1.253827586206899
