row_type	window_index	cluster	absolute_position_bin	normalized_block_position	absolute_midpoint_or_position_bin_nmi
window	0	1	0	0.06031363088057901	250
window	1	1	0	0.07237635705669482	300
window	2	1	0	0.08443908323281062	350
window	3	1	0	0.09650180940892641	400
window	4	1	0	0.10856453558504221	450
window	5	1	0	0.12062726176115803	500
window	6	1	0	0.13268998793727382	550
window	7	1	0	0.14475271411338964	600
window	8	1	0	0.15681544028950542	650
window	9	1	0	0.16887816646562123	700
window	10	1	0	0.18094089264173704	750
window	11	1	0	0.19300361881785283	800
window	12	1	0	0.20506634499396864	850
window	13	1	0	0.21712907117008443	900
window	14	1	0	0.22919179734620024	950
window	15	1	0	0.24125452352231605	1000
window	16	1	0	0.25331724969843183	1050
window	17	1	0	0.26537997587454765	1100
window	18	1	0	0.27744270205066346	1150
window	19	1	0	0.28950542822677927	1200
window	20	1	0	0.30156815440289503	1250
window	21	1	0	0.31363088057901084	1300
window	22	1	0	0.32569360675512665	1350
window	23	1	0	0.33775633293124246	1400
window	24	1	0	0.3498190591073583	1450
window	25	1	0	0.3618817852834741	1500
window	26	1	0	0.37394451145958985	1550
window	27	1	0	0.38600723763570566	1600
window	28	1	0	0.39806996381182147	1650
window	29	1	0	0.4101326899879373	1700
window	30	1	0	0.4221954161640531	1750
window	31	1	0	0.43425814234016885	1800
window	32	1	0	0.44632086851628466	1850
window	33	1	0	0.4583835946924005	1900
window	34	1	0	0.4704463208685163	1950
window	35	1	0	0.4825090470446321	2000
window	36	1	0	0.4945717732207479	2050
window	37	1	0	0.5066344993968637	2100
window	38	1	0	0.5186972255729795	2150
window	39	1	0	0.5307599517490953	2200
window	40	1	0	0.5428226779252111	2250
window	41	1	0	0.5548854041013269	2300
window	42	1	0	0.5669481302774427	2350
window	43	1	0	0.5790108564535585	2400
window	44	1	0	0.5910735826296744	2450
window	45	1	0	0.6031363088057901	2500
window	46	1	0	0.6151990349819059	2550
window	47	1	0	0.6272617611580217	2600
window	48	1	0	0.6393244873341375	2650
window	49	1	0	0.6513872135102533	2700
window	50	1	0	0.6634499396863691	2750
window	51	1	0	0.6755126658624849	2800
window	52	1	0	0.6875753920386007	2850
window	53	1	0	0.6996381182147166	2900
window	54	1	0	0.7117008443908324	2950
window	55	1	0	0.7237635705669482	3000
window	56	1	0	0.7358262967430639	3050
window	57	1	0	0.7478890229191797	3100
window	58	1	0	0.7599517490952955	3150
window	59	1	0	0.7720144752714113	3200
window	60	1	0	0.7840772014475271	3250
window	61	1	0	0.7961399276236429	3300
window	62	1	0	0.8082026537997588	3350
window	63	1	0	0.8202653799758746	3400
window	64	1	0	0.8323281061519904	3450
window	65	1	0	0.8443908323281062	3500
window	66	1	0	0.856453558504222	3550
window	67	1	0	0.8685162846803377	3600
window	68	1	0	0.8805790108564535	3650
window	69	1	0	0.8926417370325693	3700
window	70	1	0	0.9047044632086851	3750
window	71	1	0	0.916767189384801	3800
window	72	1	0	0.9288299155609168	3850
window	73	1	1	0.4084967320261438	4578
window	74	1	1	0.49019607843137253	4628
window	75	1	1	0.5718954248366013	4678
window	76	1	1	0.41459369817578773	6022
window	77	1	1	0.4975124378109453	6072
window	78	1	1	0.5804311774461028	6122
window	79	1	1	0.4892367906066536	6625
window	80	1	2	0.3816793893129771	9336
window	81	1	2	0.4580152671755725	9386
window	82	1	2	0.5343511450381679	9436
window	83	1	2	0.6106870229007634	9486
window	84	0	3	0.03593502946672416	15050
window	85	0	3	0.043122035360069	15100
window	86	0	3	0.05030904125341383	15150
