metric_id	metric_version	family	support_regime	checkpoint	estimator	n	median	mad	iqr	scale	status
D_LINE_COHERENCE	generic-metrics-1.0	D		5000	MAD_1.4826	320	0.00771875978722	0.00044935645551	0.000871988353526	0.000666215880939	OK
D_LINE_EXCLUSIVITY	generic-metrics-1.0	D		5000	MAD_1.4826	320	0.921038148481	0.00486597163984	0.00997385246758	0.00721428955322	OK
D_LINE_PROGRESSION	generic-metrics-1.0	D		5000	MAD_1.4826	320	-2.05808602244e-06	4.07071877526e-05	7.83467949374e-05	6.0352476562e-05	OK
D_LINE_VARIANCE_SHARE	generic-metrics-1.0	D		5000	MAD_1.4826	320	0.123924557834	0.0045205958599	0.00939330322057	0.00670223542189	OK
G02_INITIAL_RESTRICTION_DENSITY	generic-metrics-1.0	G		5000	MAD_1.4826	320	0	0	0	0	DEGENERATE
G03_FINAL_RESTRICTION_DENSITY	generic-metrics-1.0	G		5000	MAD_1.4826	320	0	0	0	0	DEGENERATE
G04_BIGRAM_OCCUPANCY	generic-metrics-1.0	G		5000	MAD_1.4826	320	0.888888888889	0.0703125	0.131944444444	0.1042453125	OK
G05_TRIGRAM_OCCUPANCY	generic-metrics-1.0	G		5000	MAD_1.4826	320	0.342556423611	0.0368561921296	0.110261140046	0.0546429904514	OK
G06_SYMBOL_CONDITIONAL_ENTROPY_NORM	generic-metrics-1.0	G		5000	MAD_1.4826	320	0.828092003161	0.0570785655905	0.191964044571	0.0846246813445	OK
G07_HIGHER_ORDER_ENTROPY_REDUCTION	generic-metrics-1.0	G		5000	MAD_1.4826	320	0.0818027283253	0.00980194852134	0.085391719661	0.0145323688777	OK
G08_MEAN_SYMBOLS_PER_TOKEN	generic-metrics-1.0	G		5000	MAD_1.4826	320	4.6625	0.0385	0.0786	0.0570801	OK
L01_LINE_TOKEN_COUNT_MEAN	generic-metrics-1.0	L		5000	MAD_1.4826	320	8	0	0	0	DEGENERATE
L02_LINE_SYMBOL_COUNT_MEAN	generic-metrics-1.0	L		5000	MAD_1.4826	320	37.3	0.308	0.6288	0.4566408	OK
L03_BOUNDARY_SPECIALIZATION	generic-metrics-1.0	L		5000	MAD_1.4826	320	0.85412613474	0.00235713729908	0.00456779438339	0.00349469175962	OK
L04_POSITION_PROGRESSION	generic-metrics-1.0	L		5000	MAD_1.4826	320	0.00193074251265	0.00972788871509	0.0204666431031	0.014422567809	OK
L05_LINE_ASYMMETRY	generic-metrics-1.0	L		5000	MAD_1.4826	320	0	0	0	0	DEGENERATE
L06_SAME_LINE_COOCCURRENCE_DENSITY	generic-metrics-1.0	L	FREQ_GE_10	5000	MAD_1.4826	320	0.726436781609	0.107413600892	0.213544880785	0.159251404682	OK
