corpus_id	class	name	date_from	date_to	language_or_notation	source_url	license	transcription_type	physical_lines_available	page_structure_available	hierarchy_available	aligned_expansion_available	acquisition_status	notes
C01-BDD-EXP	C01	Burchards Dekret Digital expanded TEI	1000	1025	Latin	https://burchards-dekret-digital.de/	project terms require verification	TEI expanded manuscript transcription	yes	yes	yes	yes	LOCAL_FIXTURE_SOURCE	Five TEI files already under data_test/bdd-tei; ordinary-language paired baseline only, single work
C01-CATMUS	C01	CATMuS Medieval	700	1600	Latin-script manuscript text	https://huggingface.co/datasets/CATMuS/medieval	CC-BY-4.0	line-level graphematic HTR ground truth	yes	partly	collection hierarchy	no	DISCOVERED	Large heterogeneous baseline; language and century strata must remain explicit
C02-BDD-DIP	C02	Burchards Dekret Digital diplomatic TEI	1000	1025	abbreviated Latin	https://burchards-dekret-digital.de/	project terms require verification	TEI diplomatic with abbreviation markup	yes	yes	yes	yes	LOCAL_FIXTURE_SOURCE	Priority paired diplomatic↔expanded control; reuse existing Task82b provenance
C02-ABBR	C02	Abbreviationes Burchard export	1000	1025	abbreviated Latin	https://github.com/michaelscho/Abbreviationes	Zenodo/repository terms require verification	aligned abbreviation extraction	yes	yes	yes	yes	DISCOVERED	Validate exact underlying revision against local BDD TEI before acquisition
C02-CATMUS	C02	CATMuS Medieval abbreviation-bearing lines	700	1600	Latin-script scribal abbreviations	https://huggingface.co/datasets/CATMuS/medieval	CC-BY-4.0	line-level graphematic transcription	yes	partly	collection hierarchy	no	DISCOVERED	No systematic expanded pair; stratify by collection/language/date
C03-TIRONIAN	C03	Tironian running-text corpus candidate	0	1500	Tironian notes		UNKNOWN	machine-readable diplomatic required	unknown	unknown	unknown	preferred	BLOCKED_NO_CORPUS	No open scholarly running-text corpus identified; do not treat abbreviation dictionaries as shorthand prose
C03-BDD-AUX	C03	BDD abbreviation representation as auxiliary notation-effect corpus	1000	1025	Latin scribal abbreviation	https://burchards-dekret-digital.de/	project terms require verification	paired TEI	yes	yes	yes	yes	AUXILIARY_ONLY	BDD is not shorthand in general and cannot represent C03 alone
C04-DECODE-MONO	C04	DECODE Database monoalphabetic subset	1400	1800	historical monoalphabetic cipher	https://de-crypt.org/decrypt-web/RecordsList	record-specific rights; verify before download	diplomatic cipher transcription and metadata	varies	varies	yes	where recorded	DISCOVERED_NEEDS_STRATIFICATION	Keep one mechanism and cipher alphabet per corpus instance
C04-DECODE-HOMO	C04	DECODE Database homophonic subset	1400	1800	historical homophonic cipher	https://de-crypt.org/decrypt-web/RecordsList	record-specific rights; verify before download	diplomatic cipher transcription and metadata	varies	varies	yes	where recorded	DISCOVERED_NEEDS_STRATIFICATION	Must not merge with monoalphabetic or nomenclator records
C04-DECODE-NOM	C04	DECODE Database nomenclator subset	1400	1800	historical nomenclator	https://de-crypt.org/decrypt-web/RecordsList	record-specific rights; verify before download	diplomatic cipher transcription and key metadata	varies	varies	yes	where recorded	DISCOVERED_NEEDS_STRATIFICATION	Codebook identity and plaintext alignment are mandatory provenance
C05-NAL635	C05	Giovanni Fontana Secretum BnF NAL 635	1420	1440	Fontana symbolic substitution	https://gallica.bnf.fr/ark:/12148/btv1b10023795x	Gallica reuse terms; manuscript public domain	facsimile; scholarly transcription licensed separately	yes	yes	yes	partial in editions	FACSIMILE_DISCOVERED	Do not synthesize missing transcription; reuse research/phase2/fontana/SOURCES.md
C06-MEI-SAMPLES	C06	MEI mensural sample encodings	1300	1600	mensural music	https://github.com/music-encoding/sample-encodings	repository license requires file-level verification	MEI symbolic events	where encoded	where encoded	staff/layer hierarchy	no	DISCOVERED	Validate each file with frozen MEI schema; sample set is not automatically a representative corpus
C06-JLSDD	C06	Josquin-La Rue Secure Duos Dataset	1450	1525	Renaissance polyphony	https://github.com/ELVIS-Project/mass-duos-corpus-josquin-larue	GPL-3.0	MEI/MusicXML/kern symbolic scores	encoding-dependent	encoding-dependent	voice/staff/work	yes across formats	DISCOVERED	33 Josquin and 44 La Rue duos; keep composers and works as independent instances
C07-ECOLM-FR	C07	Electronic Corpus of Lute Music French tablature subset	1500	1650	French lute tablature	https://www.doc.gold.ac.uk/isms/ecolm/	UNKNOWN; permission/terms required	TabCode diplomatic encoding	yes	varies	piece/source	not generally	BLOCKED_LICENSE	Preserves system breaks and scribal practices; tradition must remain separate
C07-ECOLM-IT	C07	Electronic Corpus of Lute Music Italian tablature subset	1500	1650	Italian lute tablature	https://www.doc.gold.ac.uk/isms/ecolm/	UNKNOWN; permission/terms required	TabCode diplomatic encoding	yes	varies	piece/source	not generally	BLOCKED_LICENSE	Do not pool with French or German notation
