claim_id	claim	evidence_type	supporting_metrics	contradicting_metrics	uncertainty	representation_sensitivity	sample_size_sensitivity	status	notes
C01	Symbol-grammar (G family) calibrated distance to VM is the lowest or near-lowest comparable family for all five candidate/representation combinations at both comparable checkpoints (5000, 10000)	descriptive/observed	G family rows, all 5 reps, ck 5000+10000 (SCIENTIFIC_INTERPRETATION_EVIDENCE.tsv family=G)	none within G; magnitude itself is large in absolute terms for C06	bootstrap CI moderate for G01/G04/G06-G08; wide for none of the G metrics specifically	HIGH: C01 vs C02 G-family raw values differ by up to 623% relative (G02_INITIAL_RESTRICTION_DENSITY) and 93.5% (G01_ALPHABET_SIZE); see C07	rank stable 5000->10000 for all 5 reps	WEAKLY_SUPPORTED	"Lowest among compared families" is a within-run relative statement, not a similarity verdict; no frozen closeness threshold exists (see C13)
C02	Token-formation (T family) calibrated distance to VM is roughly one to two orders of magnitude larger for C06 (mensural music) than for C01/C02 (Latin) at both comparable checkpoints	descriptive/observed	AGGREGATE_SUMMARY.tsv T rows: C01 13.3/18.4, C02 13.8/19.4 vs C06-R1 72.3/132.4, C06-R2 1866/3640, C06-R3 228.8/445.5	none	T08_HIGHER_ORDER_PREDICTIVE_GAIN and several T-family regimes have moderate bootstrap CI width; not dominant	EXTREME across C06 representations (R1 vs R2 differ ~25x); see C09	rank stable: T remains the largest-distance family for all three C06 representations at both checkpoints	SUPPORTED_BY_CURRENT_EVIDENCE	Descriptive only; does not by itself indicate why (see alternative explanations, report section 16)
C03	Sequence-grammar (S family) is the largest-distance comparable family for C01/C02 (Latin), but is not the largest for any C06 representation (T and D exceed it); for MUSIC-R1 specifically S is the second-lowest family	descriptive/observed	AGGREGATE_SUMMARY.tsv S rows all reps/checkpoints; family_rank_* summaries	none	several S04-S07 regimes are DEGENERATE (excluded, "metric absent from pre-frozen scale"), so the S family mean is computed over a subset (S01,S02,S03,S08 x 5 regimes = 20 of a possible larger set)	S01_TRANSITION_DENSITY[TOP_250] example: 6.96 (R1) vs presumably different for R2/R3 (representation-dependent, not separately re-verified per-metric here)	rank stable 5000->10000 for all reps	SUPPORTED_BY_CURRENT_EVIDENCE	Illustrates that no single family orders candidates identically to VM; picture is multidimensional (report section 12)
C04	Document-hierarchy (D) and line-grammar (L) metrics are NOT_COMPARABLE between VM and C01/C02, because VM's frozen source observes only document and physical-line levels while C01/C02 observe document/locus/page/section but not physical line	structural/schema	candidates/C01/RAW_METRICS.tsv (D_LOCUS/D_PAGE/D_SECTION comparable, D_LINE/L not comparable, reason "line not observed"); AGGREGATE_SUMMARY.tsv D,L rows for C01/C02 all NOT_COMPARABLE	none	not applicable (status is schema-level, not a measured effect)	not applicable	not applicable	NOT_TESTED_BY_CURRENT_DESIGN	This is a genuine structural non-overlap between the two sources' observed hierarchy levels, not a data-quality defect and not evidence of any structural relationship
C05	The representation choice within C06 (MUSIC-R1 vs R2 vs R3) changes the family-mean calibrated distance to VM by more than the spread across candidate identity (C01, C02, C06-mean), for every comparable family, at both checkpoints	descriptive/observed, direct computation	AGGREGATE_SUMMARY.tsv, all families/checkpoints (e.g. T: R1-R3 spread 1794-3507 vs class spread 709-1387; D: R1-R3 spread 149-177 vs class spread 0 (D not comparable for C01/C02))	none	direct computation from frozen outputs, no additional statistical uncertainty introduced	this claim IS the representation-sensitivity measurement	checked at both 5000 and 10000; pattern holds at both	SUPPORTED_BY_CURRENT_EVIDENCE	Central finding for report sections 6 and 17: representation variance exceeds observed candidate-class variance in this N=3 panel
C06	D-family *_PROGRESSION metrics (D_LINE_PROGRESSION, D_SECTION_PROGRESSION, D_PAGE_PROGRESSION, D_LOCUS_PROGRESSION) have bootstrap 95% CI widths several times larger than the absolute point estimate, across every candidate/representation where they are comparable	statistical/uncertainty	BOOTSTRAP_RESULTS.tsv: e.g. C01 D_PAGE_PROGRESSION est=-0.000143 CI=[-0.000507,0.00125] (rel width 12.35); C02 D_LOCUS_PROGRESSION rel width 5.50; C06-R1 D_PAGE_PROGRESSION rel width 2.95	none observed among *_PROGRESSION rows	this claim is itself an uncertainty statement	not separately assessed	not separately assessed	SUPPORTED_BY_CURRENT_EVIDENCE	These specific metrics should carry LOW interpretive weight ("sample-size-sensitive"/near-zero-signal) regardless of candidate; see report section 11
C07	Latin representation choice (EXPANDED vs DIPLOMATIC) shifts G01_ALPHABET_SIZE (+93.5%), G02_INITIAL_RESTRICTION_DENSITY (+623% from a small base), and G04_BIGRAM_OCCUPANCY (-56.2%) by magnitudes comparable to or larger than the calibrated candidate-vs-VM distances reported for those same metrics	descriptive/observed	vm_comparison/PAIRED/C01_C02_NOTATION_DELTA.tsv largest |delta| rows	S-family deltas are comparatively small (-12% to -23%), showing sensitivity is family-specific, not uniform	delta values are raw differences, not resampled; no CI attached to the delta itself in this run	this claim IS a representation-sensitivity measurement for the Latin pair	not checkpoint-dependent (raw values, not rarefied)	SUPPORTED_BY_CURRENT_EVIDENCE	Motivates report section 5: C01/C02 must not be read as two independent historical controls
C08	The direction of change (5000 to 10000 tokens) in a candidate's own rarefied metric estimate agrees with the direction of change in VM's own rarefied estimate for the same metric in only 165 of 360 (46%) checked (representation, metric) pairs — close to chance	statistical/rarefaction	Derived from rarefaction/*/RAREFACTION_SUMMARY.tsv (candidate) and VM_RAREFACTION_V2.tsv (frozen VM), matched by metric_id/regime/checkpoint	195 of 360 pairs (54%) disagree, i.e. majority is technically "disagree" but the split is close to 50/50	near-chance split is itself the finding; not a strong signal either way	pooled across all 5 representations	compares only the two jointly-reachable checkpoints (5000, 10000)	INCONCLUSIVE	Rules against a single dominant, uniform, shared corpus-size drift across the whole panel; does not rule out a real per-metric size effect
C09	VM's structural grammar is broadly closer (smaller calibrated distance) to the tested natural-language Latin representations (C01, C02) than to the tested mensural-music representations (C06 R1/R2/R3), based on the T family, the only family directly comparable for both classes that shows a clear direction	descriptive synthesis	C02 above	G family magnitudes are comparable across candidate classes (not clearly favoring Latin); S family favors MUSIC-R1 specifically but not R2/R3; D is large for music but has no C01/C02 value at all (C04), so it cannot corroborate this claim, only describe music on its own	family-mixed picture; only one of three directly-comparable families agrees with this direction	R1/R2/R3 variance (C05) means the "Music" side of this claim is representation-dependent, weakening it	checked at 5000 and 10000, pattern holds	WEAKLY_SUPPORTED	Phase II hypothesis-relevant (report section 12/14); explicitly a within-family pattern resting on T alone, not a composite score (none was computed)
C10	VM's structural grammar resembles a constrained, non-natural-language symbolic notation (mensural music, as tested here) more closely than it resembles natural language (Latin, as tested here)	descriptive synthesis (converse of C09)	Only S-family for MUSIC-R1 specifically supports this	T family (the one directly-comparable family with a clear direction) does not support this; G family on balance does not support this either; D has no Latin counterpart to compare against, so it neither supports nor contradicts this claim; C05 (representation instability) further weakens any Music-specific claim	same as C09	same as C09	same as C09	NOT_SUPPORTED	The one directly-comparable family with a clear signal (T), plus G, point the opposite direction from this claim
