metric_id	metric_version	family	support_regime	checkpoint	value	output_type	comparability	provenance
G01_ALPHABET_SIZE	generic-metrics-1.0	G		39380	36	DESCRIPTIVE_ONLY	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
G02_INITIAL_RESTRICTION_DENSITY	generic-metrics-1.0	G		39380	0.25	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
G03_FINAL_RESTRICTION_DENSITY	generic-metrics-1.0	G		39380	0	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
G04_BIGRAM_OCCUPANCY	generic-metrics-1.0	G		39380	0.292438271605	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
G05_TRIGRAM_OCCUPANCY	generic-metrics-1.0	G		39380	0.0336291152263	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
G06_SYMBOL_CONDITIONAL_ENTROPY_NORM	generic-metrics-1.0	G		39380	0.408488256482	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
G07_HIGHER_ORDER_ENTROPY_REDUCTION	generic-metrics-1.0	G		39380	0.0425021352386	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
G08_MEAN_SYMBOLS_PER_TOKEN	generic-metrics-1.0	G		39380	4.94629253428	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
T01_MEAN_TOKEN_LENGTH	generic-metrics-1.0	T		39380	4.94629253428	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
T02_TOKEN_LENGTH_SD	generic-metrics-1.0	T		39380	1.83794584085	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
T03_UNIQUE_TOKEN_RATIO	generic-metrics-1.0	T		39380	0.209344845099	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
T04_HAPAX_RATIO	generic-metrics-1.0	T		39380	0.690077632217	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
T05_PREFIX_DIVERSITY	generic-metrics-1.0	T		39380	0.00327510917031	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
T06_SUFFIX_DIVERSITY	generic-metrics-1.0	T		39380	0.00436681222707	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
T07_EDIT_GRAPH_DENSITY	generic-metrics-1.0	T		39380	0.000880667248108	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
T08_EDIT_GRAPH_GIANT_SHARE	generic-metrics-1.0	T		39380	0.83770014556	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
T09_EDIT_GRAPH_CLUSTERING	generic-metrics-1.0	T		39380	0.3099957714	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
T10_EDIT_DEGREE_FREQUENCY_SPEARMAN	generic-metrics-1.0	T		39380	0.641587925628	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
T11_POSITIONAL_RESTRICTION_DENSITY	generic-metrics-1.0	T		39380	0.12962962963	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S01_TRANSITION_DENSITY	generic-metrics-1.0	S	FREQ_GE_5	39380	0.0152768495829	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S02_TRANSITION_ZERO_DENSITY	generic-metrics-1.0	S	FREQ_GE_5	39380	0.984723150417	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S03_TRANSITION_ENTROPY_NORM	generic-metrics-1.0	S	FREQ_GE_5	39380	0.681540227662	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S06_PREFERRED_TRANSITION_FRACTION	generic-metrics-1.0	S	FREQ_GE_5	39380	0.0689655172414	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S07_DEPLETED_TRANSITION_FRACTION	generic-metrics-1.0	S	FREQ_GE_5	39380	0.402298850575	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S08_HIGHER_ORDER_PREDICTIVE_GAIN	generic-metrics-1.0	S	FREQ_GE_5	39380	0.4465275951	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S01_TRANSITION_DENSITY	generic-metrics-1.0	S	FREQ_GE_10	39380	0.0395410207025	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S02_TRANSITION_ZERO_DENSITY	generic-metrics-1.0	S	FREQ_GE_10	39380	0.960458979298	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S03_TRANSITION_ENTROPY_NORM	generic-metrics-1.0	S	FREQ_GE_10	39380	0.724278863225	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S06_PREFERRED_TRANSITION_FRACTION	generic-metrics-1.0	S	FREQ_GE_10	39380	0.0777777777778	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S07_DEPLETED_TRANSITION_FRACTION	generic-metrics-1.0	S	FREQ_GE_10	39380	0.411111111111	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S08_HIGHER_ORDER_PREDICTIVE_GAIN	generic-metrics-1.0	S	FREQ_GE_10	39380	0.49255600864	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S01_TRANSITION_DENSITY	generic-metrics-1.0	S	TOP_100	39380	0.3424	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S02_TRANSITION_ZERO_DENSITY	generic-metrics-1.0	S	TOP_100	39380	0.6576	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S03_TRANSITION_ENTROPY_NORM	generic-metrics-1.0	S	TOP_100	39380	0.842325079264	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S06_PREFERRED_TRANSITION_FRACTION	generic-metrics-1.0	S	TOP_100	39380	0.0865384615385	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S07_DEPLETED_TRANSITION_FRACTION	generic-metrics-1.0	S	TOP_100	39380	0.432692307692	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S08_HIGHER_ORDER_PREDICTIVE_GAIN	generic-metrics-1.0	S	TOP_100	39380	0.582878688499	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S01_TRANSITION_DENSITY	generic-metrics-1.0	S	TOP_250	39380	0.122704	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S02_TRANSITION_ZERO_DENSITY	generic-metrics-1.0	S	TOP_250	39380	0.877296	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S03_TRANSITION_ENTROPY_NORM	generic-metrics-1.0	S	TOP_250	39380	0.782231816615	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S06_PREFERRED_TRANSITION_FRACTION	generic-metrics-1.0	S	TOP_250	39380	0.08	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S07_DEPLETED_TRANSITION_FRACTION	generic-metrics-1.0	S	TOP_250	39380	0.45	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S08_HIGHER_ORDER_PREDICTIVE_GAIN	generic-metrics-1.0	S	TOP_250	39380	0.547614214256	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S01_TRANSITION_DENSITY	generic-metrics-1.0	S	MATCHED_VOCAB	39380	0.0395410207025	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S02_TRANSITION_ZERO_DENSITY	generic-metrics-1.0	S	MATCHED_VOCAB	39380	0.960458979298	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S03_TRANSITION_ENTROPY_NORM	generic-metrics-1.0	S	MATCHED_VOCAB	39380	0.724278863225	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S06_PREFERRED_TRANSITION_FRACTION	generic-metrics-1.0	S	MATCHED_VOCAB	39380	0.0777777777778	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S07_DEPLETED_TRANSITION_FRACTION	generic-metrics-1.0	S	MATCHED_VOCAB	39380	0.411111111111	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S08_HIGHER_ORDER_PREDICTIVE_GAIN	generic-metrics-1.0	S	MATCHED_VOCAB	39380	0.49255600864	SCALAR	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
S04_REPEATED_BIGRAM_TYPES	generic-metrics-1.0	S		39380	2569	DESCRIPTIVE_ONLY	COMPARABLE	fc62fcb338531692eda84f1b5452798e56f54bd04b6b035a00c3361968f9d177
