metric_id	output_type	note
A2_BIGRAM_TYPES	CURVE	accumulation curve, checkpoints 5k/10k/20k/39380
A3_TRIGRAM_TYPES	CURVE	accumulation curve, checkpoints 5k/10k/20k/39380
AT_TRANSITION_TYPES	CURVE	accumulation curve, checkpoints 5k/10k/20k/39380
D_LINE_COHERENCE	SCALAR	
D_LINE_EXCLUSIVITY	SCALAR	
D_LINE_PROGRESSION	SCALAR	
D_LINE_VARIANCE_SHARE	SCALAR	
D_LOCUS_COHERENCE	SCALAR	
D_LOCUS_EXCLUSIVITY	SCALAR	
D_LOCUS_PROGRESSION	SCALAR	
D_LOCUS_VARIANCE_SHARE	SCALAR	
D_PAGE_COHERENCE	SCALAR	
D_PAGE_EXCLUSIVITY	SCALAR	
D_PAGE_PROGRESSION	SCALAR	
D_PAGE_VARIANCE_SHARE	SCALAR	
D_SECTION_COHERENCE	SCALAR	
D_SECTION_EXCLUSIVITY	SCALAR	
D_SECTION_PROGRESSION	SCALAR	
D_SECTION_VARIANCE_SHARE	SCALAR	
G01_ALPHABET_SIZE	DESCRIPTIVE_ONLY	raw count/cardinality; not scale-normalized
G02_INITIAL_RESTRICTION_DENSITY	SCALAR	
G03_FINAL_RESTRICTION_DENSITY	SCALAR	
G04_BIGRAM_OCCUPANCY	SCALAR	
G05_TRIGRAM_OCCUPANCY	SCALAR	
G06_SYMBOL_CONDITIONAL_ENTROPY_NORM	SCALAR	
G07_HIGHER_ORDER_ENTROPY_REDUCTION	SCALAR	
G08_MEAN_SYMBOLS_PER_TOKEN	SCALAR	
L01_LINE_TOKEN_COUNT_MEAN	SCALAR	
L02_LINE_SYMBOL_COUNT_MEAN	SCALAR	
L03_BOUNDARY_SPECIALIZATION	SCALAR	
L04_POSITION_PROGRESSION	SCALAR	
L05_LINE_ASYMMETRY	SCALAR	
L06_SAME_LINE_COOCCURRENCE_DENSITY	SCALAR	
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	SCALAR	
S01_TRANSITION_DENSITY	SCALAR	
S02_TRANSITION_ZERO_DENSITY	SCALAR	
S03_TRANSITION_ENTROPY_NORM	SCALAR	
S04_REPEATED_BIGRAM_TYPES	DESCRIPTIVE_ONLY	raw count/cardinality; not scale-normalized
S05_REPEATED_TRIGRAM_TYPES	DESCRIPTIVE_ONLY	raw count/cardinality; not scale-normalized
S06_PREFERRED_TRANSITION_FRACTION	SCALAR	
S07_DEPLETED_TRANSITION_FRACTION	SCALAR	
S08_HIGHER_ORDER_PREDICTIVE_GAIN	SCALAR	
T01_MEAN_TOKEN_LENGTH	SCALAR	paired ordered distribution: T01_TOKEN_LENGTH_DISTRIBUTION
T01_TOKEN_LENGTH_DISTRIBUTION	ORDERED_DISTRIBUTION	integer token-length support, no arbitrary bins
T02_TOKEN_LENGTH_SD	SCALAR	
T03_UNIQUE_TOKEN_RATIO	SCALAR	
T04_HAPAX_RATIO	SCALAR	
T05_PREFIX_DIVERSITY	SCALAR	
T06_SUFFIX_DIVERSITY	SCALAR	
T07_EDIT_GRAPH_DENSITY	SCALAR	
T08_EDIT_GRAPH_GIANT_SHARE	SCALAR	
T09_EDIT_GRAPH_CLUSTERING	SCALAR	
T10_EDIT_DEGREE_FREQUENCY_SPEARMAN	SCALAR	
T11_POSITIONAL_RESTRICTION_DENSITY	SCALAR	paired categorical distribution: T11_POSITIONAL_RESTRICTION_DISTRIBUTION
T11_POSITIONAL_RESTRICTION_DISTRIBUTION	CATEGORICAL_DISTRIBUTION	category universe {INITIAL_RESTRICTED,INTERNAL_RESTRICTED,FINAL_RESTRICTED}
