curve_id	checkpoint	value	status	reason
A2_BIGRAM_TYPES	5000	229	COMPARABLE	
A3_TRIGRAM_TYPES	5000	728	COMPARABLE	
AT_TRANSITION_TYPES	5000	3941	COMPARABLE	
A2_BIGRAM_TYPES	10000	274	COMPARABLE	
A3_TRIGRAM_TYPES	10000	958	COMPARABLE	
AT_TRANSITION_TYPES	10000	7776	COMPARABLE	
A2_BIGRAM_TYPES	20000	332	COMPARABLE	
A3_TRIGRAM_TYPES	20000	1271	COMPARABLE	
AT_TRANSITION_TYPES	20000	14796	COMPARABLE	
A2_BIGRAM_TYPES	39380	379	COMPARABLE	
A3_TRIGRAM_TYPES	39380	1569	COMPARABLE	
AT_TRANSITION_TYPES	39380	28425	COMPARABLE	
