source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000078	x002776	preferred	1000	1	1	0	0.2639108687	EXPECTED_FROM_NULL
x000078	x006983	preferred	1000	1	1	0	0.2179917597	EXPECTED_FROM_NULL
x000078	x010070	preferred	1000	0.01598401598	0.1802767368	1	0.1845930753	EXPECTED_FROM_NULL
x000078	x012336	preferred	1000	1	1	0	0.2192529382	EXPECTED_FROM_NULL
x000078	x012337	preferred	1000	1	1	0	0.2165056025	EXPECTED_FROM_NULL
x000078	x012340	preferred	10000	0.01429857014	0.1802767368	1	0.1845930753	EXPECTED_FROM_NULL
x000078	x016338	preferred	1000	1	1	0	0.1960286326	EXPECTED_FROM_NULL
x000078	x016341	preferred	1000	1	1	0	0.2533068544	EXPECTED_FROM_NULL
x000078	x016343	preferred	1000	1	1	1	0.2011112061	EXPECTED_FROM_NULL
x000078	x016890	preferred	1000	1	1	0	0.1845930753	EXPECTED_FROM_NULL
x000078	x016892	preferred	1000	1	1	0	0.1845930753	EXPECTED_FROM_NULL
x000078	x016894	preferred	1000	1	1	0	0.2165056025	EXPECTED_FROM_NULL
x000078	x016895	preferred	10000	9.9990001e-05	0.05246975302	0.5	0.3038543942	EXPECTED_FROM_NULL
x000078	x017171	preferred	1000	0.02797202797	0.1990280906	1	0.2206301075	EXPECTED_FROM_NULL
x000078	x017902	preferred	1000	1	1	0	0.1845930753	EXPECTED_FROM_NULL
x000078	x025683	preferred	1000	1	1	0	0.1845930753	EXPECTED_FROM_NULL
x000078	x025684	preferred	1000	1	1	0	0.3227515417	EXPECTED_FROM_NULL
x000078	x025685	preferred	1000	1	1	0	0.219240737	EXPECTED_FROM_NULL
x000078	x028831	preferred	1000	1	1	0	0.2155831905	EXPECTED_FROM_NULL
x000078	x028834	preferred	1000	1	1	0	0.1845930753	EXPECTED_FROM_NULL
x000078	x030475	preferred	1000	1	1	0	0.219240737	EXPECTED_FROM_NULL
x000078	x030477	preferred	1000	1	1	1	0.1845930753	EXPECTED_FROM_NULL
x000078	x030479	preferred	1000	1	1	0	0.2928768458	EXPECTED_FROM_NULL
x000078	x030934	preferred	1000	1	1	1	0.1997646667	EXPECTED_FROM_NULL
x000079	x003547	preferred	1000	1	1	0	0.1607909633	EXPECTED_FROM_NULL
x000079	x012337	preferred	1000	1	1	0	0.1864681257	EXPECTED_FROM_NULL
