block	currier	hand	joint_class	source	target	source_count	target_count	edge_count	opportunities	block_tokens	p_target_given_source	p_target_baseline	enrichment	log2_enrichment	sign
G0/generic#0	G0	generic	G0/generic	x000078	x002776	5	1	0	5	648	0.001477104874	0.001528273051	0.9665189562	-0.04913006683	depleted
G2/generic#0	G2	generic	G2/generic	x000078	x002776	9	0	0	9	676	0.001459854015	0.0004952947003	2.947445255	1.559465017	preferred
G0/generic#1	G0	generic	G0/generic	x000078	x002776	6	0	0	6	667	0.00147275405	0.0004997501249	2.946980854	1.559237688	preferred
G0/generic#3	G0	generic	G0/generic	x000078	x002776	7	0	0	7	812	0.001468428781	0.0004364906155	3.364170338	1.750250755	preferred
G0/generic#10	G0	generic	G0/generic	x000078	x002776	5	0	0	5	629	0.001477104874	0.0005194805195	2.843426883	1.507630707	preferred
G2/generic#14	G2	generic	G2/generic	x000078	x002776	7	1	0	7	845	0.001468428781	0.001272804412	1.153695546	0.2062625545	preferred
G0/generic#0	G0	generic	G0/generic	x000078	x006983	5	1	0	5	648	0.001477104874	0.001528273051	0.9665189562	-0.04913006683	depleted
G2/generic#0	G2	generic	G2/generic	x000078	x006983	9	0	0	9	676	0.001459854015	0.0004952947003	2.947445255	1.559465017	preferred
G0/generic#1	G0	generic	G0/generic	x000078	x006983	6	0	0	6	667	0.00147275405	0.0004997501249	2.946980854	1.559237688	preferred
G0/generic#3	G0	generic	G0/generic	x000078	x006983	7	0	0	7	812	0.001468428781	0.0004364906155	3.364170338	1.750250755	preferred
G0/generic#10	G0	generic	G0/generic	x000078	x006983	5	0	0	5	629	0.001477104874	0.0005194805195	2.843426883	1.507630707	preferred
G2/generic#14	G2	generic	G2/generic	x000078	x006983	7	0	0	7	845	0.001468428781	0.0004242681375	3.461086637	1.791225055	preferred
G0/generic#0	G0	generic	G0/generic	x000078	x010070	5	0	0	5	648	0.001477104874	0.0005094243505	2.899556869	1.535832434	preferred
G2/generic#0	G2	generic	G2/generic	x000078	x010070	9	0	0	9	676	0.001459854015	0.0004952947003	2.947445255	1.559465017	preferred
G0/generic#1	G0	generic	G0/generic	x000078	x010070	6	1	1	6	667	0.00441826215	0.001499250375	2.946980854	1.559237688	preferred
G0/generic#3	G0	generic	G0/generic	x000078	x010070	7	0	0	7	812	0.001468428781	0.0004364906155	3.364170338	1.750250755	preferred
G0/generic#10	G0	generic	G0/generic	x000078	x010070	5	0	0	5	629	0.001477104874	0.0005194805195	2.843426883	1.507630707	preferred
G2/generic#14	G2	generic	G2/generic	x000078	x010070	7	0	0	7	845	0.001468428781	0.0004242681375	3.461086637	1.791225055	preferred
G0/generic#0	G0	generic	G0/generic	x000078	x012336	5	0	0	5	648	0.001477104874	0.0005094243505	2.899556869	1.535832434	preferred
G2/generic#0	G2	generic	G2/generic	x000078	x012336	9	1	0	9	676	0.001459854015	0.001485884101	0.9824817518	-0.02549748324	depleted
G0/generic#1	G0	generic	G0/generic	x000078	x012336	6	0	0	6	667	0.00147275405	0.0004997501249	2.946980854	1.559237688	preferred
G0/generic#3	G0	generic	G0/generic	x000078	x012336	7	0	0	7	812	0.001468428781	0.0004364906155	3.364170338	1.750250755	preferred
G0/generic#10	G0	generic	G0/generic	x000078	x012336	5	0	0	5	629	0.001477104874	0.0005194805195	2.843426883	1.507630707	preferred
G2/generic#14	G2	generic	G2/generic	x000078	x012336	7	0	0	7	845	0.001468428781	0.0004242681375	3.461086637	1.791225055	preferred
G0/generic#0	G0	generic	G0/generic	x000078	x012337	5	0	0	5	648	0.001477104874	0.0005094243505	2.899556869	1.535832434	preferred
G2/generic#0	G2	generic	G2/generic	x000078	x012337	9	0	0	9	676	0.001459854015	0.0004952947003	2.947445255	1.559465017	preferred
G0/generic#1	G0	generic	G0/generic	x000078	x012337	6	0	0	6	667	0.00147275405	0.0004997501249	2.946980854	1.559237688	preferred
G0/generic#3	G0	generic	G0/generic	x000078	x012337	7	0	0	7	812	0.001468428781	0.0004364906155	3.364170338	1.750250755	preferred
G0/generic#10	G0	generic	G0/generic	x000078	x012337	5	1	0	5	629	0.001477104874	0.001558441558	0.9478089611	-0.07733179383	depleted
