token	block	direction	conditional_entropy	effective_successor_predecessor_count	baseline_entropy	entropy_effect	eligible
x000078	G0/generic#0	outgoing	6.500857548	665.7122683	6.13565084	0.3652067077	true
x001072	G0/generic#0	outgoing	6.500857548	665.7122683	6.13565084	0.3652067077	true
x013872	G0/generic#0	outgoing	6.495181806	661.9445597	6.13565084	0.3595309658	true
x013874	G0/generic#0	outgoing	6.495181806	661.9445597	6.13565084	0.3595309658	true
x013876	G0/generic#0	outgoing	6.500857548	665.7122683	6.13565084	0.3652067077	true
x019047	G0/generic#0	outgoing	6.495181806	661.9445597	6.13565084	0.3595309658	true
x028392	G0/generic#0	outgoing	6.500857548	665.7122683	6.13565084	0.3652067077	true
x028393	G0/generic#0	outgoing	6.500857548	665.7122683	6.13565084	0.3652067077	true
x028395	G0/generic#0	outgoing	6.500857548	665.7122683	6.13565084	0.3652067077	true
x028396	G0/generic#0	outgoing	6.500857548	665.7122683	6.13565084	0.3652067077	true
x028397	G0/generic#0	outgoing	6.502790046	667	6.13565084	0.367139206	true
x000078	G0/generic#0	incoming	6.493329789	660.7197621	6.13565084	0.3576789494	true
x013872	G0/generic#0	incoming	6.493329789	660.7197621	6.13565084	0.3576789494	true
x028396	G0/generic#0	incoming	6.489684394	658.3155622	6.13565084	0.3540335542	true
x028397	G0/generic#0	incoming	6.489353768	658.0979419	6.13565084	0.3537029282	true
x000080	G1/generic#0	outgoing	6.49894548	664.4405977	6.134265525	0.3646799554	true
x013877	G1/generic#0	outgoing	6.49894548	664.4405977	6.134265525	0.3646799554	true
x014157	G1/generic#0	outgoing	6.49894548	664.4405977	6.134265525	0.3646799554	true
x015014	G1/generic#0	outgoing	6.497053635	663.1847672	6.134265525	0.3627881101	true
x019048	G1/generic#0	outgoing	6.500857548	665.7122683	6.134265525	0.3665920228	true
x028392	G1/generic#0	outgoing	6.502790046	667	6.134265525	0.3685245211	true
x028393	G1/generic#0	outgoing	6.502790046	667	6.134265525	0.3685245211	true
x028395	G1/generic#0	outgoing	6.493025486	660.5187334	6.134265525	0.3587599612	true
x028396	G1/generic#0	outgoing	6.502790046	667	6.134265525	0.3685245211	true
x028397	G1/generic#0	outgoing	6.497053635	663.1847672	6.134265525	0.3627881101	true
x000080	G1/generic#0	incoming	6.493329789	660.7197621	6.134265525	0.3590642646	true
x028392	G1/generic#0	incoming	6.491497385	659.5101648	6.134265525	0.3572318602	true
x028393	G1/generic#0	incoming	6.493329789	660.7197621	6.134265525	0.3590642646	true
x028395	G1/generic#0	incoming	6.489684394	658.3155622	6.134265525	0.3554188694	true
x028396	G1/generic#0	incoming	6.491497385	659.5101648	6.134265525	0.3572318602	true
x000078	G2/generic#0	outgoing	6.500857548	665.7122683	6.078356198	0.4225013494	true
x000082	G2/generic#0	outgoing	6.497053635	663.1847672	6.078356198	0.4186974366	true
