block	transitions	log_loss_m1	log_loss_m2	delta_m1_minus_m2
G0/generic#0	72	6.018663461	6.503745599	-0.4850821378
G1/generic#0	70	6.167094747	6.503601434	-0.3365066868
G2/generic#0	93	6.204388983	6.50349754	-0.2991085569
G3/generic#0	79	5.978592123	6.504076806	-0.525484683
G0/generic#1	88	6.250495447	6.491596051	-0.2411006036
G1/generic#1	75	6.070966363	6.474530809	-0.4035644461
G2/generic#1	98	6.136096091	6.503735587	-0.3676394954
G3/generic#1	73	6.189084094	6.503568454	-0.3144843601
G0/generic#2	113	6.134517681	6.50387487	-0.3693571891
G1/generic#2	70	6.163003521	6.503303305	-0.3402997842
G2/generic#2	92	6.217762753	6.503343191	-0.2855804373
G3/generic#2	116	6.274526455	6.50348639	-0.2289599346
G0/generic#3	142	6.134511554	6.503779954	-0.3692684007
G1/generic#3	129	6.130664509	6.50357882	-0.3729143108
G2/generic#3	91	6.244343165	6.491637736	-0.247294571
G3/generic#3	85	6.159925289	6.490604053	-0.3306787645
G0/generic#4	123	6.194807139	6.485777806	-0.2909706672
G1/generic#4	71	5.908660694	6.457296902	-0.5486362074
G2/generic#4	79	6.110799763	6.503661043	-0.3928612801
G3/generic#4	125	6.165733608	6.503986085	-0.3382524766
G0/generic#5	120	6.142749354	6.503637458	-0.3608881042
G1/generic#5	85	6.156124212	6.503599561	-0.3474753486
G2/generic#5	112	6.13152871	6.493621786	-0.3620930764
G3/generic#5	94	6.120568499	6.503648704	-0.3830802043
G0/generic#6	98	6.192409827	6.503461534	-0.3110517072
G1/generic#6	80	6.172623524	6.489804892	-0.3171813675
G2/generic#6	90	6.083882129	6.491347488	-0.4074653592
G3/generic#6	65	6.080954869	6.486806952	-0.4058520828
G0/generic#7	98	6.180180965	6.503614289	-0.3234333241
G1/generic#7	110	6.228466979	6.503606108	-0.2751391295
G2/generic#7	62	6.286491371	6.503176082	-0.216684711
G3/generic#7	77	6.020262032	6.5033726	-0.483110568
G0/generic#8	97	6.085289201	6.503806698	-0.4185174976
G1/generic#8	108	6.056022986	6.493559361	-0.4375363742
G2/generic#8	78	6.096331953	6.503862994	-0.4075310409
G3/generic#8	74	6.283808553	6.50335636	-0.2195478071
G0/generic#9	79	6.219368447	6.503509673	-0.2841412256
G1/generic#9	95	6.087447326	6.503860554	-0.4164132279
G2/generic#9	102	6.089530644	6.503640847	-0.4141102031
G3/generic#9	101	6.052714637	6.503825546	-0.4511109085
G0/generic#10	158	6.084136202	6.48983013	-0.4056939285
G1/generic#10	111	6.2690709	6.493512698	-0.2244417977
G2/generic#10	68	6.031215899	6.487601977	-0.4563860784
G3/generic#10	123	6.272193568	6.50330064	-0.2311070715
G0/generic#11	114	6.175397264	6.493861813	-0.3184645491
G1/generic#11	97	6.241702728	6.491834447	-0.2501317191
G2/generic#11	89	6.152607831	6.491286301	-0.3386784697
G3/generic#11	165	6.214785037	6.476990905	-0.2622058681
G0/generic#12	123	6.145291373	6.503374098	-0.3580827259
G1/generic#12	97	6.073285279	6.492234971	-0.4189496922
G2/generic#12	131	6.16567188	6.503588749	-0.3379168693
G3/generic#12	152	6.049703353	6.48232639	-0.4326230372
G0/generic#13	105	6.055422744	6.483003654	-0.4275809103
G1/generic#13	131	6.182241853	6.495065944	-0.3128240917
G2/generic#13	157	6.133510902	6.503475889	-0.3699649869
G3/generic#13	159	6.235565448	6.503166202	-0.2676007543
G0/generic#14	130	6.165320699	6.50382513	-0.3385044318
G1/generic#14	132	6.089440993	6.503673695	-0.4142327019
G2/generic#14	127	6.098702135	6.503260982	-0.4045588471
G3/generic#14	118	5.994272934	6.485182532	-0.4909095979
G0/generic#15	137	6.226083124	6.495273558	-0.269190434
G1/generic#15	172	6.250670095	6.503294488	-0.2526243935
G2/generic#15	174	6.118685569	6.503701297	-0.3850157284
G3/generic#15	65	6.208854147	6.503526622	-0.2946724744
