window_start	window_end	tokens	new_types	new_type_rate
0	500	500	315	0.63
500	1000	500	237	0.47399999999999998
1000	1500	500	201	0.40200000000000002
1500	2000	500	174	0.34799999999999998
2000	2500	500	159	0.318
2500	3000	500	175	0.34999999999999998
3000	3500	500	169	0.33800000000000002
3500	4000	500	151	0.30199999999999999
4000	4500	500	130	0.26000000000000001
4500	5000	500	139	0.27800000000000002
5000	5500	500	115	0.23000000000000001
5500	6000	500	155	0.31
6000	6500	500	157	0.314
6500	7000	500	152	0.30399999999999999
7000	7500	500	108	0.216
7500	8000	500	105	0.20999999999999999
8000	8500	500	113	0.22600000000000001
8500	9000	500	82	0.16400000000000001
9000	9500	500	103	0.20599999999999999
9500	10000	500	84	0.16800000000000001
10000	10500	500	111	0.222
10500	11000	500	103	0.20599999999999999
11000	11500	500	75	0.14999999999999999
11500	12000	500	79	0.158
12000	12500	500	108	0.216
12500	13000	500	80	0.16
13000	13500	500	78	0.156
13500	14000	500	67	0.13400000000000001
14000	14500	500	90	0.17999999999999999
14500	15000	500	105	0.20999999999999999
15000	15500	500	54	0.108
15500	16000	500	78	0.156
16000	16500	500	73	0.14599999999999999
16500	17000	500	88	0.17599999999999999
17000	17500	500	99	0.19800000000000001
17500	18000	500	76	0.152
18000	18500	500	98	0.19600000000000001
18500	19000	500	71	0.14199999999999999
19000	19500	500	66	0.13200000000000001
19500	20000	500	84	0.16800000000000001
20000	20500	500	87	0.17399999999999999
20500	21000	500	75	0.14999999999999999
21000	21500	500	69	0.13800000000000001
21500	22000	500	45	0.089999999999999997
22000	22500	500	69	0.13800000000000001
22500	23000	500	72	0.14399999999999999
23000	23500	500	71	0.14199999999999999
23500	24000	500	104	0.20799999999999999
24000	24500	500	52	0.104
24500	25000	500	51	0.10199999999999999
25000	25500	500	49	0.098000000000000004
25500	26000	500	66	0.13200000000000001
26000	26500	500	41	0.082000000000000003
26500	27000	500	52	0.104
27000	27500	500	44	0.087999999999999995
27500	28000	500	79	0.158
28000	28500	500	46	0.091999999999999998
28500	29000	500	51	0.10199999999999999
29000	29500	500	60	0.12
29500	30000	500	67	0.13400000000000001
30000	30500	500	72	0.14399999999999999
30500	31000	500	71	0.14199999999999999
31000	31500	500	50	0.10000000000000001
31500	32000	500	40	0.080000000000000002
32000	32500	500	48	0.096000000000000002
32500	33000	500	46	0.091999999999999998
33000	33500	500	56	0.112
33500	34000	500	51	0.10199999999999999
34000	34500	500	54	0.108
34500	35000	500	72	0.14399999999999999
35000	35500	500	69	0.13800000000000001
35500	36000	500	62	0.124
36000	36500	500	42	0.084000000000000005
36500	37000	500	47	0.094
37000	37500	500	35	0.070000000000000007
37500	38000	500	53	0.106
38000	38500	500	36	0.071999999999999995
38500	39000	500	48	0.096000000000000002
39000	39500	500	35	0.070000000000000007
39500	40000	500	47	0.094
40000	40500	500	41	0.082000000000000003
40500	41000	500	38	0.075999999999999998
41000	41500	500	35	0.070000000000000007
41500	42000	500	47	0.094
42000	42500	500	37	0.073999999999999996
42500	43000	500	29	0.058000000000000003
43000	43500	500	30	0.059999999999999998
43500	43713	213	38	0.17840375586854459
0	1000	1000	552	0.55200000000000005
1000	2000	1000	375	0.375
2000	3000	1000	334	0.33400000000000002
3000	4000	1000	320	0.32000000000000001
4000	5000	1000	269	0.26900000000000002
5000	6000	1000	270	0.27000000000000002
6000	7000	1000	309	0.309
7000	8000	1000	213	0.21299999999999999
8000	9000	1000	195	0.19500000000000001
9000	10000	1000	187	0.187
10000	11000	1000	214	0.214
11000	12000	1000	154	0.154
12000	13000	1000	188	0.188
13000	14000	1000	145	0.14499999999999999
14000	15000	1000	195	0.19500000000000001
15000	16000	1000	132	0.13200000000000001
16000	17000	1000	161	0.161
17000	18000	1000	175	0.17499999999999999
18000	19000	1000	169	0.16900000000000001
19000	20000	1000	150	0.14999999999999999
20000	21000	1000	162	0.16200000000000001
21000	22000	1000	114	0.114
22000	23000	1000	141	0.14099999999999999
23000	24000	1000	175	0.17499999999999999
24000	25000	1000	103	0.10299999999999999
25000	26000	1000	115	0.115
26000	27000	1000	93	0.092999999999999999
27000	28000	1000	123	0.123
28000	29000	1000	97	0.097000000000000003
29000	30000	1000	127	0.127
30000	31000	1000	143	0.14299999999999999
31000	32000	1000	90	0.089999999999999997
32000	33000	1000	94	0.094
33000	34000	1000	107	0.107
34000	35000	1000	126	0.126
35000	36000	1000	131	0.13100000000000001
36000	37000	1000	89	0.088999999999999996
37000	38000	1000	88	0.087999999999999995
38000	39000	1000	84	0.084000000000000005
39000	40000	1000	82	0.082000000000000003
40000	41000	1000	79	0.079000000000000001
41000	42000	1000	82	0.082000000000000003
42000	43000	1000	66	0.066000000000000003
43000	43713	713	68	0.095371669004207571
0	2000	2000	927	0.46350000000000002
2000	4000	2000	654	0.32700000000000001
4000	6000	2000	539	0.26950000000000002
6000	8000	2000	522	0.26100000000000001
8000	10000	2000	382	0.191
10000	12000	2000	368	0.184
12000	14000	2000	333	0.16650000000000001
14000	16000	2000	327	0.16350000000000001
16000	18000	2000	336	0.16800000000000001
18000	20000	2000	319	0.1595
20000	22000	2000	276	0.13800000000000001
22000	24000	2000	316	0.158
24000	26000	2000	218	0.109
26000	28000	2000	216	0.108
28000	30000	2000	224	0.112
30000	32000	2000	233	0.11650000000000001
32000	34000	2000	201	0.10050000000000001
34000	36000	2000	257	0.1285
36000	38000	2000	177	0.088499999999999995
38000	40000	2000	166	0.083000000000000004
40000	42000	2000	161	0.080500000000000002
42000	43713	1713	134	0.078225335668417981
