checkpoint_n	observed	null_mean	null_sd	effect	empirical_p
100	88	84.379999999999995	3.5854706803988794	1.0096303449892621	0.18811881188118812
200	152	152.09999999999999	5.4781383699209361	-0.018254376440921767	0.54455445544554459
500	315	321.11000000000001	8.8869511082260395	-0.68752488064713291	0.7722772277227723
1000	552	551.25	13.129642036247599	0.057122654062421577	0.52475247524752477
2000	927	925.01999999999998	18.739786551612596	0.10565755349169841	0.49504950495049505
4000	1581	1527.1700000000001	24.971205417440302	2.1556828795459015	0.019801980198019802
8000	2642	2475.4499999999998	30.6269081038227	5.4380285282278376	0.0099009900990099011
16000	4052	3933.6500000000001	30.525194512074776	3.8771251712477866	0.0099009900990099011
32000	6190	6056.6000000000004	27.450318759533541	4.8596885583949581	0.0099009900990099011
43713	7286	7286	0	0	1
