checkpoint_n	vocabulary_size	hapax_count	dis_legomena_count	tris_legomena_count	hapax_fraction_of_types	hapax_fraction_of_tokens	dis_fraction_of_types	dis_fraction_of_tokens
100	88	82	2	2	0.93181818181818177	0.81999999999999995	0.045454545454545456	0.040000000000000001
200	152	129	14	2	0.84868421052631582	0.64500000000000002	0.18421052631578946	0.14000000000000001
500	315	251	27	12	0.79682539682539677	0.502	0.17142857142857143	0.108
1000	552	430	57	16	0.77898550724637683	0.42999999999999999	0.20652173913043478	0.114
2000	927	704	107	36	0.75943905070118667	0.35199999999999998	0.23085221143473569	0.107
4000	1581	1151	190	75	0.72802024035420621	0.28775000000000001	0.24035420619860848	0.095000000000000001
8000	2642	1856	338	139	0.70249810749432251	0.23200000000000001	0.2558667676003028	0.084500000000000006
16000	4052	2643	571	242	0.65227048371174734	0.16518749999999999	0.28183613030602173	0.071374999999999994
32000	6190	3730	957	429	0.60258481421647814	0.1165625	0.30920840064620353	0.059812499999999998
43713	7286	4228	1136	512	0.58029096898160859	0.096721799007160339	0.31183090859181994	0.051975384896941416
